
5 Mot inconnu : GNUnet => ====== GNUnet ====== | gnunet

8 Mot inconnu : GNUnet => GNUnet est le réseau [[P2P]] du projet GNU.  | gnunet
8 Espace(s) en fin de ligne à supprimer. => GNUnet est le réseau [[P2P]] du projet GNU.  |   => suggestions : ['']

10 Mot inconnu : AES-256 => Créé pour résister à la censure, c'est historiquement le premier système de P2P sécurisé, il utilise surtout AES-256, un chiffrement très rapide et sécurisé. C'est le premier réseau à utiliser des nodes (de 1 à 4 noeuds) pour le transfert d'informations.  | aes-256
10 Mot inconnu : nodes => Créé pour résister à la censure, c'est historiquement le premier système de P2P sécurisé, il utilise surtout AES-256, un chiffrement très rapide et sécurisé. C'est le premier réseau à utiliser des nodes (de 1 à 4 noeuds) pour le transfert d'informations.  | nodes
10 Mot inconnu : noeuds => Créé pour résister à la censure, c'est historiquement le premier système de P2P sécurisé, il utilise surtout AES-256, un chiffrement très rapide et sécurisé. C'est le premier réseau à utiliser des nodes (de 1 à 4 noeuds) pour le transfert d'informations.  | noeuds
10 Espace(s) en fin de ligne à supprimer. => Créé pour résister à la censure, c'est historiquement le premier système de P2P sécurisé, il utilise surtout AES-256, un chiffrement très rapide et sécurisé. C'est le premier réseau à utiliser des nodes (de 1 à 4 noeuds) pour le transfert d'informations.  |   => suggestions : ['']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * La décentralisation (pas de serveur unique, ni de réseau de serveur) |    => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * La sécurisation (les connexions sont chiffrées) |    => suggestions : ['']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * L'anonymat (impossible de savoir si le message vient d'un pair ou si le pair route uniquement le message) |    => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le fonctionnement sous forme de démon (invisible) |    => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

28 Mot inconnu : deamon => Lors de l'installation, vous pouvez choisir de démarrer le deamon au démarrage du système. Sinon, vous devrez le démarrer vous même. | deamon
28 Il manque un trait d’union si “même” se rapporte à “vous”. => Lors de l'installation, vous pouvez choisir de démarrer le deamon au démarrage du système. Sinon, vous devrez le démarrer vous même. | vous même => suggestions : ['vous-même']

30 Mot inconnu : Gnunet => Il faut savoir que Gnunet met du temps à se connecter et à devenir fonctionnel, ce qui inciterai à démarrer le deamon au démarrage. | gnunet
30 Conjugaison erronée. Accord avec “ce qui”. Le verbe devrait être à la 3ᵉ personne du singulier. => Il faut savoir que Gnunet met du temps à se connecter et à devenir fonctionnel, ce qui inciterai à démarrer le deamon au démarrage. | inciterai => suggestions : ['incitera']
30 Mot inconnu : deamon => Il faut savoir que Gnunet met du temps à se connecter et à devenir fonctionnel, ce qui inciterai à démarrer le deamon au démarrage. | deamon

31 Mot inconnu : perfomante => Par contre il est gourmand en ressources et pour ceux qui n'ont pas une machine très perfomante il est préférable de le démarrer uniquement lorsqu'on en a besoin... | perfomante
31 Typographie : points de suspension. Utilisez le caractère dédié. => Par contre il est gourmand en ressources et pour ceux qui n'ont pas une machine très perfomante il est préférable de le démarrer uniquement lorsqu'on en a besoin... | ... => suggestions : ['…']

36 Mot inconnu : Gnunet => ==== Gnunet ==== | gnunet

38 Mot inconnu : GNUnet => **Après avoir installé GNUnet, il faut le configurer avec cette commande :** | gnunet

45 Mot inconnu : GNUnet => Ensuite pour lancer le démon GNUnet:** | gnunet

53 Mot inconnu : GNUnet => Pour lancer la version graphique de GNUnet:** | gnunet

61 Mot inconnu : gnunet-auto-share => Après avoir démarré de cette manière, gnunet-auto-share se placera lui-même en tâche de fond (en tant que démon) et vérifiera régulièrement si de nouveaux fichiers ont été copiés dans les répertoires spécifiés. Exécuté en arrière plan, gnunet-auto-share s\′assurera que tous les fichiers du répertoire fourni sont disponibles pour gnunetd et par conséquent disponibles sur le réseau. Vous devrer redémarrer gnunet-auto-share à chaque fois que votre ordinateur est redémarré (de la même façon que vous devrez redémarrer gnunetd). | gnunet-auto-share
61 Mot inconnu : gnunet-auto-share => Après avoir démarré de cette manière, gnunet-auto-share se placera lui-même en tâche de fond (en tant que démon) et vérifiera régulièrement si de nouveaux fichiers ont été copiés dans les répertoires spécifiés. Exécuté en arrière plan, gnunet-auto-share s\′assurera que tous les fichiers du répertoire fourni sont disponibles pour gnunetd et par conséquent disponibles sur le réseau. Vous devrer redémarrer gnunet-auto-share à chaque fois que votre ordinateur est redémarré (de la même façon que vous devrez redémarrer gnunetd). | gnunet-auto-share
61 Mot inconnu : gnunetd => Après avoir démarré de cette manière, gnunet-auto-share se placera lui-même en tâche de fond (en tant que démon) et vérifiera régulièrement si de nouveaux fichiers ont été copiés dans les répertoires spécifiés. Exécuté en arrière plan, gnunet-auto-share s\′assurera que tous les fichiers du répertoire fourni sont disponibles pour gnunetd et par conséquent disponibles sur le réseau. Vous devrer redémarrer gnunet-auto-share à chaque fois que votre ordinateur est redémarré (de la même façon que vous devrez redémarrer gnunetd). | gnunetd
61 Mot inconnu : devrer => Après avoir démarré de cette manière, gnunet-auto-share se placera lui-même en tâche de fond (en tant que démon) et vérifiera régulièrement si de nouveaux fichiers ont été copiés dans les répertoires spécifiés. Exécuté en arrière plan, gnunet-auto-share s\′assurera que tous les fichiers du répertoire fourni sont disponibles pour gnunetd et par conséquent disponibles sur le réseau. Vous devrer redémarrer gnunet-auto-share à chaque fois que votre ordinateur est redémarré (de la même façon que vous devrez redémarrer gnunetd). | devrer
61 Mot inconnu : gnunet-auto-share => Après avoir démarré de cette manière, gnunet-auto-share se placera lui-même en tâche de fond (en tant que démon) et vérifiera régulièrement si de nouveaux fichiers ont été copiés dans les répertoires spécifiés. Exécuté en arrière plan, gnunet-auto-share s\′assurera que tous les fichiers du répertoire fourni sont disponibles pour gnunetd et par conséquent disponibles sur le réseau. Vous devrer redémarrer gnunet-auto-share à chaque fois que votre ordinateur est redémarré (de la même façon que vous devrez redémarrer gnunetd). | gnunet-auto-share
61 Mot inconnu : gnunetd => Après avoir démarré de cette manière, gnunet-auto-share se placera lui-même en tâche de fond (en tant que démon) et vérifiera régulièrement si de nouveaux fichiers ont été copiés dans les répertoires spécifiés. Exécuté en arrière plan, gnunet-auto-share s\′assurera que tous les fichiers du répertoire fourni sont disponibles pour gnunetd et par conséquent disponibles sur le réseau. Vous devrer redémarrer gnunet-auto-share à chaque fois que votre ordinateur est redémarré (de la même façon que vous devrez redémarrer gnunetd). | gnunetd

63 Mot inconnu : GNUnet => **Pour effectuer une recherche sur GNUnet (mode console) :** | gnunet

67 Mot inconnu : TIMEOUT => L'option -t spécifie que la requête devra s'arrêter après approximativement TIMEOUT secondes. Une valeur à zéro est interprétée comme pas de time out. Si plusieurs mots sont passés comme clé et ne sont pas séparés par un AND, gnunet-search les concaténera en un seul mot clé.  | timeout
67 Mot inconnu : time => L'option -t spécifie que la requête devra s'arrêter après approximativement TIMEOUT secondes. Une valeur à zéro est interprétée comme pas de time out. Si plusieurs mots sont passés comme clé et ne sont pas séparés par un AND, gnunet-search les concaténera en un seul mot clé.  | time
67 Mot inconnu : AND => L'option -t spécifie que la requête devra s'arrêter après approximativement TIMEOUT secondes. Une valeur à zéro est interprétée comme pas de time out. Si plusieurs mots sont passés comme clé et ne sont pas séparés par un AND, gnunet-search les concaténera en un seul mot clé.  | and
67 Mot inconnu : gnunet-search => L'option -t spécifie que la requête devra s'arrêter après approximativement TIMEOUT secondes. Une valeur à zéro est interprétée comme pas de time out. Si plusieurs mots sont passés comme clé et ne sont pas séparés par un AND, gnunet-search les concaténera en un seul mot clé.  | gnunet-search
