1 Mot inconnu : Linksys => ====== Serveur d'impression filaire (Linksys PSUS4) ====== | linksys
1 Mot inconnu : PSUS4 => ====== Serveur d'impression filaire (Linksys PSUS4) ====== | psus4

3 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Version Feisty |    => suggestions : ['']
3 Mot inconnu : Feisty =>   Version Feisty | feisty

5 Il manque un espace. => Rédigé par [[utilisateurs:dexter]]. | dexter => suggestions : [' dexter']

10 Mot inconnu : Linksys => Cette page présente la configuration du serveur d'impression filaire Linksys PSUS4. L'imprimante utilisée est une Samsung ML-1510 (via USB). | linksys
10 Mot inconnu : PSUS4 => Cette page présente la configuration du serveur d'impression filaire Linksys PSUS4. L'imprimante utilisée est une Samsung ML-1510 (via USB). | psus4

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Branchez votre imprimante USB sur le Linksys PSUS4, assurez vous que votre PSUS4 soit connecté a votre routeur (Chez moi un Linksys WAG54GS). |    => suggestions : ['']
14 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Branchez votre imprimante USB sur le Linksys PSUS4, assurez vous que votre PSUS4 soit connecté a votre routeur (Chez moi un Linksys WAG54GS). |  -  => suggestions : [' – ', ' — ', ' − ']
14 Mot inconnu : Linksys =>   - Branchez votre imprimante USB sur le Linksys PSUS4, assurez vous que votre PSUS4 soit connecté a votre routeur (Chez moi un Linksys WAG54GS). | linksys
14 Mot inconnu : PSUS4 =>   - Branchez votre imprimante USB sur le Linksys PSUS4, assurez vous que votre PSUS4 soit connecté a votre routeur (Chez moi un Linksys WAG54GS). | psus4
14 Forme interrogative ? Mettez un trait d’union. =>   - Branchez votre imprimante USB sur le Linksys PSUS4, assurez vous que votre PSUS4 soit connecté a votre routeur (Chez moi un Linksys WAG54GS). | assurez vous => suggestions : ['assurez-vous']
14 Mot inconnu : PSUS4 =>   - Branchez votre imprimante USB sur le Linksys PSUS4, assurez vous que votre PSUS4 soit connecté a votre routeur (Chez moi un Linksys WAG54GS). | psus4
14 Mot inconnu : Linksys =>   - Branchez votre imprimante USB sur le Linksys PSUS4, assurez vous que votre PSUS4 soit connecté a votre routeur (Chez moi un Linksys WAG54GS). | linksys
14 Mot inconnu : WAG54GS =>   - Branchez votre imprimante USB sur le Linksys PSUS4, assurez vous que votre PSUS4 soit connecté a votre routeur (Chez moi un Linksys WAG54GS). | wag54gs

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Donnez une IP fixe au PSUS4 (192.168.1.144, par exemple). |    => suggestions : ['']
15 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Donnez une IP fixe au PSUS4 (192.168.1.144, par exemple). |  -  => suggestions : [' – ', ' — ', ' − ']
15 Mot inconnu : PSUS4 =>   - Donnez une IP fixe au PSUS4 (192.168.1.144, par exemple). | psus4

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Dans ''Système -> Administration -> Impression'', double-cliquez sur ''Nouvelle imprimante''. |    => suggestions : ['']
22 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Dans ''Système -> Administration -> Impression'', double-cliquez sur ''Nouvelle imprimante''. |  -  => suggestions : [' – ', ' — ', ' − ']
22 Guillemets typographiques ouvrants. =>   - Dans ''Système -> Administration -> Impression'', double-cliquez sur ''Nouvelle imprimante''. | '' => suggestions : ['«\xa0', '“']
22 Guillemets typographiques fermants. =>   - Dans ''Système -> Administration -> Impression'', double-cliquez sur ''Nouvelle imprimante''. | '' => suggestions : ['\xa0»', '”']
22 Guillemets typographiques ouvrants. =>   - Dans ''Système -> Administration -> Impression'', double-cliquez sur ''Nouvelle imprimante''. | '' => suggestions : ['«\xa0', '“']
22 Guillemets typographiques fermants. =>   - Dans ''Système -> Administration -> Impression'', double-cliquez sur ''Nouvelle imprimante''. | '' => suggestions : ['\xa0»', '”']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Sélectionnez dans la nouvelle boîte de dialogue ''Imprimante réseau'' puis ''Imprimante UNIX (LPD)''. |    => suggestions : ['']
23 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Sélectionnez dans la nouvelle boîte de dialogue ''Imprimante réseau'' puis ''Imprimante UNIX (LPD)''. |  -  => suggestions : [' – ', ' — ', ' − ']
23 Guillemets typographiques ouvrants. =>   - Sélectionnez dans la nouvelle boîte de dialogue ''Imprimante réseau'' puis ''Imprimante UNIX (LPD)''. | '' => suggestions : ['«\xa0', '“']
23 Guillemets typographiques fermants. =>   - Sélectionnez dans la nouvelle boîte de dialogue ''Imprimante réseau'' puis ''Imprimante UNIX (LPD)''. | '' => suggestions : ['\xa0»', '”']
23 Guillemets typographiques ouvrants. =>   - Sélectionnez dans la nouvelle boîte de dialogue ''Imprimante réseau'' puis ''Imprimante UNIX (LPD)''. | '' => suggestions : ['«\xa0', '“']
23 Mot inconnu : LPD =>   - Sélectionnez dans la nouvelle boîte de dialogue ''Imprimante réseau'' puis ''Imprimante UNIX (LPD)''. | lpd

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Dans le champ ''Hôte'', saisissez l'adresse IP de votre serveur d'impression, puis dans le champ ''File d'impression'' entrez ''lp''. |    => suggestions : ['']
24 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Dans le champ ''Hôte'', saisissez l'adresse IP de votre serveur d'impression, puis dans le champ ''File d'impression'' entrez ''lp''. |  -  => suggestions : [' – ', ' — ', ' − ']
24 Guillemets typographiques ouvrants. =>   - Dans le champ ''Hôte'', saisissez l'adresse IP de votre serveur d'impression, puis dans le champ ''File d'impression'' entrez ''lp''. | '' => suggestions : ['«\xa0', '“']
24 Guillemets typographiques fermants. =>   - Dans le champ ''Hôte'', saisissez l'adresse IP de votre serveur d'impression, puis dans le champ ''File d'impression'' entrez ''lp''. | '' => suggestions : ['\xa0»', '”']
24 Guillemets typographiques ouvrants. =>   - Dans le champ ''Hôte'', saisissez l'adresse IP de votre serveur d'impression, puis dans le champ ''File d'impression'' entrez ''lp''. | '' => suggestions : ['«\xa0', '“']
24 Guillemets typographiques fermants. =>   - Dans le champ ''Hôte'', saisissez l'adresse IP de votre serveur d'impression, puis dans le champ ''File d'impression'' entrez ''lp''. | '' => suggestions : ['\xa0»', '”']
24 Guillemets typographiques ouvrants. =>   - Dans le champ ''Hôte'', saisissez l'adresse IP de votre serveur d'impression, puis dans le champ ''File d'impression'' entrez ''lp''. | '' => suggestions : ['«\xa0', '“']
24 Mot inconnu : lp =>   - Dans le champ ''Hôte'', saisissez l'adresse IP de votre serveur d'impression, puis dans le champ ''File d'impression'' entrez ''lp''. | lp
24 Guillemets typographiques fermants. =>   - Dans le champ ''Hôte'', saisissez l'adresse IP de votre serveur d'impression, puis dans le champ ''File d'impression'' entrez ''lp''. | '' => suggestions : ['\xa0»', '”']

30 Mot inconnu : PSUS4 => Pour ma part avec un PSUS4 et une imprimante HP PSC 1610 sous ubuntu Gutsy Gibbon, j'ai dû aller dans : | psus4
30 Mot inconnu : HP => Pour ma part avec un PSUS4 et une imprimante HP PSC 1610 sous ubuntu Gutsy Gibbon, j'ai dû aller dans : | hp
30 Mot inconnu : PSC => Pour ma part avec un PSUS4 et une imprimante HP PSC 1610 sous ubuntu Gutsy Gibbon, j'ai dû aller dans : | psc
30 Mot inconnu : Gutsy => Pour ma part avec un PSUS4 et une imprimante HP PSC 1610 sous ubuntu Gutsy Gibbon, j'ai dû aller dans : | gutsy

31 Guillemets typographiques ouvrants. => 'Système -> Administration -> Impression' | ' => suggestions : ['“', '‘', '‹']
31 Guillemets typographiques fermants. => 'Système -> Administration -> Impression' | ' => suggestions : ['”', '’', '›']

32 Guillemets typographiques ouvrants. => puis cliquer sur ''Nouvelle imprimante''. | '' => suggestions : ['«\xa0', '“']
32 Guillemets typographiques fermants. => puis cliquer sur ''Nouvelle imprimante''. | '' => suggestions : ['\xa0»', '”']

33 Guillemets typographiques ouvrants. => puis choisir "AppSocket / HP JetDirect" comme type de connexion et entrer l'adresse IP du PSUS4. | " => suggestions : ['«\xa0', '“']
33 Mot inconnu : AppSocket => puis choisir "AppSocket / HP JetDirect" comme type de connexion et entrer l'adresse IP du PSUS4. | appsocket
33 Mot inconnu : HP => puis choisir "AppSocket / HP JetDirect" comme type de connexion et entrer l'adresse IP du PSUS4. | hp
33 Mot inconnu : JetDirect => puis choisir "AppSocket / HP JetDirect" comme type de connexion et entrer l'adresse IP du PSUS4. | jetdirect
