
3 Mot inconnu : MSMTP => ====== MSMTP ====== | msmtp

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  **msmtp** est un client [[https://fr.wikipedia.org/wiki/Simple_Mail_Transfer_Protocol|SMTP]] très simple et facile à configurer pour l'envoi de courriels. \\ |   => suggestions : ['']
5 Mot inconnu : msmtp =>  **msmtp** est un client [[https://fr.wikipedia.org/wiki/Simple_Mail_Transfer_Protocol|SMTP]] très simple et facile à configurer pour l'envoi de courriels. \\ | msmtp

7 Mot inconnu : sendmail => Il est entièrement compatible avec sendmail, prend en charge le transport sécurisé TLS, les comptes multiples, diverses méthodes d’authentification et les notifications de distribution.\\ | sendmail
7 Mot inconnu : TLS => Il est entièrement compatible avec sendmail, prend en charge le transport sécurisé TLS, les comptes multiples, diverses méthodes d’authentification et les notifications de distribution.\\ | tls

9 Mot inconnu : msmtp => **msmtp** est la solution idéale si vous avez besoin que votre serveur vous envoie les courriels de notifications (taches [[cron|Programmer des tâches avec CRON]], [[logwatch|Logwatch]] ou autre) sans avoir à mettre en place une solution plus lourde comme: | msmtp
9 Mot inconnu : cron => **msmtp** est la solution idéale si vous avez besoin que votre serveur vous envoie les courriels de notifications (taches [[cron|Programmer des tâches avec CRON]], [[logwatch|Logwatch]] ou autre) sans avoir à mettre en place une solution plus lourde comme: | cron
9 Mot inconnu : CRON => **msmtp** est la solution idéale si vous avez besoin que votre serveur vous envoie les courriels de notifications (taches [[cron|Programmer des tâches avec CRON]], [[logwatch|Logwatch]] ou autre) sans avoir à mettre en place une solution plus lourde comme: | cron
9 Mot inconnu : logwatch => **msmtp** est la solution idéale si vous avez besoin que votre serveur vous envoie les courriels de notifications (taches [[cron|Programmer des tâches avec CRON]], [[logwatch|Logwatch]] ou autre) sans avoir à mettre en place une solution plus lourde comme: | logwatch

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

29 Mot inconnu : defaults => defaults | defaults

30 Mot inconnu : auth => auth           on | auth
30 Espace(s) surnuméraire(s) à supprimer. => auth           on |             => suggestions : [' ']

31 Mot inconnu : tls => tls            on | tls
31 Espace(s) surnuméraire(s) à supprimer. => tls            on |              => suggestions : [' ']

32 Mot inconnu : tls_starttls => tls_starttls   on | tls_starttls
32 Espace(s) surnuméraire(s) à supprimer. => tls_starttls   on |     => suggestions : [' ']

33 Mot inconnu : tls_trust_file => tls_trust_file /etc/ssl/certs/ca-certificates.crt | tls_trust_file

34 Mot inconnu : logfile => logfile        /var/log/msmtp | logfile
34 Espace(s) surnuméraire(s) à supprimer. => logfile        /var/log/msmtp |          => suggestions : [' ']

36 Mot inconnu : Gmail => # Exemple pour un compte Gmail | gmail

37 Mot inconnu : account => account        gmail | account
37 Espace(s) surnuméraire(s) à supprimer. => account        gmail |          => suggestions : [' ']
37 Mot inconnu : gmail => account        gmail | gmail

38 Mot inconnu : auth => auth           plain | auth
38 Espace(s) surnuméraire(s) à supprimer. => auth           plain |             => suggestions : [' ']

39 Mot inconnu : host => host           smtp.gmail.com | host
39 Espace(s) surnuméraire(s) à supprimer. => host           smtp.gmail.com |             => suggestions : [' ']

40 Espace(s) surnuméraire(s) à supprimer. => port           587 |             => suggestions : [' ']

41 Mot inconnu : from => from           username@gmail.com | from
41 Espace(s) surnuméraire(s) à supprimer. => from           username@gmail.com |             => suggestions : [' ']

42 Espace(s) surnuméraire(s) à supprimer. => user           username |             => suggestions : [' ']
42 Mot inconnu : username => user           username | username

43 Mot inconnu : password => password       XXXXXXXXXX | password
43 Espace(s) surnuméraire(s) à supprimer. => password       XXXXXXXXXX |         => suggestions : [' ']
43 Mot inconnu : XXXXXXXXXX => password       XXXXXXXXXX | xxxxxxxxxx

45 Mot inconnu : GMX => # Exemple pour un compte GMX | gmx

46 Mot inconnu : account => account        gmx | account
46 Espace(s) surnuméraire(s) à supprimer. => account        gmx |          => suggestions : [' ']
46 Mot inconnu : gmx => account        gmx | gmx

47 Mot inconnu : host => host           mail.gmx.com | host
47 Espace(s) surnuméraire(s) à supprimer. => host           mail.gmx.com |             => suggestions : [' ']

48 Espace(s) surnuméraire(s) à supprimer. => port           587 |             => suggestions : [' ']

49 Mot inconnu : from => from           username@gmx.com | from
49 Espace(s) surnuméraire(s) à supprimer. => from           username@gmx.com |             => suggestions : [' ']

50 Espace(s) surnuméraire(s) à supprimer. => user           username@gmx.com |             => suggestions : [' ']

51 Mot inconnu : password => password       XXXXXXXXXX | password
51 Espace(s) surnuméraire(s) à supprimer. => password       XXXXXXXXXX |         => suggestions : [' ']
51 Mot inconnu : XXXXXXXXXX => password       XXXXXXXXXX | xxxxxxxxxx

52 Mot inconnu : tls_nocertcheck => tls_nocertcheck | tls_nocertcheck

55 Mot inconnu : account => account        ovh | account
55 Espace(s) surnuméraire(s) à supprimer. => account        ovh |          => suggestions : [' ']
55 Mot inconnu : ovh => account        ovh | ovh

56 Mot inconnu : host => host           XXXXXX.ovh.net | host
56 Espace(s) surnuméraire(s) à supprimer. => host           XXXXXX.ovh.net |             => suggestions : [' ']

57 Espace(s) surnuméraire(s) à supprimer. => port           465 |             => suggestions : [' ']

58 Mot inconnu : from => from           username@example.com | from
58 Espace(s) surnuméraire(s) à supprimer. => from           username@example.com |             => suggestions : [' ']

59 Espace(s) surnuméraire(s) à supprimer. => user           username@example.com |             => suggestions : [' ']

60 Mot inconnu : password => password       XXXXXXXXXX | password
60 Espace(s) surnuméraire(s) à supprimer. => password       XXXXXXXXXX |         => suggestions : [' ']
60 Mot inconnu : XXXXXXXXXX => password       XXXXXXXXXX | xxxxxxxxxx

62 Mot inconnu : Infomaniak => # Exemple pour un compte Infomaniak | infomaniak

63 Mot inconnu : account => account        infomaniak | account
63 Espace(s) surnuméraire(s) à supprimer. => account        infomaniak |          => suggestions : [' ']
63 Mot inconnu : infomaniak => account        infomaniak | infomaniak

64 Mot inconnu : host => host           mail.infomaniak.com | host
64 Espace(s) surnuméraire(s) à supprimer. => host           mail.infomaniak.com |             => suggestions : [' ']

65 Espace(s) surnuméraire(s) à supprimer. => port           587 |             => suggestions : [' ']

66 Mot inconnu : from => from           username@example.com | from
66 Espace(s) surnuméraire(s) à supprimer. => from           username@example.com |             => suggestions : [' ']

67 Espace(s) surnuméraire(s) à supprimer. => user           username@example.com |             => suggestions : [' ']

68 Mot inconnu : password => password       XXXXXXXXXX | password
68 Espace(s) surnuméraire(s) à supprimer. => password       XXXXXXXXXX |         => suggestions : [' ']
68 Mot inconnu : XXXXXXXXXX => password       XXXXXXXXXX | xxxxxxxxxx

70 Mot inconnu : MailHog => # Exemple pour un serveur de test MailHog | mailhog

71 Mot inconnu : account => account        mailhog | account
