
4 Mot inconnu : CurlFtpFS => ======CurlFtpFS ====== | curlftpfs

5 Mot inconnu : CurlFtpFS => CurlFtpFS sert à monter sur son système de fichier, un autre système de fichier distant, à travers une connexion FTP, le tout avec des droits utilisateur.\\ | curlftpfs
5 Accord de nombre erroné avec « des droits » : « utilisateur » devrait être au pluriel. => CurlFtpFS sert à monter sur son système de fichier, un autre système de fichier distant, à travers une connexion FTP, le tout avec des droits utilisateur.\\ | utilisateur => suggestions : ['utilisateurs']

6 Mot inconnu : timeout => Il intègre une fonction de reconnexion automatique en cas de //timeout// de connexion.\\ | timeout

7 Mot inconnu : Nautilus => L'avantage est de manipuler les données distantes avec n'importe quel gestionnaire de fichiers (Nautilus, Konqueror, ROX, ou même la ligne de commande), ce qui est bien plus pratique que les commandes consoles de ftp ou des logiciels comme gFTP. | nautilus
7 Mot inconnu : Konqueror => L'avantage est de manipuler les données distantes avec n'importe quel gestionnaire de fichiers (Nautilus, Konqueror, ROX, ou même la ligne de commande), ce qui est bien plus pratique que les commandes consoles de ftp ou des logiciels comme gFTP. | konqueror
7 Mot inconnu : ROX => L'avantage est de manipuler les données distantes avec n'importe quel gestionnaire de fichiers (Nautilus, Konqueror, ROX, ou même la ligne de commande), ce qui est bien plus pratique que les commandes consoles de ftp ou des logiciels comme gFTP. | rox
7 Conjugaison erronée. Accord avec “les commandes…”. Le verbe devrait être à la 3ᵉ personne du pluriel. => L'avantage est de manipuler les données distantes avec n'importe quel gestionnaire de fichiers (Nautilus, Konqueror, ROX, ou même la ligne de commande), ce qui est bien plus pratique que les commandes consoles de ftp ou des logiciels comme gFTP. | consoles => suggestions : ['consolent']
7 Mot inconnu : gFTP => L'avantage est de manipuler les données distantes avec n'importe quel gestionnaire de fichiers (Nautilus, Konqueror, ROX, ou même la ligne de commande), ce qui est bien plus pratique que les commandes consoles de ftp ou des logiciels comme gFTP. | gftp

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée |    => suggestions : ['']

20 Guillemets typographiques ouvrants. => Pas de configuration particulière sauf l'ajout de votre user dans le groupe 'fuse' (cela évitera par la suite d'avoir besoin d'utiliser la commande **''sudo''**) : | ' => suggestions : ['“', '‘', '‹']
20 Guillemets typographiques fermants. => Pas de configuration particulière sauf l'ajout de votre user dans le groupe 'fuse' (cela évitera par la suite d'avoir besoin d'utiliser la commande **''sudo''**) : | ' => suggestions : ['”', '’', '›']
20 Mot inconnu : sudo => Pas de configuration particulière sauf l'ajout de votre user dans le groupe 'fuse' (cela évitera par la suite d'avoir besoin d'utiliser la commande **''sudo''**) : | sudo
20 Guillemets typographiques fermants. => Pas de configuration particulière sauf l'ajout de votre user dans le groupe 'fuse' (cela évitera par la suite d'avoir besoin d'utiliser la commande **''sudo''**) : | '' => suggestions : ['\xa0»', '”']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   sudo adduser $USER fuse |    => suggestions : ['']
22 Mot inconnu : sudo =>   sudo adduser $USER fuse | sudo
22 Mot inconnu : adduser =>   sudo adduser $USER fuse | adduser

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   curlftpfs  user@ftp.server.com /mnt/point_de_montage |    => suggestions : ['']
27 Mot inconnu : curlftpfs =>   curlftpfs  user@ftp.server.com /mnt/point_de_montage | curlftpfs
27 Espace(s) surnuméraire(s) à supprimer. =>   curlftpfs  user@ftp.server.com /mnt/point_de_montage |    => suggestions : [' ']

28 Mot inconnu : password => <note important>N.B.: Cacher le password dans le fichier .netrc (cf. **''man netrc''**)</note> | password
28 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => <note important>N.B.: Cacher le password dans le fichier .netrc (cf. **''man netrc''**)</note> |  . => suggestions : ['. ', '.']
28 Mot inconnu : netrc => <note important>N.B.: Cacher le password dans le fichier .netrc (cf. **''man netrc''**)</note> | netrc
28 Mot inconnu : netrc => <note important>N.B.: Cacher le password dans le fichier .netrc (cf. **''man netrc''**)</note> | netrc
28 Guillemets typographiques fermants. => <note important>N.B.: Cacher le password dans le fichier .netrc (cf. **''man netrc''**)</note> | '' => suggestions : ['\xa0»', '”']

29 Mot inconnu : verbose => <note tip>pour aider à déboguer vous pouvez utiliser l'option **-v** (verbose) de Fuse </note> | verbose

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   fusermount -u /mnt/point_de_montage |    => suggestions : ['']
35 Mot inconnu : fusermount =>   fusermount -u /mnt/point_de_montage | fusermount
35 Il manque un espace à côté du tiret. =>   fusermount -u /mnt/point_de_montage |  - => suggestions : [' – ', ' — ']

44 Incohérence : espace et tabulation. => # <file system>				         <mount point>		<type>	<options>			        <dump>	<pass> | 	  => suggestions : [' ', '\t']
44 Incohérence : espace et tabulation. => # <file system>				         <mount point>		<type>	<options>			        <dump>	<pass> | 	  => suggestions : [' ', '\t']

45 Mot inconnu : curlftpfs => curlftpfs#login:mot_de_passe@ftp.host.com	/répertoire/local	fuse	rw,user,allow_other,uid=1000,_netdev	0	0 | curlftpfs
45 Il manque un espace. => curlftpfs#login:mot_de_passe@ftp.host.com	/répertoire/local	fuse	rw,user,allow_other,uid=1000,_netdev	0	0 | mot_de => suggestions : [' __MAIL']
45 Mot inconnu : rw => curlftpfs#login:mot_de_passe@ftp.host.com	/répertoire/local	fuse	rw,user,allow_other,uid=1000,_netdev	0	0 | rw
45 Il manque un espace. => curlftpfs#login:mot_de_passe@ftp.host.com	/répertoire/local	fuse	rw,user,allow_other,uid=1000,_netdev	0	0 | user => suggestions : [' user']
45 Mot inconnu : allow_other => curlftpfs#login:mot_de_passe@ftp.host.com	/répertoire/local	fuse	rw,user,allow_other,uid=1000,_netdev	0	0 | allow_other
45 Il manque un espace. => curlftpfs#login:mot_de_passe@ftp.host.com	/répertoire/local	fuse	rw,user,allow_other,uid=1000,_netdev	0	0 | uid => suggestions : [' uid']
45 Mot inconnu : uid => curlftpfs#login:mot_de_passe@ftp.host.com	/répertoire/local	fuse	rw,user,allow_other,uid=1000,_netdev	0	0 | uid
45 Mot inconnu : _netdev => curlftpfs#login:mot_de_passe@ftp.host.com	/répertoire/local	fuse	rw,user,allow_other,uid=1000,_netdev	0	0 | _netdev

