
3 Mot inconnu : WvDial => ====== WvDial : configurer votre connexion par modem ====== | wvdial

4 Mot inconnu : WvDial => WvDial est une application permettant de se connecter à Internet avec un modem RTC 56 K, un téléphone ou une clé 3G. | wvdial
4 Mot inconnu : RTC => WvDial est une application permettant de se connecter à Internet avec un modem RTC 56 K, un téléphone ou une clé 3G. | rtc

18 Mot inconnu : Dialer => [Dialer Defaults] | dialer
18 Mot inconnu : Defaults => [Dialer Defaults] | defaults

19 Mot inconnu : Init1 => Init1 = ATZ | init1
19 Mot inconnu : ATZ => Init1 = ATZ | atz

20 Mot inconnu : Init2 => Init2 = ATQ0 V1 E1 S0=0 &C1 &D2 +FCLASS=0 | init2
20 Mot inconnu : ATQ0 => Init2 = ATQ0 V1 E1 S0=0 &C1 &D2 +FCLASS=0 | atq0
20 Mot inconnu : V1 => Init2 = ATQ0 V1 E1 S0=0 &C1 &D2 +FCLASS=0 | v1
20 Mot inconnu : E1 => Init2 = ATQ0 V1 E1 S0=0 &C1 &D2 +FCLASS=0 | e1
20 Mot inconnu : S0 => Init2 = ATQ0 V1 E1 S0=0 &C1 &D2 +FCLASS=0 | s0
20 Mot inconnu : C1 => Init2 = ATQ0 V1 E1 S0=0 &C1 &D2 +FCLASS=0 | c1
20 Mot inconnu : D2 => Init2 = ATQ0 V1 E1 S0=0 &C1 &D2 +FCLASS=0 | d2
20 Mot inconnu : FCLASS => Init2 = ATQ0 V1 E1 S0=0 &C1 &D2 +FCLASS=0 | fclass

21 Mot inconnu : Init3 => Init3 = AT+CGDCONT=1,"IP","orange" | init3
21 Mot inconnu : CGDCONT => Init3 = AT+CGDCONT=1,"IP","orange" | cgdcont
21 Guillemets typographiques ouvrants. => Init3 = AT+CGDCONT=1,"IP","orange" | " => suggestions : ['«\xa0', '“']
21 Guillemets typographiques fermants. => Init3 = AT+CGDCONT=1,"IP","orange" | " => suggestions : ['\xa0»', '”']
21 Guillemets typographiques ouvrants. => Init3 = AT+CGDCONT=1,"IP","orange" | " => suggestions : ['«\xa0', '“']
21 Guillemets typographiques fermants. => Init3 = AT+CGDCONT=1,"IP","orange" | " => suggestions : ['\xa0»', '”']

22 Mot inconnu : Analog => Modem Type = Analog Modem | analog

23 Mot inconnu : ISDN => ISDN = 0 | isdn

25 Mot inconnu : PPPD => New PPPD = yes | pppd
25 Mot inconnu : yes => New PPPD = yes | yes

27 Mot inconnu : Username => Username = orange | username

28 Mot inconnu : Password => Password = orange | password

29 Formatage des grands nombres. => Baud = 460800 | 460800 => suggestions : ['460\xa0800']

36 Mot inconnu : WvDial => ==== Se connecter avec WvDial ==== | wvdial

39 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => et laisser faire... ça doit se connecter. Lorsque les adresses IP apparaissent, la connexion est établie. | et => suggestions : ['Et']
39 Typographie : points de suspension. Utilisez le caractère dédié. => et laisser faire... ça doit se connecter. Lorsque les adresses IP apparaissent, la connexion est établie. | ... => suggestions : ['…']

41 Mot inconnu : WvDial => ==== Se déconnecter avec WvDial ==== | wvdial

42 Mot inconnu : WvDial => Lorsque la fenêtre WvDial est active, il suffit d'utiliser le raccourci clavier Ctrl + C.\\ | wvdial

43 Mot inconnu : ip => Comme toujours avec les connexions analogiques, il se peut qu'après un certain délai sans réponse vous deviez annuler puis réessayer une autre fois même si la composition fonctionnait. De plus, si une fois connecté votre navigateur n'affiche rien, regardez si le contenu de **/etc/resolv.conf** affiche bien des adresses ip. Sinon, faites de ce fichier un lien qui pointera vers **/etc/ppp/resolv.conf**, votre véritable fichier resolv.conf. Ceci permettra la résolution de noms de domaines (DNS), qui sert au bout du compte à afficher les pages web à partir d'adresses web. | ip
43 Mot inconnu : resolv => Comme toujours avec les connexions analogiques, il se peut qu'après un certain délai sans réponse vous deviez annuler puis réessayer une autre fois même si la composition fonctionnait. De plus, si une fois connecté votre navigateur n'affiche rien, regardez si le contenu de **/etc/resolv.conf** affiche bien des adresses ip. Sinon, faites de ce fichier un lien qui pointera vers **/etc/ppp/resolv.conf**, votre véritable fichier resolv.conf. Ceci permettra la résolution de noms de domaines (DNS), qui sert au bout du compte à afficher les pages web à partir d'adresses web. | resolv
43 Il manque un espace. => Comme toujours avec les connexions analogiques, il se peut qu'après un certain délai sans réponse vous deviez annuler puis réessayer une autre fois même si la composition fonctionnait. De plus, si une fois connecté votre navigateur n'affiche rien, regardez si le contenu de **/etc/resolv.conf** affiche bien des adresses ip. Sinon, faites de ce fichier un lien qui pointera vers **/etc/ppp/resolv.conf**, votre véritable fichier resolv.conf. Ceci permettra la résolution de noms de domaines (DNS), qui sert au bout du compte à afficher les pages web à partir d'adresses web. | conf => suggestions : [' conf']

45 Mot inconnu : WvDial => ==== Comment lancer WvDial avec un raccourci ? ==== | wvdial

49 Mot inconnu : wvdial => Il est alors possible de lancer wvdial en faisant une recherche "WvDial" dans votre tableau de bord. | wvdial
49 Guillemets typographiques ouvrants. => Il est alors possible de lancer wvdial en faisant une recherche "WvDial" dans votre tableau de bord. | " => suggestions : ['«\xa0', '“']
49 Mot inconnu : WvDial => Il est alors possible de lancer wvdial en faisant une recherche "WvDial" dans votre tableau de bord. | wvdial
49 Guillemets typographiques fermants. => Il est alors possible de lancer wvdial en faisant une recherche "WvDial" dans votre tableau de bord. | " => suggestions : ['\xa0»', '”']

