
5 Mot inconnu : glChess => ====== glChess: Jeux d'échecs ====== | glchess

7 Mot inconnu : GlChess => **GlChess** est une //interface graphique// permettant de jouer aux échecs. | glchess

9 Nombre ordinal. Second : 2ᵈ. Seconde : 2ᵈᵉ. Seconds : 2ᵈˢ. Secondes : 2ᵈᵉˢ. => Par défaut le jeu se fera en 2D, sur un tableau représentant l'échiquier, chaque pièce étant figurée par un symbole. | 2d => suggestions : ['2ᵈ']

11 Espace(s) en fin de ligne à supprimer. => Si votre ordinateur est suffisamment puissant et que vous avez activé l'accélération 3D, vous pourrez obtenir une vision 3D.  |   => suggestions : ['']

13 Nombre ordinal. Second : 2ᵈ. Seconde : 2ᵈᵉ. Seconds : 2ᵈˢ. Secondes : 2ᵈᵉˢ. => ^ Version 2D ^ Version 3D ^ | 2d => suggestions : ['2ᵈ']

18 Mot inconnu : FIXME => FIXME!!! Cette commande installe [[GNOME Chess]] | fixme
18 Mot inconnu : Chess => FIXME!!! Cette commande installe [[GNOME Chess]] | chess

28 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => glChess n'est pas un jeu d'échec, juste une interface graphique. Pour pouvoir jouer et affronter un adversaire, il vous faut ajouter un « moteur ».  | glchess => suggestions : ['Glchess']
28 Mot inconnu : glChess => glChess n'est pas un jeu d'échec, juste une interface graphique. Pour pouvoir jouer et affronter un adversaire, il vous faut ajouter un « moteur ».  | glchess
28 Espace(s) en fin de ligne à supprimer. => glChess n'est pas un jeu d'échec, juste une interface graphique. Pour pouvoir jouer et affronter un adversaire, il vous faut ajouter un « moteur ».  |   => suggestions : ['']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * GNU Chess |    => suggestions : ['']
32 Mot inconnu : Chess =>   * GNU Chess | chess

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Phalanx |    => suggestions : ['']
33 Mot inconnu : Phalanx =>   * Phalanx | phalanx

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Crafty |    => suggestions : ['']
34 Mot inconnu : Crafty =>   * Crafty | crafty

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * etc... |    => suggestions : ['']
35 Un seul point après « etc. » =>   * etc... | etc... => suggestions : ['etc.']

39 Mot inconnu : glChess => Après avoir lancé glChess, vous vous trouvez face à un échiquier nu. Cliquez sur le menu « Game » (ou « Partie »), puis sur « Nouveau » ((Vous pouvez également faire un « Ctrl--n » au clavier.)). | glchess
39 Mot inconnu : Game => Après avoir lancé glChess, vous vous trouvez face à un échiquier nu. Cliquez sur le menu « Game » (ou « Partie »), puis sur « Nouveau » ((Vous pouvez également faire un « Ctrl--n » au clavier.)). | game
41 Espace(s) en fin de ligne à supprimer. => Une fenêtre va s'ouvrir, détaillant trois options :  |   => suggestions : ['']

43 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - La première résume la qualité de adversaires (Humain contre humain, Humain contre machine, etc).  |    => suggestions : ['']
43 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - La première résume la qualité de adversaires (Humain contre humain, Humain contre machine, etc).  |  -  => suggestions : [' – ', ' — ', ' − ']
43 Élision de l’article devant un mot commençant par une voyelle. =>   - La première résume la qualité de adversaires (Humain contre humain, Humain contre machine, etc).  | de  => suggestions : ['d’']
43 Espace(s) en fin de ligne à supprimer. =>   - La première résume la qualité de adversaires (Humain contre humain, Humain contre machine, etc).  |   => suggestions : ['']

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - La deuxième vous permet de déterminer la qualité de chacun des adversaires : |    => suggestions : ['']
44 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - La deuxième vous permet de déterminer la qualité de chacun des adversaires : |  -  => suggestions : [' – ', ' — ', ' − ']

45 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     - Humain contre humain (jouer à deux, au tour par tour, sur l'ordinateur) |      => suggestions : ['']
45 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     - Humain contre humain (jouer à deux, au tour par tour, sur l'ordinateur) |  -  => suggestions : [' – ', ' — ', ' − ']

46 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     - Humain contre machine (jouer seul contre un robot) |      => suggestions : ['']
46 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     - Humain contre machine (jouer seul contre un robot) |  -  => suggestions : [' – ', ' — ', ' − ']

47 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     - Machine contre machine (observer une partie) |      => suggestions : ['']
47 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     - Machine contre machine (observer une partie) |  -  => suggestions : [' – ', ' — ', ' − ']
48 Mot inconnu : GNUChess => Le terme de « machine » est ici employé pour désigner les moteurs de jeu que vous aurez installé. Vous pourrez, dans les menus déroulants, affrontez GNUChess, Phalanx, les regarder jouer l'un contre l'autre, etc. | gnuchess
48 Mot inconnu : Phalanx => Le terme de « machine » est ici employé pour désigner les moteurs de jeu que vous aurez installé. Vous pourrez, dans les menus déroulants, affrontez GNUChess, Phalanx, les regarder jouer l'un contre l'autre, etc. | phalanx

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     - La dernière autorise le réglage du degré de difficulté qu'adoptera la machine (facile, normal, difficile). |      => suggestions : ['']
49 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>     - La dernière autorise le réglage du degré de difficulté qu'adoptera la machine (facile, normal, difficile). |  -  => suggestions : [' – ', ' — ', ' − ']

59 Espace(s) en fin de ligne à supprimer. => Une fois la partie arrivée à son terme, un bandeau jaune vous informe du coup final.  |   => suggestions : ['']
61 Mot inconnu : Game => Il faut terminer la partie en fermant la fenêtre de jeu : en cliquant dans le menu « Game » (ou « Partie ») sur l'option « Terminer la partie ». Vous pourrez ainsi obtenir la fermeture de la fenêtre.  | game
61 Espace(s) en fin de ligne à supprimer. => Il faut terminer la partie en fermant la fenêtre de jeu : en cliquant dans le menu « Game » (ou « Partie ») sur l'option « Terminer la partie ». Vous pourrez ainsi obtenir la fermeture de la fenêtre.  |   => suggestions : ['']

73 Mot inconnu : Download => Pour le dernier paquet, s'il n'est pas disponible dans les dépôts, vous le trouverez sur la page [[http://glchess.sourceforge.net/?q=node/7]] en cliquant sur [[http://prdownloads.sourceforge.net/glchess/python-gtkglext1_1.1.0-2feisty_i386.deb?download|Download PyGtkGlExt]]. | download
73 Mot inconnu : PyGtkGlExt => Pour le dernier paquet, s'il n'est pas disponible dans les dépôts, vous le trouverez sur la page [[http://glchess.sourceforge.net/?q=node/7]] en cliquant sur [[http://prdownloads.sourceforge.net/glchess/python-gtkglext1_1.1.0-2feisty_i386.deb?download|Download PyGtkGlExt]]. | pygtkglext
77 Espace(s) en fin de ligne à supprimer. => Pour ce faire, allez dans le menu « Voir », et sélectionnez l'option « 3D ».  |   => suggestions : ['']

81 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * [[https://wiki.gnome.org/Apps/Chess|Page principale de GLChess]] (en) |    => suggestions : ['']
81 Mot inconnu : GLChess =>   * [[https://wiki.gnome.org/Apps/Chess|Page principale de GLChess]] (en) | glchess
