5 Mot inconnu : Zepto [[29:34]] => ====== Liste des portables « Zepto » ====== <|> zepto

9 Mot inconnu : A15 [[65:68]] => <note important>Pour leur nouveau modèle d'entrée de gamme Titan A15 (~350€ TTC), le site du constructeur annonce (août 2008) : <|> a15

10 Si “G” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. [[34:37]] => >Les tests réalisés à ce jour par 3 G Plus sur Ubuntu 8.04 indiquent un problème de compatibilité avec la carte graphique SIS Mirage (impossible d'avoir la 3D, au mieux 2D avec la bonne résolution). <|> 3 g => suggestions : None
10 Nombre ordinal. Second : 2ᵈ. Seconde : 2ᵈᵉ. Seconds : 2ᵈˢ. Secondes : 2ᵈᵉˢ. [[169:171]] => >Les tests réalisés à ce jour par 3 G Plus sur Ubuntu 8.04 indiquent un problème de compatibilité avec la carte graphique SIS Mirage (impossible d'avoir la 3D, au mieux 2D avec la bonne résolution). <|> 2d => suggestions : None

14 Mot inconnu : Znote [[1:6]] => |Znote 6625WD| non | non | Tout fonctionne très bien. La webcam fonctionne avec les pilotes suivant sous aMSN malgrés une image en noir et blanc (http://m560x-driver.svn.sourceforge.net/svnroot/m560x-driver). La carte TV TNT Zmore DVB-T ne fonctionne pas. Les boutons programmables P1 et P2 ne focntionne pas.| Gusty Gibbon 7.10| <|> znote
14 Mot inconnu : WD [[11:13]] => |Znote 6625WD| non | non | Tout fonctionne très bien. La webcam fonctionne avec les pilotes suivant sous aMSN malgrés une image en noir et blanc (http://m560x-driver.svn.sourceforge.net/svnroot/m560x-driver). La carte TV TNT Zmore DVB-T ne fonctionne pas. Les boutons programmables P1 et P2 ne focntionne pas.| Gusty Gibbon 7.10| <|> wd
14 Mot inconnu : aMSN [[105:109]] => |Znote 6625WD| non | non | Tout fonctionne très bien. La webcam fonctionne avec les pilotes suivant sous aMSN malgrés une image en noir et blanc (http://m560x-driver.svn.sourceforge.net/svnroot/m560x-driver). La carte TV TNT Zmore DVB-T ne fonctionne pas. Les boutons programmables P1 et P2 ne focntionne pas.| Gusty Gibbon 7.10| <|> amsn
14 Mot inconnu : malgrés [[110:117]] => |Znote 6625WD| non | non | Tout fonctionne très bien. La webcam fonctionne avec les pilotes suivant sous aMSN malgrés une image en noir et blanc (http://m560x-driver.svn.sourceforge.net/svnroot/m560x-driver). La carte TV TNT Zmore DVB-T ne fonctionne pas. Les boutons programmables P1 et P2 ne focntionne pas.| Gusty Gibbon 7.10| <|> malgrés
14 Mot inconnu : Zmore [[225:230]] => |Znote 6625WD| non | non | Tout fonctionne très bien. La webcam fonctionne avec les pilotes suivant sous aMSN malgrés une image en noir et blanc (http://m560x-driver.svn.sourceforge.net/svnroot/m560x-driver). La carte TV TNT Zmore DVB-T ne fonctionne pas. Les boutons programmables P1 et P2 ne focntionne pas.| Gusty Gibbon 7.10| <|> zmore
14 Mot inconnu : DVB-T [[231:236]] => |Znote 6625WD| non | non | Tout fonctionne très bien. La webcam fonctionne avec les pilotes suivant sous aMSN malgrés une image en noir et blanc (http://m560x-driver.svn.sourceforge.net/svnroot/m560x-driver). La carte TV TNT Zmore DVB-T ne fonctionne pas. Les boutons programmables P1 et P2 ne focntionne pas.| Gusty Gibbon 7.10| <|> dvb-t
14 Mot inconnu : P1 [[282:284]] => |Znote 6625WD| non | non | Tout fonctionne très bien. La webcam fonctionne avec les pilotes suivant sous aMSN malgrés une image en noir et blanc (http://m560x-driver.svn.sourceforge.net/svnroot/m560x-driver). La carte TV TNT Zmore DVB-T ne fonctionne pas. Les boutons programmables P1 et P2 ne focntionne pas.| Gusty Gibbon 7.10| <|> p1
14 Mot inconnu : P2 [[288:290]] => |Znote 6625WD| non | non | Tout fonctionne très bien. La webcam fonctionne avec les pilotes suivant sous aMSN malgrés une image en noir et blanc (http://m560x-driver.svn.sourceforge.net/svnroot/m560x-driver). La carte TV TNT Zmore DVB-T ne fonctionne pas. Les boutons programmables P1 et P2 ne focntionne pas.| Gusty Gibbon 7.10| <|> p2
14 Mot inconnu : focntionne [[294:304]] => |Znote 6625WD| non | non | Tout fonctionne très bien. La webcam fonctionne avec les pilotes suivant sous aMSN malgrés une image en noir et blanc (http://m560x-driver.svn.sourceforge.net/svnroot/m560x-driver). La carte TV TNT Zmore DVB-T ne fonctionne pas. Les boutons programmables P1 et P2 ne focntionne pas.| Gusty Gibbon 7.10| <|> focntionne
14 Mot inconnu : Gusty [[311:316]] => |Znote 6625WD| non | non | Tout fonctionne très bien. La webcam fonctionne avec les pilotes suivant sous aMSN malgrés une image en noir et blanc (http://m560x-driver.svn.sourceforge.net/svnroot/m560x-driver). La carte TV TNT Zmore DVB-T ne fonctionne pas. Les boutons programmables P1 et P2 ne focntionne pas.| Gusty Gibbon 7.10| <|> gusty

