
5 Mot inconnu : Respin => ====== Respin : sauvegarde et live CD de votre système ====== | respin

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * créer une copie distribuable (Live-CD/DVD/USB) que vous pouvez partager avec des amis. Elle ne contiendra aucune de vos données personnelles. |    => suggestions : ['']
10 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   * créer une copie distribuable (Live-CD/DVD/USB) que vous pouvez partager avec des amis. Elle ne contiendra aucune de vos données personnelles. | créer => suggestions : ['Créer']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir installé le paquet **[[apt>isolinux]]**. |    => suggestions : ['']
16 Mot inconnu : isolinux =>   * Avoir installé le paquet **[[apt>isolinux]]**. | isolinux

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

29 Mot inconnu : sudo => sudo apt install respin</code>  | sudo
29 Mot inconnu : install => sudo apt install respin</code>  | install
29 Mot inconnu : respin => sudo apt install respin</code>  | respin
29 Espace(s) en fin de ligne à supprimer. => sudo apt install respin</code>  |   => suggestions : ['']

31 Mot inconnu : backup => ==== Pas de connexion Internet au moment du backup respin ==== | backup
31 Mot inconnu : respin => ==== Pas de connexion Internet au moment du backup respin ==== | respin

32 S’il s’agit d’une action à accomplir, le verbe devrait être à l’infinitif. => Si vous souhaitez créez ultérieurement votre Live-CD et que vous ne disposerez alors pas de connexion internet au moment du backup de respin, installez le paquet  | créez => suggestions : ['créer']
32 Mot inconnu : backup => Si vous souhaitez créez ultérieurement votre Live-CD et que vous ne disposerez alors pas de connexion internet au moment du backup de respin, installez le paquet  | backup
32 Mot inconnu : respin => Si vous souhaitez créez ultérieurement votre Live-CD et que vous ne disposerez alors pas de connexion internet au moment du backup de respin, installez le paquet  | respin
32 Espace(s) en fin de ligne à supprimer. => Si vous souhaitez créez ultérieurement votre Live-CD et que vous ne disposerez alors pas de connexion internet au moment du backup de respin, installez le paquet  |   => suggestions : ['']

36 Mot inconnu : Respin => En effet, au moment de créer votre image ISO personnalisée, Respin cherchera à inclure (__**après avoir téléchargé**__) l'un des deux paquets susmentionnés selon votre environnement. Ces paquets servent à lancer le __mode graphique__ de l'installation de votre système personnalisé.\\ | respin
36 Mot inconnu : __ => En effet, au moment de créer votre image ISO personnalisée, Respin cherchera à inclure (__**après avoir téléchargé**__) l'un des deux paquets susmentionnés selon votre environnement. Ces paquets servent à lancer le __mode graphique__ de l'installation de votre système personnalisé.\\ | __
36 Mot inconnu : __ => En effet, au moment de créer votre image ISO personnalisée, Respin cherchera à inclure (__**après avoir téléchargé**__) l'un des deux paquets susmentionnés selon votre environnement. Ces paquets servent à lancer le __mode graphique__ de l'installation de votre système personnalisé.\\ | __
36 Mot inconnu : __mode => En effet, au moment de créer votre image ISO personnalisée, Respin cherchera à inclure (__**après avoir téléchargé**__) l'un des deux paquets susmentionnés selon votre environnement. Ces paquets servent à lancer le __mode graphique__ de l'installation de votre système personnalisé.\\ | __mode
