
6 Mot inconnu : Ok [[6:8]] => ===== Ok pour Linux, mais Debian et Ubuntu ? ===== <|> ok

8 Espace(s) surnuméraire(s) à supprimer. [[239:241]] => En fait, //Linux// n'est qu'un noyau. Tout seul, //Linux// ne sait rien faire, on doit lui rajouter le reste du système d'exploitation. Comme ces programmes sont issus en majorité du //projet GNU//, on parle alors du système //GNU/Linux//.  Par abus de langage, //Linux// désigne le plus souvent //GNU/Linux//. <|>    => suggestions : None
14 Mot inconnu : Red [[26:29]] => Les plus connues sont : //Red Hat/Fedora// (USA), //Mandriva// (France), //Suse// (Allemagne) et //**Debian**// (internationale). Remarquons que tous ces systèmes sont compatibles entre eux et sont des Linux (pardon, GNU/Linux) à part entière. Un programme qui tourne sous Red Hat pourra aussi tourner sous Mandriva, Suse ou Debian. <|> red
14 Mot inconnu : Hat [[30:33]] => Les plus connues sont : //Red Hat/Fedora// (USA), //Mandriva// (France), //Suse// (Allemagne) et //**Debian**// (internationale). Remarquons que tous ces systèmes sont compatibles entre eux et sont des Linux (pardon, GNU/Linux) à part entière. Un programme qui tourne sous Red Hat pourra aussi tourner sous Mandriva, Suse ou Debian. <|> hat
14 Mot inconnu : Suse [[75:79]] => Les plus connues sont : //Red Hat/Fedora// (USA), //Mandriva// (France), //Suse// (Allemagne) et //**Debian**// (internationale). Remarquons que tous ces systèmes sont compatibles entre eux et sont des Linux (pardon, GNU/Linux) à part entière. Un programme qui tourne sous Red Hat pourra aussi tourner sous Mandriva, Suse ou Debian. <|> suse
14 Mot inconnu : Red [[273:276]] => Les plus connues sont : //Red Hat/Fedora// (USA), //Mandriva// (France), //Suse// (Allemagne) et //**Debian**// (internationale). Remarquons que tous ces systèmes sont compatibles entre eux et sont des Linux (pardon, GNU/Linux) à part entière. Un programme qui tourne sous Red Hat pourra aussi tourner sous Mandriva, Suse ou Debian. <|> red
14 Mot inconnu : Hat [[277:280]] => Les plus connues sont : //Red Hat/Fedora// (USA), //Mandriva// (France), //Suse// (Allemagne) et //**Debian**// (internationale). Remarquons que tous ces systèmes sont compatibles entre eux et sont des Linux (pardon, GNU/Linux) à part entière. Un programme qui tourne sous Red Hat pourra aussi tourner sous Mandriva, Suse ou Debian. <|> hat
14 Mot inconnu : Suse [[317:321]] => Les plus connues sont : //Red Hat/Fedora// (USA), //Mandriva// (France), //Suse// (Allemagne) et //**Debian**// (internationale). Remarquons que tous ces systèmes sont compatibles entre eux et sont des Linux (pardon, GNU/Linux) à part entière. Un programme qui tourne sous Red Hat pourra aussi tourner sous Mandriva, Suse ou Debian. <|> suse

18 Mot inconnu : Houlà [[6:11]] => ===== Houlà !, quel bazar ! Si j'installe Ubuntu, j'aurai finalement quoi ? Ubuntu, Debian ou Linux ? ===== <|> houlà
20 Espace(s) surnuméraire(s) à supprimer. [[11:13]] => Les trois !  Vous aurez en fait installé GNU/Linux sur votre ordinateur. Mais vous aurez plus spécialement installé la distribution Ubuntu de GNU/Linux. Et on peut considérer que Ubuntu est en quelque sorte la petite soeur de Debian. <|>    => suggestions : None
20 Mot inconnu : soeur [[217:222]] => Les trois !  Vous aurez en fait installé GNU/Linux sur votre ordinateur. Mais vous aurez plus spécialement installé la distribution Ubuntu de GNU/Linux. Et on peut considérer que Ubuntu est en quelque sorte la petite soeur de Debian. <|> soeur

25 Mot inconnu : The [[106:109]] => Généralement non. Certains programmes existent à la fois pour Windows et Linux (Mozilla, Open-Office.org, The Gimp) mais d'autres n'existent que pour Windows. Cependant, il existe le plus souvent des programmes parfaitement équivalents. La difficulté quand on passe à Linux est en fait d'arriver à retrouver ses marques dans les //programmes équivalents//. Gimp est différent de Photoshop et il faut accepter de se réhabituer. <|> the
