
5 Mot inconnu : XRandR => ====== XRandR ====== | xrandr

11 Mot inconnu : xrandr => Il existe des interfaces graphiques réalisant une partie des transformations de xrandr : | xrandr

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **[[https://debian-facile.org/doc:environnements:x11:arandr|ARandR]]** : très utile pour gérer le multi-écran avec LXDE (Lubuntu). Permet de régler l'emplacement d'un écran activé mais qui n'est pas connecté (écran virtuel qui peut être partagé via vnc) |    => suggestions : ['']
15 Mot inconnu : arandr =>   * **[[https://debian-facile.org/doc:environnements:x11:arandr|ARandR]]** : très utile pour gérer le multi-écran avec LXDE (Lubuntu). Permet de régler l'emplacement d'un écran activé mais qui n'est pas connecté (écran virtuel qui peut être partagé via vnc) | arandr
15 Mot inconnu : LXDE =>   * **[[https://debian-facile.org/doc:environnements:x11:arandr|ARandR]]** : très utile pour gérer le multi-écran avec LXDE (Lubuntu). Permet de régler l'emplacement d'un écran activé mais qui n'est pas connecté (écran virtuel qui peut être partagé via vnc) | lxde
15 Mot inconnu : vnc =>   * **[[https://debian-facile.org/doc:environnements:x11:arandr|ARandR]]** : très utile pour gérer le multi-écran avec LXDE (Lubuntu). Permet de régler l'emplacement d'un écran activé mais qui n'est pas connecté (écran virtuel qui peut être partagé via vnc) | vnc

19 Mot inconnu : xrandr => ==== Connaitre la configuration xrandr actuelle ==== | xrandr

20 Mot inconnu : xrandr => Avant de jouer avec xrandr, il est souvent utile de connaitre la configuration xrandr actuelle. Voici une astuce super utile : utiliser l'application arandr : | xrandr
20 Mot inconnu : xrandr => Avant de jouer avec xrandr, il est souvent utile de connaitre la configuration xrandr actuelle. Voici une astuce super utile : utiliser l'application arandr : | xrandr
20 Mot inconnu : arandr => Avant de jouer avec xrandr, il est souvent utile de connaitre la configuration xrandr actuelle. Voici une astuce super utile : utiliser l'application arandr : | arandr

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Installer **[[apt>arandr]]** |    => suggestions : ['']
21 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Installer **[[apt>arandr]]** |  -  => suggestions : [' – ', ' — ', ' − ']
21 Mot inconnu : arandr =>   - Installer **[[apt>arandr]]** | arandr

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Lancer //arandr// |    => suggestions : ['']
22 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Lancer //arandr// |  -  => suggestions : [' – ', ' — ', ' − ']
22 Mot inconnu : arandr =>   - Lancer //arandr// | arandr

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - (optionnel) changer la configuration de vos écrans |    => suggestions : ['']
23 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - (optionnel) changer la configuration de vos écrans |  -  => suggestions : [' – ', ' — ', ' − ']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Menu //Disposition// => commande //Enregisrter sous...// |    => suggestions : ['']
24 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Menu //Disposition// => commande //Enregisrter sous...// |  -  => suggestions : [' – ', ' — ', ' − ']
24 Mot inconnu : Enregisrter =>   - Menu //Disposition// => commande //Enregisrter sous...// | enregisrter
24 Typographie : points de suspension. Utilisez le caractère dédié. =>   - Menu //Disposition// => commande //Enregisrter sous...// | ... => suggestions : ['…']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Choisir un fichier |    => suggestions : ['']
25 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Choisir un fichier |  -  => suggestions : [' – ', ' — ', ' − ']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Ouvrir le fichier dans un éditeur de texte et vous verrez la commande //xrandr// complète |    => suggestions : ['']
26 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Ouvrir le fichier dans un éditeur de texte et vous verrez la commande //xrandr// complète |  -  => suggestions : [' – ', ' — ', ' − ']
26 Mot inconnu : xrandr =>   - Ouvrir le fichier dans un éditeur de texte et vous verrez la commande //xrandr// complète | xrandr

52 Espace(s) en fin de ligne à supprimer. => Vous voyez apparaître les noms des modes écrans disponibles en première colonne et les différentes fréquences de rafraîchissement disponibles en seconde colonne.   |    => suggestions : ['']

54 Espace(s) surnuméraire(s) à supprimer. => Les noms des écrans apparaissent en MAJUSCULES et leur statut suit.  Il existe 5 sorties vidéo possibles : sortie VGA, sortie DVI, sortie HDMI, sortie LVDS pour la sortie principale d'un portable et sortie TV pour S-video. Les écrans utilisables sont marqués « connected », leurs noms seront utilisés avec la commande « -- output ». |    => suggestions : [' ']
54 Mot inconnu : VGA => Les noms des écrans apparaissent en MAJUSCULES et leur statut suit.  Il existe 5 sorties vidéo possibles : sortie VGA, sortie DVI, sortie HDMI, sortie LVDS pour la sortie principale d'un portable et sortie TV pour S-video. Les écrans utilisables sont marqués « connected », leurs noms seront utilisés avec la commande « -- output ». | vga
