
4 Mot inconnu : DDay [[7:11]] => ====== DDay: Normandy ====== <|> dday
4 Mot inconnu : Normandy [[13:21]] => ====== DDay: Normandy ====== <|> normandy

6 Mot inconnu : FPS [[66:69]] => Il s’agit tout simplement d’un jeu de tir à la première personne (FPS) tout à fait génial sur Linux. Le jeu à l'origine était un mod pour Quake Ⅱ qui a été abandonné par ses développeurs et est depuis développé uniquement par les fans du jeu. <|> fps
6 Mot inconnu : Quake [[138:143]] => Il s’agit tout simplement d’un jeu de tir à la première personne (FPS) tout à fait génial sur Linux. Le jeu à l'origine était un mod pour Quake Ⅱ qui a été abandonné par ses développeurs et est depuis développé uniquement par les fans du jeu. <|> quake
6 Mot inconnu : Ⅱ [[144:145]] => Il s’agit tout simplement d’un jeu de tir à la première personne (FPS) tout à fait génial sur Linux. Le jeu à l'origine était un mod pour Quake Ⅱ qui a été abandonné par ses développeurs et est depuis développé uniquement par les fans du jeu. <|> ⅱ

8 Il manque un trait d’union. [[76:91]] => Concrètement, c’est un jeu qui se joue toujours en équipes (Allemagne, USA, Grande Bretagne, Union Soviétique, Pologne, Japon, Italie), chaque équipe a les mêmes unités, telles que l'officier, le sniper, infanterie, etc qui ont des armes propres à leur pays. On peut y utiliser des armes fixes, de la dynamite, lancer son casque sur les adversaires. C’est très fun. <|> grande bretagne => suggestions : ['Grande-Bretagne']
8 S’il s’agit d’un adjectif, ne mettez pas de majuscule. [[99:109]] => Concrètement, c’est un jeu qui se joue toujours en équipes (Allemagne, USA, Grande Bretagne, Union Soviétique, Pologne, Japon, Italie), chaque équipe a les mêmes unités, telles que l'officier, le sniper, infanterie, etc qui ont des armes propres à leur pays. On peut y utiliser des armes fixes, de la dynamite, lancer son casque sur les adversaires. C’est très fun. <|> soviétique => suggestions : ['soviétique']

10 Accord de nombre erroné : « objectif » devrait être au pluriel. [[147:155]] => Sur certaines cartes il suffit de tuer l’ennemi, sur d’autres il faut capturer des bâtiments pendant un certain temps pour gagner, ou détruire des objectif. Il y a aussi des cartes de « progression » ou le spawn des joueurs avance sur la carte en fonction des objectifs atteints ou non. <|> objectif => suggestions : ['objectifs']
10 Mot inconnu : spawn [[206:211]] => Sur certaines cartes il suffit de tuer l’ennemi, sur d’autres il faut capturer des bâtiments pendant un certain temps pour gagner, ou détruire des objectif. Il y a aussi des cartes de « progression » ou le spawn des joueurs avance sur la carte en fonction des objectifs atteints ou non. <|> spawn

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']
32 Il manque un espace. [[6:7]] =>   * Q,S,D,Z -> Déplacements <|> s => suggestions : [' S']
32 Il manque un espace. [[10:11]] =>   * Q,S,D,Z -> Déplacements <|> z => suggestions : [' Z']
34 Mot inconnu : SPACE [[4:9]] =>   * SPACE -> Sauter <|> space
35 Incohérence avec « S’ » : « accroupir » devrait être un verbe. [[14:23]] =>   * CTRL -> S’accroupir / Se coucher <|> accroupir => suggestions : ['accroupis', 'accroupit']
36 Mot inconnu : Left [[4:8]] =>   * Left click -> Tirer <|> left
36 Mot inconnu : click [[9:14]] =>   * Left click -> Tirer <|> click
37 Mot inconnu : Right [[4:9]] =>   * Right click -> Utiliser arme (position de visée) <|> right
37 Mot inconnu : click [[10:15]] =>   * Right click -> Utiliser arme (position de visée) <|> click
38 Mot inconnu : Middle [[9:15]] =>   * R or Middle click -> Recharger <|> middle
38 Mot inconnu : click [[16:21]] =>   * R or Middle click -> Recharger <|> click

42 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : ['']
