
3 Mot inconnu : Counter-Strike => ====== Counter-Strike: Source ====== | counter-strike

5 Mot inconnu : Steam => <note tip>Cette version est désormais compatible Linux via Steam (compatible aussi), il suffira simplement d'installer le jeu directement via Steam sans passer par Wine en quelques clics. De plus, le restant de la page est devient inutile</note> | steam
5 Pléonasme. => <note tip>Cette version est désormais compatible Linux via Steam (compatible aussi), il suffira simplement d'installer le jeu directement via Steam sans passer par Wine en quelques clics. De plus, le restant de la page est devient inutile</note> | suffira simplement => suggestions : ['suffira']
5 Mot inconnu : Steam => <note tip>Cette version est désormais compatible Linux via Steam (compatible aussi), il suffira simplement d'installer le jeu directement via Steam sans passer par Wine en quelques clics. De plus, le restant de la page est devient inutile</note> | steam
5 Mot inconnu : Wine => <note tip>Cette version est désormais compatible Linux via Steam (compatible aussi), il suffira simplement d'installer le jeu directement via Steam sans passer par Wine en quelques clics. De plus, le restant de la page est devient inutile</note> | wine

7 Mot inconnu : Counter-Strike => **Counter-Strike: Source** est un jeu de tir subjectif multijoueurs développé par l'éditeur de jeux Valve Software. Il n'est pas disponible sous Ubuntu. Cette page indique comment installer la version Windows disponible sur la plate-forme de jeux [[Steam]]. | counter-strike
7 Mot inconnu : Steam => **Counter-Strike: Source** est un jeu de tir subjectif multijoueurs développé par l'éditeur de jeux Valve Software. Il n'est pas disponible sous Ubuntu. Cette page indique comment installer la version Windows disponible sur la plate-forme de jeux [[Steam]]. | steam

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir installé [[Steam]]. |    => suggestions : ['']
13 Mot inconnu : Steam =>   * Avoir installé [[Steam]]. | steam

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir installé une version à jour de [[Wine]]. |    => suggestions : ['']
14 Mot inconnu : Wine =>   * Avoir installé une version à jour de [[Wine]]. | wine

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir activé l'[[accélération graphique]].((Avec certaines cartes graphiques il peut être préférable de couper les effets graphiques du bureau (compiz) car ils peuvent occasionner des pertes de performances.)) |    => suggestions : ['']
15 Mot inconnu : compiz =>   * Avoir activé l'[[accélération graphique]].((Avec certaines cartes graphiques il peut être préférable de couper les effets graphiques du bureau (compiz) car ils peuvent occasionner des pertes de performances.)) | compiz

17 Mot inconnu : desk => ===== Installation =====desk | desk

18 Mot inconnu : PlayOnLinux => ==== via PlayOnLinux ==== | playonlinux

21 Mot inconnu : PlayOnLinux => Il existe un script officiel disponible dans PlayOnLinux , pour l'utiliser , installez premièrement //Counter-Strike: Source// via //Steam// (qui est installé via PlayOnLinux), cherchez dans la liste des jeux (disponible via le boutton **Installer** puis dans la catégorie **Jeux**) le script **Steam : Counter-Strike Source** , lancez le script via le boutton **Appliquer** , choisissez **Déja installé** puis laissez vous guider . | playonlinux
21 Pas d’espace avant une virgule. => Il existe un script officiel disponible dans PlayOnLinux , pour l'utiliser , installez premièrement //Counter-Strike: Source// via //Steam// (qui est installé via PlayOnLinux), cherchez dans la liste des jeux (disponible via le boutton **Installer** puis dans la catégorie **Jeux**) le script **Steam : Counter-Strike Source** , lancez le script via le boutton **Appliquer** , choisissez **Déja installé** puis laissez vous guider . |  , => suggestions : [',']
21 Pas d’espace avant une virgule. => Il existe un script officiel disponible dans PlayOnLinux , pour l'utiliser , installez premièrement //Counter-Strike: Source// via //Steam// (qui est installé via PlayOnLinux), cherchez dans la liste des jeux (disponible via le boutton **Installer** puis dans la catégorie **Jeux**) le script **Steam : Counter-Strike Source** , lancez le script via le boutton **Appliquer** , choisissez **Déja installé** puis laissez vous guider . |  , => suggestions : [',']
21 Mot inconnu : Counter-Strike => Il existe un script officiel disponible dans PlayOnLinux , pour l'utiliser , installez premièrement //Counter-Strike: Source// via //Steam// (qui est installé via PlayOnLinux), cherchez dans la liste des jeux (disponible via le boutton **Installer** puis dans la catégorie **Jeux**) le script **Steam : Counter-Strike Source** , lancez le script via le boutton **Appliquer** , choisissez **Déja installé** puis laissez vous guider . | counter-strike
21 Mot inconnu : Steam => Il existe un script officiel disponible dans PlayOnLinux , pour l'utiliser , installez premièrement //Counter-Strike: Source// via //Steam// (qui est installé via PlayOnLinux), cherchez dans la liste des jeux (disponible via le boutton **Installer** puis dans la catégorie **Jeux**) le script **Steam : Counter-Strike Source** , lancez le script via le boutton **Appliquer** , choisissez **Déja installé** puis laissez vous guider . | steam
21 Mot inconnu : PlayOnLinux => Il existe un script officiel disponible dans PlayOnLinux , pour l'utiliser , installez premièrement //Counter-Strike: Source// via //Steam// (qui est installé via PlayOnLinux), cherchez dans la liste des jeux (disponible via le boutton **Installer** puis dans la catégorie **Jeux**) le script **Steam : Counter-Strike Source** , lancez le script via le boutton **Appliquer** , choisissez **Déja installé** puis laissez vous guider . | playonlinux
21 Mot inconnu : boutton => Il existe un script officiel disponible dans PlayOnLinux , pour l'utiliser , installez premièrement //Counter-Strike: Source// via //Steam// (qui est installé via PlayOnLinux), cherchez dans la liste des jeux (disponible via le boutton **Installer** puis dans la catégorie **Jeux**) le script **Steam : Counter-Strike Source** , lancez le script via le boutton **Appliquer** , choisissez **Déja installé** puis laissez vous guider . | boutton
21 Mot inconnu : Steam => Il existe un script officiel disponible dans PlayOnLinux , pour l'utiliser , installez premièrement //Counter-Strike: Source// via //Steam// (qui est installé via PlayOnLinux), cherchez dans la liste des jeux (disponible via le boutton **Installer** puis dans la catégorie **Jeux**) le script **Steam : Counter-Strike Source** , lancez le script via le boutton **Appliquer** , choisissez **Déja installé** puis laissez vous guider . | steam
21 Mot inconnu : Counter-Strike => Il existe un script officiel disponible dans PlayOnLinux , pour l'utiliser , installez premièrement //Counter-Strike: Source// via //Steam// (qui est installé via PlayOnLinux), cherchez dans la liste des jeux (disponible via le boutton **Installer** puis dans la catégorie **Jeux**) le script **Steam : Counter-Strike Source** , lancez le script via le boutton **Appliquer** , choisissez **Déja installé** puis laissez vous guider . | counter-strike
21 Pas d’espace avant une virgule. => Il existe un script officiel disponible dans PlayOnLinux , pour l'utiliser , installez premièrement //Counter-Strike: Source// via //Steam// (qui est installé via PlayOnLinux), cherchez dans la liste des jeux (disponible via le boutton **Installer** puis dans la catégorie **Jeux**) le script **Steam : Counter-Strike Source** , lancez le script via le boutton **Appliquer** , choisissez **Déja installé** puis laissez vous guider . |  , => suggestions : [',']
