24 Mot inconnu : drive_c [[29:36]] =>   * Placez-les dans **/.wine/drive_c/windows/system32**. <|> drive_c
24 Mot inconnu : system32 [[45:53]] =>   * Placez-les dans **/.wine/drive_c/windows/system32**. <|> system32

33 Mot inconnu : Tab [[128:131]] => Pour beaucoup vous verrez apparaître une fenêtre grise, voici les raccourcis claviers qu'il faut alors taper (//E = Entrée, T = Tab, S = Espace//) : <|> tab

50 Mot inconnu : install [[15:22]] => Le programme d'install utilise Java et .NET. winetricks installe bien Java et .net (winetricks dotnet20, ou winetricks tout court. Pour avoir la liste, mais je vous conseille de jeter un oeil au -help avant), mais la fenêtre reste grise... L'installation "Avancée" ne permet que de changer le dossier d'installation, il n'y a pas d'autres options.</note> <|> install
50 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[38:40]] => Le programme d'install utilise Java et .NET. winetricks installe bien Java et .net (winetricks dotnet20, ou winetricks tout court. Pour avoir la liste, mais je vous conseille de jeter un oeil au -help avant), mais la fenêtre reste grise... L'installation "Avancée" ne permet que de changer le dossier d'installation, il n'y a pas d'autres options.</note> <|>  . => suggestions : .. 
50 Mot inconnu : winetricks [[45:55]] => Le programme d'install utilise Java et .NET. winetricks installe bien Java et .net (winetricks dotnet20, ou winetricks tout court. Pour avoir la liste, mais je vous conseille de jeter un oeil au -help avant), mais la fenêtre reste grise... L'installation "Avancée" ne permet que de changer le dossier d'installation, il n'y a pas d'autres options.</note> <|> winetricks
50 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[77:79]] => Le programme d'install utilise Java et .NET. winetricks installe bien Java et .net (winetricks dotnet20, ou winetricks tout court. Pour avoir la liste, mais je vous conseille de jeter un oeil au -help avant), mais la fenêtre reste grise... L'installation "Avancée" ne permet que de changer le dossier d'installation, il n'y a pas d'autres options.</note> <|>  . => suggestions : .. 
50 Mot inconnu : winetricks [[84:94]] => Le programme d'install utilise Java et .NET. winetricks installe bien Java et .net (winetricks dotnet20, ou winetricks tout court. Pour avoir la liste, mais je vous conseille de jeter un oeil au -help avant), mais la fenêtre reste grise... L'installation "Avancée" ne permet que de changer le dossier d'installation, il n'y a pas d'autres options.</note> <|> winetricks
50 Mot inconnu : dotnet20 [[95:103]] => Le programme d'install utilise Java et .NET. winetricks installe bien Java et .net (winetricks dotnet20, ou winetricks tout court. Pour avoir la liste, mais je vous conseille de jeter un oeil au -help avant), mais la fenêtre reste grise... L'installation "Avancée" ne permet que de changer le dossier d'installation, il n'y a pas d'autres options.</note> <|> dotnet20
50 Mot inconnu : winetricks [[108:118]] => Le programme d'install utilise Java et .NET. winetricks installe bien Java et .net (winetricks dotnet20, ou winetricks tout court. Pour avoir la liste, mais je vous conseille de jeter un oeil au -help avant), mais la fenêtre reste grise... L'installation "Avancée" ne permet que de changer le dossier d'installation, il n'y a pas d'autres options.</note> <|> winetricks
50 Mot inconnu : oeil [[187:191]] => Le programme d'install utilise Java et .NET. winetricks installe bien Java et .net (winetricks dotnet20, ou winetricks tout court. Pour avoir la liste, mais je vous conseille de jeter un oeil au -help avant), mais la fenêtre reste grise... L'installation "Avancée" ne permet que de changer le dossier d'installation, il n'y a pas d'autres options.</note> <|> oeil
