1 Mot inconnu : Synergy => ====== Synergy ====== | synergy

3 Mot inconnu : Synergy => **Synergy** permet d'utiliser un seul clavier et souris pour piloter plusieurs ordinateurs du même réseau. Les ordinateurs peuvent être sous Linux, Windows ou MacOS. Ce tutoriel montre comment paramétrer et utiliser Synergy sur Ubuntu. | synergy
3 Mot inconnu : MacOS => **Synergy** permet d'utiliser un seul clavier et souris pour piloter plusieurs ordinateurs du même réseau. Les ordinateurs peuvent être sous Linux, Windows ou MacOS. Ce tutoriel montre comment paramétrer et utiliser Synergy sur Ubuntu. | macos
3 Mot inconnu : Synergy => **Synergy** permet d'utiliser un seul clavier et souris pour piloter plusieurs ordinateurs du même réseau. Les ordinateurs peuvent être sous Linux, Windows ou MacOS. Ce tutoriel montre comment paramétrer et utiliser Synergy sur Ubuntu. | synergy
5 Mot inconnu : Synergy => <note important>Attention ! Synergy n'est pas vraiment sécurisé ! Vous allez mettre en place quelque chose qui permettra à un autre ordinateur de contrôler le clavier et la souris du vôtre, utilisez donc Synergy de préférence sur votre réseau local ou un réseau de confiance. Il existe un moyen de sécuriser un peu plus le fonctionnement de Synergy en l'utilisant avec OpenSSH : [[http://pchelin.ca/2010/05/23/tunneling-synergy-over-ssh/]]</note> | synergy
5 Mot inconnu : Synergy => <note important>Attention ! Synergy n'est pas vraiment sécurisé ! Vous allez mettre en place quelque chose qui permettra à un autre ordinateur de contrôler le clavier et la souris du vôtre, utilisez donc Synergy de préférence sur votre réseau local ou un réseau de confiance. Il existe un moyen de sécuriser un peu plus le fonctionnement de Synergy en l'utilisant avec OpenSSH : [[http://pchelin.ca/2010/05/23/tunneling-synergy-over-ssh/]]</note> | synergy
5 Mot inconnu : Synergy => <note important>Attention ! Synergy n'est pas vraiment sécurisé ! Vous allez mettre en place quelque chose qui permettra à un autre ordinateur de contrôler le clavier et la souris du vôtre, utilisez donc Synergy de préférence sur votre réseau local ou un réseau de confiance. Il existe un moyen de sécuriser un peu plus le fonctionnement de Synergy en l'utilisant avec OpenSSH : [[http://pchelin.ca/2010/05/23/tunneling-synergy-over-ssh/]]</note> | synergy
5 Mot inconnu : OpenSSH => <note important>Attention ! Synergy n'est pas vraiment sécurisé ! Vous allez mettre en place quelque chose qui permettra à un autre ordinateur de contrôler le clavier et la souris du vôtre, utilisez donc Synergy de préférence sur votre réseau local ou un réseau de confiance. Il existe un moyen de sécuriser un peu plus le fonctionnement de Synergy en l'utilisant avec OpenSSH : [[http://pchelin.ca/2010/05/23/tunneling-synergy-over-ssh/]]</note> | openssh

7 Mot inconnu : FIXME => > FIXME On peut éventuellement ajouter les infos avec OpenSSH. | fixme
7 Mot inconnu : OpenSSH => > FIXME On peut éventuellement ajouter les infos avec OpenSSH. | openssh

15 Il manque un espace avant la parenthèse. => ^ Installer en 1 clic((pour Ubuntu ≥ 7.10 seulement)) ^ | ( => suggestions : [' (']

18 Mot inconnu : Synergy => Voilà pour l'installation de Synergy sur une Ubuntu. Si vous souhaitez l'installer sur un autre système, comme Windows, vous trouverez toutes les informations nécessaire sur le [[http://synergy2.sourceforge.net/index.html|site de Synergy]]. | synergy
18 Accord de nombre erroné avec « les informations » : « nécessaire » devrait être au pluriel. => Voilà pour l'installation de Synergy sur une Ubuntu. Si vous souhaitez l'installer sur un autre système, comme Windows, vous trouverez toutes les informations nécessaire sur le [[http://synergy2.sourceforge.net/index.html|site de Synergy]]. | nécessaire => suggestions : ['nécessaires']
18 Mot inconnu : Synergy => Voilà pour l'installation de Synergy sur une Ubuntu. Si vous souhaitez l'installer sur un autre système, comme Windows, vous trouverez toutes les informations nécessaire sur le [[http://synergy2.sourceforge.net/index.html|site de Synergy]]. | synergy

19 Mot inconnu : quick => <note tip>Il existe une interface graphique, nommée quick synergy, pour la configuration de synergy. Cherchez quicksynergy dans la logithèque</note> | quick
19 Mot inconnu : synergy => <note tip>Il existe une interface graphique, nommée quick synergy, pour la configuration de synergy. Cherchez quicksynergy dans la logithèque</note> | synergy
19 Mot inconnu : synergy => <note tip>Il existe une interface graphique, nommée quick synergy, pour la configuration de synergy. Cherchez quicksynergy dans la logithèque</note> | synergy
19 Mot inconnu : quicksynergy => <note tip>Il existe une interface graphique, nommée quick synergy, pour la configuration de synergy. Cherchez quicksynergy dans la logithèque</note> | quicksynergy
23 Mot inconnu : synergy-plus => L'installation proposée dans la section précédente permet d'installer [[http://synergy2.sourceforge.net/index.html|synergy2]], dont la dernière version remonte à 2006. Il existe une autre version mise à jour régulièrement: synergy-plus. | synergy-plus

24 Mot inconnu : Synergy-plus => Les deux versions utilisent un fichier de configuration identique et des options similaires, et les exécutables ont le même nom (n'essayez pas d'installer les deux en même temps). Synergy-plus corrige de nombreux bugs et  [[http://synergy-foss.org/download/|des paquets .deb pour Ubuntu (ou Debian) 32 et 64 bits sont disponibles ici]]. | synergy-plus
24 Espace(s) surnuméraire(s) à supprimer. => Les deux versions utilisent un fichier de configuration identique et des options similaires, et les exécutables ont le même nom (n'essayez pas d'installer les deux en même temps). Synergy-plus corrige de nombreux bugs et  [[http://synergy-foss.org/download/|des paquets .deb pour Ubuntu (ou Debian) 32 et 64 bits sont disponibles ici]]. |    => suggestions : [' ']
24 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => Les deux versions utilisent un fichier de configuration identique et des options similaires, et les exécutables ont le même nom (n'essayez pas d'installer les deux en même temps). Synergy-plus corrige de nombreux bugs et  [[http://synergy-foss.org/download/|des paquets .deb pour Ubuntu (ou Debian) 32 et 64 bits sont disponibles ici]]. |  . => suggestions : ['. ', '.']
24 Mot inconnu : deb => Les deux versions utilisent un fichier de configuration identique et des options similaires, et les exécutables ont le même nom (n'essayez pas d'installer les deux en même temps). Synergy-plus corrige de nombreux bugs et  [[http://synergy-foss.org/download/|des paquets .deb pour Ubuntu (ou Debian) 32 et 64 bits sont disponibles ici]]. | deb

25 Mot inconnu : Synergy-plus => <note>Synergy-plus est sous licence GPL mais il est demandé 5$ par utilisateur pour le télécharger</note> | synergy-plus
25 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. => <note>Synergy-plus est sous licence GPL mais il est demandé 5$ par utilisateur pour le télécharger</note> |  mais => suggestions : [', mais']

28 Mot inconnu : Synergy => Maintenant que Synergy est installé, il va falloir le configurer. Cependant, vous devez le configurer sur au moins deux machines différentes puisque configurer Synergy sur une seule machine n'a pas vraiment d'intérêt. Je vais vous expliquer comment le configurer aussi bien en tant que serveur qu'en tant que client, mais seulement sur Ubuntu. Encore une fois si vous souhaitez le configurer pour un autre système référez-vous aux instructions sur le [[http://synergy2.sourceforge.net/index.html|site de Synergy]]. | synergy
28 Mot inconnu : Synergy => Maintenant que Synergy est installé, il va falloir le configurer. Cependant, vous devez le configurer sur au moins deux machines différentes puisque configurer Synergy sur une seule machine n'a pas vraiment d'intérêt. Je vais vous expliquer comment le configurer aussi bien en tant que serveur qu'en tant que client, mais seulement sur Ubuntu. Encore une fois si vous souhaitez le configurer pour un autre système référez-vous aux instructions sur le [[http://synergy2.sourceforge.net/index.html|site de Synergy]]. | synergy
28 Mot inconnu : Synergy => Maintenant que Synergy est installé, il va falloir le configurer. Cependant, vous devez le configurer sur au moins deux machines différentes puisque configurer Synergy sur une seule machine n'a pas vraiment d'intérêt. Je vais vous expliquer comment le configurer aussi bien en tant que serveur qu'en tant que client, mais seulement sur Ubuntu. Encore une fois si vous souhaitez le configurer pour un autre système référez-vous aux instructions sur le [[http://synergy2.sourceforge.net/index.html|site de Synergy]]. | synergy

33 Mot inconnu : Synergy => Pour configurer le serveur Synergy, créez le fichier ///etc/synergy.conf// (ou un fichier //~/.synergy.conf// si vous préférez une configuration pour un seul utilisateur seulement, mais dans ce cas vous ne pourrez pas démarrer automatiquement synergy avant de vous être connecté), puis remplissez ce fichier de cette manière : | synergy
33 Mot inconnu : synergy => Pour configurer le serveur Synergy, créez le fichier ///etc/synergy.conf// (ou un fichier //~/.synergy.conf// si vous préférez une configuration pour un seul utilisateur seulement, mais dans ce cas vous ne pourrez pas démarrer automatiquement synergy avant de vous être connecté), puis remplissez ce fichier de cette manière : | synergy
33 Mot inconnu : synergy => Pour configurer le serveur Synergy, créez le fichier ///etc/synergy.conf// (ou un fichier //~/.synergy.conf// si vous préférez une configuration pour un seul utilisateur seulement, mais dans ce cas vous ne pourrez pas démarrer automatiquement synergy avant de vous être connecté), puis remplissez ce fichier de cette manière : | synergy

47 Mot inconnu : synergy => C'est un exemple de configuration tiré de mon synergy.conf. | synergy
47 Il manque un espace. => C'est un exemple de configuration tiré de mon synergy.conf. | conf => suggestions : [' conf']

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **hoary** est le nom de ma machine principale, c'est elle qui exécutera le serveur Synergy. La machine qui a le serveur est celle qui possède le clavier et la souris utilisé, les autres machines ne sont que des "écrans" supplémentaires en quelque sorte. |    => suggestions : ['']
49 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   * **hoary** est le nom de ma machine principale, c'est elle qui exécutera le serveur Synergy. La machine qui a le serveur est celle qui possède le clavier et la souris utilisé, les autres machines ne sont que des "écrans" supplémentaires en quelque sorte. | hoary => suggestions : ['Hoary']
49 Mot inconnu : hoary =>   * **hoary** est le nom de ma machine principale, c'est elle qui exécutera le serveur Synergy. La machine qui a le serveur est celle qui possède le clavier et la souris utilisé, les autres machines ne sont que des "écrans" supplémentaires en quelque sorte. | hoary
49 Mot inconnu : Synergy =>   * **hoary** est le nom de ma machine principale, c'est elle qui exécutera le serveur Synergy. La machine qui a le serveur est celle qui possède le clavier et la souris utilisé, les autres machines ne sont que des "écrans" supplémentaires en quelque sorte. | synergy
49 Guillemets typographiques ouvrants. =>   * **hoary** est le nom de ma machine principale, c'est elle qui exécutera le serveur Synergy. La machine qui a le serveur est celle qui possède le clavier et la souris utilisé, les autres machines ne sont que des "écrans" supplémentaires en quelque sorte. | " => suggestions : ['«\xa0', '“']
49 Guillemets typographiques fermants. =>   * **hoary** est le nom de ma machine principale, c'est elle qui exécutera le serveur Synergy. La machine qui a le serveur est celle qui possède le clavier et la souris utilisé, les autres machines ne sont que des "écrans" supplémentaires en quelque sorte. | " => suggestions : ['\xa0»', '”']

50 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **arthur** est le nom de la machine client (c'est une autre Ubuntu). |    => suggestions : ['']
50 Mot inconnu : arthur =>   * **arthur** est le nom de la machine client (c'est une autre Ubuntu). | arthur

51 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **section: screens** est la partie qui liste les machines qui seront utilisées en fonction de leur hostname. |    => suggestions : ['']
