
4 Mot inconnu : Dup => ====== Utilitaire de sauvegarde Déjà Dup ====== | dup

8 Mot inconnu : Dup => Bien qu'ayant une interface simplissime, Déjà Dup propose plusieurs fonctionnalités utiles à la prise de copies de sauvegarde : | dup

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * prise en charge de sauvegardes vers des emplacements locaux, réseau ou dans un espace de stockage en nuage (tels Amazon S3 ou Rackspace Cloud Files) ; |    => suggestions : ['']
9 Mot inconnu : S3 =>   * prise en charge de sauvegardes vers des emplacements locaux, réseau ou dans un espace de stockage en nuage (tels Amazon S3 ou Rackspace Cloud Files) ; | s3
9 Mot inconnu : Rackspace =>   * prise en charge de sauvegardes vers des emplacements locaux, réseau ou dans un espace de stockage en nuage (tels Amazon S3 ou Rackspace Cloud Files) ; | rackspace

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * chiffrement sécuritaire et compression des données prises en sauvegarde ; |    => suggestions : ['']

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * possibilité de récupérer les données sauvegardées depuis n'importe quelle sauvegarde antérieure (//sauvegardes incrémentielles//) ; |    => suggestions : ['']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * planification de sauvegardes de manières régulières et automatique. |    => suggestions : ['']

14 Mot inconnu : Dup => Déjà Dup s'intègre bien à l'[[environnements|environnement de bureau]] [[GNOME]], l'environnement par défaut de Ubuntu. | dup

20 Mot inconnu : Dup => Déjà Dup est inclus par défaut dans Ubuntu. | dup

31 Mot inconnu : Dup => La rubrique **Vue d'ensemble** de Déjà Dup vous expose un récapitulatif de vos paramètres actuels de sauvegarde. | dup

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Dossiers à enregistrer** \\ Par défaut, votre dossier utilisateur (et tout son contenu) est proposé. Vous pouvez modifier ce choix, pour ne prendre que certains de vos dossiers, ou pour ajouter des dossiers venant d'autres disques. Les dossiers listés seront sauvegardés lors de la sauvegarde (manuelle ou automatique - voir plus bas). Les répertoires enfants de ces dossiers sont aussi pris en copie de sauvegarde. |    => suggestions : ['']
35 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   * **Dossiers à enregistrer** \\ Par défaut, votre dossier utilisateur (et tout son contenu) est proposé. Vous pouvez modifier ce choix, pour ne prendre que certains de vos dossiers, ou pour ajouter des dossiers venant d'autres disques. Les dossiers listés seront sauvegardés lors de la sauvegarde (manuelle ou automatique - voir plus bas). Les répertoires enfants de ces dossiers sont aussi pris en copie de sauvegarde. |  -  => suggestions : [' – ', ' — ', ' − ']

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Dossiers à ignorer** \\ Tous les répertoires enfants d'un dossier à sauvegarder sont normalement sauvegardés. mais ce paramètre vous permet explicitement d'ignorer un dossier enfant. Par défaut, la corbeille et le dossier //Téléchargements// sont exclus de la sauvegarde, mais vous pouvez modifier ce paramétrage. |    => suggestions : ['']
36 Après un point, une majuscule est généralement requise. =>   * **Dossiers à ignorer** \\ Tous les répertoires enfants d'un dossier à sauvegarder sont normalement sauvegardés. mais ce paramètre vous permet explicitement d'ignorer un dossier enfant. Par défaut, la corbeille et le dossier //Téléchargements// sont exclus de la sauvegarde, mais vous pouvez modifier ce paramétrage. | mais => suggestions : ['Mais']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Emplacement de stockage** \\ L'emplacement de stockage est l'endroit où sera stockée votre sauvegarde (manuelle ou automatique). L'emplacement par défaut est le dossier //deja-dup// se trouvant dans votre répertoire personnel. Par mesure de sécurité, il est vivement recommandé de positionner ce répertoire de sauvegarde par défaut vers un second disque dur, un média externe (clé USB, disque dur externe, etc.) ou un emplacement réseau (serveur de stockage local, serveur FTP, serveur WebDav, etc.), afin de prévenir la perte de vos données en cas de défaillance de votre matériel informatique principal. Si vous avez un cloud Google celui-ci est déjà présent dans la liste, mais vous pouvez paramétrer un autre support. |    => suggestions : ['']
37 Mot inconnu : deja-dup =>   * **Emplacement de stockage** \\ L'emplacement de stockage est l'endroit où sera stockée votre sauvegarde (manuelle ou automatique). L'emplacement par défaut est le dossier //deja-dup// se trouvant dans votre répertoire personnel. Par mesure de sécurité, il est vivement recommandé de positionner ce répertoire de sauvegarde par défaut vers un second disque dur, un média externe (clé USB, disque dur externe, etc.) ou un emplacement réseau (serveur de stockage local, serveur FTP, serveur WebDav, etc.), afin de prévenir la perte de vos données en cas de défaillance de votre matériel informatique principal. Si vous avez un cloud Google celui-ci est déjà présent dans la liste, mais vous pouvez paramétrer un autre support. | deja-dup
37 Mot inconnu : WebDav =>   * **Emplacement de stockage** \\ L'emplacement de stockage est l'endroit où sera stockée votre sauvegarde (manuelle ou automatique). L'emplacement par défaut est le dossier //deja-dup// se trouvant dans votre répertoire personnel. Par mesure de sécurité, il est vivement recommandé de positionner ce répertoire de sauvegarde par défaut vers un second disque dur, un média externe (clé USB, disque dur externe, etc.) ou un emplacement réseau (serveur de stockage local, serveur FTP, serveur WebDav, etc.), afin de prévenir la perte de vos données en cas de défaillance de votre matériel informatique principal. Si vous avez un cloud Google celui-ci est déjà présent dans la liste, mais vous pouvez paramétrer un autre support. | webdav

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **Sauvegardes automatiques** \\ Cet interrupteur active ou désactive la sauvegarde automatique de vos données. Par défaut, la prise de sauvegardes est //désactivée// (la sauvegarde ne se fait que quand vous lancez manuellement le logiciel). Il est vivement recommandé d'activer la sauvegarde automatique, pour une meilleure sécurité de vos données. Avec cette option, Vous pouvez alors paramétrer le rythme de sauvegarde automatique (hebdo, mois, etc.), et la durée de conservation de chaque ancienne sauvegarde. L'intérêt de conserver les anciennes sauvegardes est de pouvoir accéder à un fichier dans une version non modifiée, et surtout non supprimée. |    => suggestions : ['']

47 Espace(s) surnuméraire(s) à supprimer. => <note important>Ne  demandez pas  la sauvegarde du dossier de sauvegarde. Cela provoque une boucle qui cesse par manque de place disque.</note>   |    => suggestions : [' ']
47 Espace(s) surnuméraire(s) à supprimer. => <note important>Ne  demandez pas  la sauvegarde du dossier de sauvegarde. Cela provoque une boucle qui cesse par manque de place disque.</note>   |    => suggestions : [' ']
47 Espace(s) en fin de ligne à supprimer. => <note important>Ne  demandez pas  la sauvegarde du dossier de sauvegarde. Cela provoque une boucle qui cesse par manque de place disque.</note>   |    => suggestions : ['']

50 Mot inconnu : SSH => ==== Réaliser une sauvegarde automatique via SSH (SFTP) ==== | ssh
