4 Mot inconnu : Customizer [[12:22]] => ====== Grub Customizer ====== <|> customizer
8 Mot inconnu : cfg [[126:129]] => <note>Et si vous en avez la possibilité, enregistrez sur un support externe, par exemple une clé USB, Grub et un fichier grub.cfg pour pouvoir, en cas de problème, démarrer votre PC à partir de cette clé afin d'avoir accès au système et aux logiciels qui vous permettront de réparer votre configuration</note> <|> cfg

21 Mot inconnu : xx [[34:36]] => Méthode Compatible avec Ubuntu 18.xx , 19.xx , 20.xx et 21.10, mais pas avec 21.04 <|> xx
21 Pas d’espace avant une virgule. [[36:38]] => Méthode Compatible avec Ubuntu 18.xx , 19.xx , 20.xx et 21.10, mais pas avec 21.04 <|>  , => suggestions : None
21 Mot inconnu : xx [[42:44]] => Méthode Compatible avec Ubuntu 18.xx , 19.xx , 20.xx et 21.10, mais pas avec 21.04 <|> xx
21 Pas d’espace avant une virgule. [[44:46]] => Méthode Compatible avec Ubuntu 18.xx , 19.xx , 20.xx et 21.10, mais pas avec 21.04 <|>  , => suggestions : None
21 Mot inconnu : xx [[50:52]] => Méthode Compatible avec Ubuntu 18.xx , 19.xx , 20.xx et 21.10, mais pas avec 21.04 <|> xx

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : None
36 Mot inconnu : Grub-customizer [[126:141]] => Pour la version 21.04, le ppa ne propose pas de paquet installable. Une compilation des sources est nécessaire pour installer Grub-customizer. <|> grub-customizer
40 Mot inconnu : cmake [[4:9]] =>   * cmake <|> cmake
41 Mot inconnu : gcc-c [[11:16]] =>   * g++ OR gcc-c++ <|> gcc-c
42 Mot inconnu : libgtkmm-3 [[4:14]] =>   * libgtkmm-3.0-dev ou gtkmm30-devel <|> libgtkmm-3
42 Mot inconnu : dev [[17:20]] =>   * libgtkmm-3.0-dev ou gtkmm30-devel <|> dev
42 Mot inconnu : gtkmm30-devel [[24:37]] =>   * libgtkmm-3.0-dev ou gtkmm30-devel <|> gtkmm30-devel
43 Mot inconnu : gettext [[4:11]] =>   * gettext <|> gettext
44 Mot inconnu : libssl-dev [[4:14]] =>   * libssl-dev OR openssl-devel <|> libssl-dev
44 Mot inconnu : openssl-devel [[18:31]] =>   * libssl-dev OR openssl-devel <|> openssl-devel
45 Mot inconnu : libarchive-dev [[4:18]] =>   * libarchive-dev OR libarchive-devel <|> libarchive-dev
45 Mot inconnu : libarchive-devel [[22:38]] =>   * libarchive-dev OR libarchive-devel <|> libarchive-devel

46 Mot inconnu : gtk-2 [[50:55]] => <note>Le développeur indique qu'en cas d'usage de gtk-2 version, installer libgtkmm-2.4-dev ou gtkmm24-devel en lieu et place de libgtkmm-3.0-dev ou gtkmm30-devel. Toutefois comme libgtkmm-3.0-dev est présent dans les dépôts de Hirsute Hippo 21.04, cette information sera probablement pas utile.</note> <|> gtk-2
