1 Mot inconnu : at => <note warning>Page en création ([[utilisateurs:Kagou]] at work)</note> | at
1 Mot inconnu : work => <note warning>Page en création ([[utilisateurs:Kagou]] at work)</note> | work

5 Mot inconnu : party => Cette page a pour but de servir aux organisateurs de party. Elle contient les informations nécessaires afin de préparer au mieux une rencontre. | party

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Des cordons RJ45 (en 2m ou plus) |    => suggestions : ['']
11 Mot inconnu : RJ45 =>   * Des cordons RJ45 (en 2m ou plus) | rj45

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Des cordons RJ45 long (>5m) |    => suggestions : ['']
12 Mot inconnu : RJ45 =>   * Des cordons RJ45 long (>5m) | rj45

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Des switchs |    => suggestions : ['']
13 Mot inconnu : switchs =>   * Des switchs | switchs

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Un routeur wifi |    => suggestions : ['']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Un onduleur (si présence de serveurs à protéger) |    => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * des multiprises |    => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * des rallonges électriques |    => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Des écrans avec leurs cordons pour installer des PC |    => suggestions : ['']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Un serveur cache/proxy pour faciliter les installations |    => suggestions : ['']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Un poste bureautique + imprimante |    => suggestions : ['']

28 Mot inconnu : Mc => ===== La valise de Mc Gyver ===== | mc
28 Mot inconnu : Gyver => ===== La valise de Mc Gyver ===== | gyver

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Du scotch normal |    => suggestions : ['']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Des punaises |    => suggestions : ['']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Du gros scotch (gaffer) |    => suggestions : ['']

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Des ciseaux |    => suggestions : ['']

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * De la ficelle |    => suggestions : ['']

36 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Des marqueurs |    => suggestions : ['']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Des feuilles blanches A4 |    => suggestions : ['']
37 Mot inconnu : A4 =>   * Des feuilles blanches A4 | a4
