
3 Mot inconnu : libvirt => ====== libvirt ====== | libvirt

5 Mot inconnu : libvirt => libvirt est le démon utilisé par [[virt-manager]] pour gérer les hyperviseurs qui font tourner les machines virtuelles | libvirt
5 Mot inconnu : virt-manager => libvirt est le démon utilisé par [[virt-manager]] pour gérer les hyperviseurs qui font tourner les machines virtuelles | virt-manager

9 Mot inconnu : NAT => ==== NAT IPv4, et routage IPv6 avec autoconfiguration d'adresse ==== | nat
9 Mot inconnu : IPv4 => ==== NAT IPv4, et routage IPv6 avec autoconfiguration d'adresse ==== | ipv4
9 Mot inconnu : IPv6 => ==== NAT IPv4, et routage IPv6 avec autoconfiguration d'adresse ==== | ipv6
9 Mot inconnu : autoconfiguration => ==== NAT IPv4, et routage IPv6 avec autoconfiguration d'adresse ==== | autoconfiguration

11 Mot inconnu : IPv6 => <note important>Le support d'IPv6 dans libvirt dépend de la version de libvirt et dnsmasq. Cette configuration a été testé sous Debian 7 avec libvirt 1.1.4 et dnsmasq 2.68.</note> | ipv6
11 Mot inconnu : libvirt => <note important>Le support d'IPv6 dans libvirt dépend de la version de libvirt et dnsmasq. Cette configuration a été testé sous Debian 7 avec libvirt 1.1.4 et dnsmasq 2.68.</note> | libvirt
11 Mot inconnu : libvirt => <note important>Le support d'IPv6 dans libvirt dépend de la version de libvirt et dnsmasq. Cette configuration a été testé sous Debian 7 avec libvirt 1.1.4 et dnsmasq 2.68.</note> | libvirt
11 Mot inconnu : dnsmasq => <note important>Le support d'IPv6 dans libvirt dépend de la version de libvirt et dnsmasq. Cette configuration a été testé sous Debian 7 avec libvirt 1.1.4 et dnsmasq 2.68.</note> | dnsmasq
11 Accord erroné : “configuration” et “testé” ne sont pas accordés. => <note important>Le support d'IPv6 dans libvirt dépend de la version de libvirt et dnsmasq. Cette configuration a été testé sous Debian 7 avec libvirt 1.1.4 et dnsmasq 2.68.</note> | testé => suggestions : ['testée']
11 Mot inconnu : libvirt => <note important>Le support d'IPv6 dans libvirt dépend de la version de libvirt et dnsmasq. Cette configuration a été testé sous Debian 7 avec libvirt 1.1.4 et dnsmasq 2.68.</note> | libvirt
11 Mot inconnu : dnsmasq => <note important>Le support d'IPv6 dans libvirt dépend de la version de libvirt et dnsmasq. Cette configuration a été testé sous Debian 7 avec libvirt 1.1.4 et dnsmasq 2.68.</note> | dnsmasq

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <name>default</name> |    => suggestions : ['']
14 Mot inconnu : default =>   <name>default</name> | default

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <uuid>#un identifiant#</uuid> |    => suggestions : ['']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <forward mode='nat'/> |    => suggestions : ['']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <bridge name='virbr0' stp='on' delay='0'/> |    => suggestions : ['']
17 Guillemets typographiques fermants. =>   <bridge name='virbr0' stp='on' delay='0'/> | ' => suggestions : ['”', '’', '›']
17 Guillemets typographiques fermants. =>   <bridge name='virbr0' stp='on' delay='0'/> | ' => suggestions : ['”', '’', '›']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <mac address='#Une MAC#'/> |    => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <ip address='192.168.122.1' netmask='255.255.255.0'> |    => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     <dhcp> |      => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>       <range start='192.168.122.2' end='192.168.122.254'/> |        => suggestions : ['']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     </dhcp> |      => suggestions : ['']

