
8 Mot inconnu : KDevelop => ====== KDevelop ====== | kdevelop
10 Mot inconnu : EDI => [[https://www.kdevelop.org/|KDevelop]] est un environnement de développement intégré (EDI/IDE) pour l'environnement [[KDE]] sous licence GPL. | edi
10 Mot inconnu : KDE => [[https://www.kdevelop.org/|KDevelop]] est un environnement de développement intégré (EDI/IDE) pour l'environnement [[KDE]] sous licence GPL. | kde

12 Mot inconnu : __gestion => Son principal intérêt est la __gestion complète des projets__ avec le générateur de makefile, la création de la documentation automatique, l'édition des interfaces utilisateurs, le débogage intégré, l'auto-complétion et le support de CVS,  Subversion et GIT. | __gestion
12 Mot inconnu : projets__ => Son principal intérêt est la __gestion complète des projets__ avec le générateur de makefile, la création de la documentation automatique, l'édition des interfaces utilisateurs, le débogage intégré, l'auto-complétion et le support de CVS,  Subversion et GIT. | projets__
12 Mot inconnu : makefile => Son principal intérêt est la __gestion complète des projets__ avec le générateur de makefile, la création de la documentation automatique, l'édition des interfaces utilisateurs, le débogage intégré, l'auto-complétion et le support de CVS,  Subversion et GIT. | makefile
12 Mot inconnu : CVS => Son principal intérêt est la __gestion complète des projets__ avec le générateur de makefile, la création de la documentation automatique, l'édition des interfaces utilisateurs, le débogage intégré, l'auto-complétion et le support de CVS,  Subversion et GIT. | cvs
12 Espace(s) surnuméraire(s) à supprimer. => Son principal intérêt est la __gestion complète des projets__ avec le générateur de makefile, la création de la documentation automatique, l'édition des interfaces utilisateurs, le débogage intégré, l'auto-complétion et le support de CVS,  Subversion et GIT. |    => suggestions : [' ']

14 Il manque un espace. => Il prend en charge plusieurs langages tels que C/C++,Java,Python,Ruby,Perl,Fortran,ADA,PHP. | python => suggestions : [' Python']
14 Il manque un espace. => Il prend en charge plusieurs langages tels que C/C++,Java,Python,Ruby,Perl,Fortran,ADA,PHP. | perl => suggestions : [' Perl']
14 Il manque un espace. => Il prend en charge plusieurs langages tels que C/C++,Java,Python,Ruby,Perl,Fortran,ADA,PHP. | ada => suggestions : [' ADA']
14 Mot inconnu : ADA => Il prend en charge plusieurs langages tels que C/C++,Java,Python,Ruby,Perl,Fortran,ADA,PHP. | ada
20 Mot inconnu : Project => Après l'installation, vous pouvez créer un nouveau projet avec : Menu Project->New project. | project
20 Mot inconnu : project => Après l'installation, vous pouvez créer un nouveau projet avec : Menu Project->New project. | project

22 Mot inconnu : KDevelop => === KDevelop en français === | kdevelop

24 Mot inconnu : KDevelop => Pour activer KDevelop en français il faut installer les fichiers de langue de base pour l'environnement KDE : **[[apt> kdevelop-l10n]]** | kdevelop
24 Mot inconnu : KDE => Pour activer KDevelop en français il faut installer les fichiers de langue de base pour l'environnement KDE : **[[apt> kdevelop-l10n]]** | kde
24 Mot inconnu : kdevelop-l10n => Pour activer KDevelop en français il faut installer les fichiers de langue de base pour l'environnement KDE : **[[apt> kdevelop-l10n]]** | kdevelop-l10n

28 Mot inconnu : linker => Le linker est dans "Project" -> "Project options"-> "Configure options" puis dans la zone de texte "linker flags". \\ Par exemple pour opengl, il faut mettre -lGLU ou pour la sdl mettre -lSDL. | linker
28 Guillemets typographiques ouvrants. => Le linker est dans "Project" -> "Project options"-> "Configure options" puis dans la zone de texte "linker flags". \\ Par exemple pour opengl, il faut mettre -lGLU ou pour la sdl mettre -lSDL. | " => suggestions : ['«\xa0', '“']
28 Mot inconnu : Project => Le linker est dans "Project" -> "Project options"-> "Configure options" puis dans la zone de texte "linker flags". \\ Par exemple pour opengl, il faut mettre -lGLU ou pour la sdl mettre -lSDL. | project
28 Guillemets typographiques fermants. => Le linker est dans "Project" -> "Project options"-> "Configure options" puis dans la zone de texte "linker flags". \\ Par exemple pour opengl, il faut mettre -lGLU ou pour la sdl mettre -lSDL. | " => suggestions : ['\xa0»', '”']
28 Guillemets typographiques ouvrants. => Le linker est dans "Project" -> "Project options"-> "Configure options" puis dans la zone de texte "linker flags". \\ Par exemple pour opengl, il faut mettre -lGLU ou pour la sdl mettre -lSDL. | " => suggestions : ['«\xa0', '“']
28 Mot inconnu : Project => Le linker est dans "Project" -> "Project options"-> "Configure options" puis dans la zone de texte "linker flags". \\ Par exemple pour opengl, il faut mettre -lGLU ou pour la sdl mettre -lSDL. | project
28 Guillemets typographiques fermants. => Le linker est dans "Project" -> "Project options"-> "Configure options" puis dans la zone de texte "linker flags". \\ Par exemple pour opengl, il faut mettre -lGLU ou pour la sdl mettre -lSDL. | " => suggestions : ['\xa0»', '”']
28 Guillemets typographiques ouvrants. => Le linker est dans "Project" -> "Project options"-> "Configure options" puis dans la zone de texte "linker flags". \\ Par exemple pour opengl, il faut mettre -lGLU ou pour la sdl mettre -lSDL. | " => suggestions : ['«\xa0', '“']
28 Guillemets typographiques fermants. => Le linker est dans "Project" -> "Project options"-> "Configure options" puis dans la zone de texte "linker flags". \\ Par exemple pour opengl, il faut mettre -lGLU ou pour la sdl mettre -lSDL. | " => suggestions : ['\xa0»', '”']
28 Guillemets typographiques ouvrants. => Le linker est dans "Project" -> "Project options"-> "Configure options" puis dans la zone de texte "linker flags". \\ Par exemple pour opengl, il faut mettre -lGLU ou pour la sdl mettre -lSDL. | " => suggestions : ['«\xa0', '“']
28 Mot inconnu : linker => Le linker est dans "Project" -> "Project options"-> "Configure options" puis dans la zone de texte "linker flags". \\ Par exemple pour opengl, il faut mettre -lGLU ou pour la sdl mettre -lSDL. | linker
28 Mot inconnu : flags => Le linker est dans "Project" -> "Project options"-> "Configure options" puis dans la zone de texte "linker flags". \\ Par exemple pour opengl, il faut mettre -lGLU ou pour la sdl mettre -lSDL. | flags
28 Guillemets typographiques fermants. => Le linker est dans "Project" -> "Project options"-> "Configure options" puis dans la zone de texte "linker flags". \\ Par exemple pour opengl, il faut mettre -lGLU ou pour la sdl mettre -lSDL. | " => suggestions : ['\xa0»', '”']
28 Mot inconnu : opengl => Le linker est dans "Project" -> "Project options"-> "Configure options" puis dans la zone de texte "linker flags". \\ Par exemple pour opengl, il faut mettre -lGLU ou pour la sdl mettre -lSDL. | opengl
28 Il manque un espace à côté du tiret. => Le linker est dans "Project" -> "Project options"-> "Configure options" puis dans la zone de texte "linker flags". \\ Par exemple pour opengl, il faut mettre -lGLU ou pour la sdl mettre -lSDL. |  - => suggestions : [' – ', ' — ']
28 Mot inconnu : lGLU => Le linker est dans "Project" -> "Project options"-> "Configure options" puis dans la zone de texte "linker flags". \\ Par exemple pour opengl, il faut mettre -lGLU ou pour la sdl mettre -lSDL. | lglu
28 Mot inconnu : sdl => Le linker est dans "Project" -> "Project options"-> "Configure options" puis dans la zone de texte "linker flags". \\ Par exemple pour opengl, il faut mettre -lGLU ou pour la sdl mettre -lSDL. | sdl
28 Il manque un espace à côté du tiret. => Le linker est dans "Project" -> "Project options"-> "Configure options" puis dans la zone de texte "linker flags". \\ Par exemple pour opengl, il faut mettre -lGLU ou pour la sdl mettre -lSDL. |  - => suggestions : [' – ', ' — ']
