
6 Mot inconnu : Avidemux => ====== Avidemux ====== | avidemux

9 Mot inconnu : Avidemux => **Avidemux** est un logiciel vidéo, permettant d'effectuer des coupes, d'appliquer des filtres et de ré-encoder des vidéos. | avidemux

18 Mot inconnu : Avidemux => Avidemux n'est pas dans les dépôts Ubuntu. | avidemux

19 Mot inconnu : Flatpak => ==== Avec Flatpak ==== | flatpak

27 Mot inconnu : appimage => ==== Au format appimage ==== | appimage

31 Mot inconnu : Avidemux => Les développeurs d'Avidemux fournissent un fichier en version 64 bits hébergé  sur [[https://www.fosshub.com/Avidemux.html|Fosshub]] | avidemux
31 Espace(s) surnuméraire(s) à supprimer. => Les développeurs d'Avidemux fournissent un fichier en version 64 bits hébergé  sur [[https://www.fosshub.com/Avidemux.html|Fosshub]] |    => suggestions : [' ']

39 Mot inconnu : LTS => Et à partir de Ubuntu Focal (LTS 20.04) : | lts

60 Mot inconnu : Avidemux => <note>Certaines vidéos (notamment sur certains DVD) provoquent un décalage entre l'audio et la vidéo dans Avidemux. Ce décalage est visible dans: Audio - Piste... (exemple: "560 ms shift"; dans ce cas mettez un décalage audio de -560 ms).</note> | avidemux
60 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => <note>Certaines vidéos (notamment sur certains DVD) provoquent un décalage entre l'audio et la vidéo dans Avidemux. Ce décalage est visible dans: Audio - Piste... (exemple: "560 ms shift"; dans ce cas mettez un décalage audio de -560 ms).</note> |  -  => suggestions : [' – ', ' — ', ' − ']
60 Typographie : points de suspension. Utilisez le caractère dédié. => <note>Certaines vidéos (notamment sur certains DVD) provoquent un décalage entre l'audio et la vidéo dans Avidemux. Ce décalage est visible dans: Audio - Piste... (exemple: "560 ms shift"; dans ce cas mettez un décalage audio de -560 ms).</note> | ... => suggestions : ['…']
60 Guillemets typographiques ouvrants. => <note>Certaines vidéos (notamment sur certains DVD) provoquent un décalage entre l'audio et la vidéo dans Avidemux. Ce décalage est visible dans: Audio - Piste... (exemple: "560 ms shift"; dans ce cas mettez un décalage audio de -560 ms).</note> | " => suggestions : ['«\xa0', '“']
60 Mot inconnu : shift => <note>Certaines vidéos (notamment sur certains DVD) provoquent un décalage entre l'audio et la vidéo dans Avidemux. Ce décalage est visible dans: Audio - Piste... (exemple: "560 ms shift"; dans ce cas mettez un décalage audio de -560 ms).</note> | shift
60 Guillemets typographiques fermants. => <note>Certaines vidéos (notamment sur certains DVD) provoquent un décalage entre l'audio et la vidéo dans Avidemux. Ce décalage est visible dans: Audio - Piste... (exemple: "560 ms shift"; dans ce cas mettez un décalage audio de -560 ms).</note> | " => suggestions : ['\xa0»', '”']
60 S’il s’agit de représenter un nombre négatif, utilisez le signe typographique “moins” [1]. S’il s’agit d’une incise, utilisez un tiret demi-cadratin [2] ou un tiret cadratin [3]. => <note>Certaines vidéos (notamment sur certains DVD) provoquent un décalage entre l'audio et la vidéo dans Avidemux. Ce décalage est visible dans: Audio - Piste... (exemple: "560 ms shift"; dans ce cas mettez un décalage audio de -560 ms).</note> | -560 => suggestions : ['−560', '– 560', '— 560']

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  4. Avidemux comprend de nombreux //filtres vidéo// que vous pouvez sélectionner en cliquant sur **Filtres**, toujours dans le panneau vertical de gauche. Vous pourrez prévisualiser l'effet de la plupart de vos filtrages en remplaçant **Entrée** par **Sortie** ou **Haut** (ou un autre) dans le menu déroulant au dessus de l'image. |   => suggestions : ['']
62 Mot inconnu : Avidemux =>  4. Avidemux comprend de nombreux //filtres vidéo// que vous pouvez sélectionner en cliquant sur **Filtres**, toujours dans le panneau vertical de gauche. Vous pourrez prévisualiser l'effet de la plupart de vos filtrages en remplaçant **Entrée** par **Sortie** ou **Haut** (ou un autre) dans le menu déroulant au dessus de l'image. | avidemux
62 Il manque un trait d’union. =>  4. Avidemux comprend de nombreux //filtres vidéo// que vous pouvez sélectionner en cliquant sur **Filtres**, toujours dans le panneau vertical de gauche. Vous pourrez prévisualiser l'effet de la plupart de vos filtrages en remplaçant **Entrée** par **Sortie** ou **Haut** (ou un autre) dans le menu déroulant au dessus de l'image. | au dessus => suggestions : ['au-dessus']

64 Guillemets typographiques ouvrants. => <note>Pour que l'option filtre soit accessible, vous devez ré-encoder la vidéo (décocher donc "copie")</note> | " => suggestions : ['«\xa0', '“']
64 Guillemets typographiques fermants. => <note>Pour que l'option filtre soit accessible, vous devez ré-encoder la vidéo (décocher donc "copie")</note> | " => suggestions : ['\xa0»', '”']

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  5. //Enregistrez// votre vidéo en donnant un nom finissant par « .avi ». |   => suggestions : ['']
72 Mettez des guillemets fermants plutôt qu’ouvrants. =>  5. //Enregistrez// votre vidéo en donnant un nom finissant par « .avi ». |  « => suggestions : ['\xa0»', '”']
72 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). =>  5. //Enregistrez// votre vidéo en donnant un nom finissant par « .avi ». |  . => suggestions : ['. ', '.']
72 Mot inconnu : avi =>  5. //Enregistrez// votre vidéo en donnant un nom finissant par « .avi ». | avi

83 Mot inconnu : Preview => <note tip>Vous pouvez voir le résultat avant encodage en visualisant la sortie (dans la boîte déroulante en haut) ou en cliquant sur Preview.</note> | preview

