
5 Mot inconnu : Screenlets => ====== Screenlets ====== | screenlets

7 Mot inconnu : Screenlets => **Screenlets** est une application qui permet de gérer les widgets. C'est-à-dire de mini programmes présents sur le bureau qui permettent par exemple de voir la météo, écrire des notes... Screenlet utilise un gestionnaire de fenêtre composite (comme compiz et Beryl). | screenlets
7 Typographie : points de suspension. Utilisez le caractère dédié. => **Screenlets** est une application qui permet de gérer les widgets. C'est-à-dire de mini programmes présents sur le bureau qui permettent par exemple de voir la météo, écrire des notes... Screenlet utilise un gestionnaire de fenêtre composite (comme compiz et Beryl). | ... => suggestions : ['…']
7 Mot inconnu : Screenlet => **Screenlets** est une application qui permet de gérer les widgets. C'est-à-dire de mini programmes présents sur le bureau qui permettent par exemple de voir la météo, écrire des notes... Screenlet utilise un gestionnaire de fenêtre composite (comme compiz et Beryl). | screenlet
7 Mot inconnu : compiz => **Screenlets** est une application qui permet de gérer les widgets. C'est-à-dire de mini programmes présents sur le bureau qui permettent par exemple de voir la météo, écrire des notes... Screenlet utilise un gestionnaire de fenêtre composite (comme compiz et Beryl). | compiz
7 Mot inconnu : Beryl => **Screenlets** est une application qui permet de gérer les widgets. C'est-à-dire de mini programmes présents sur le bureau qui permettent par exemple de voir la météo, écrire des notes... Screenlet utilise un gestionnaire de fenêtre composite (comme compiz et Beryl). | beryl

10 Mot inconnu : Screenlets => <note warning>Screenlets n'est plus maintenu et de nombreux gadgets ne fonctionnent pas. De plus, aucun gadget météo ne parvient à se connecter à son serveur.</note> | screenlets

28 Mot inconnu : screenlets => Le gestionnaire des screenlets qui s'ouvre permet de lancer les screenlets de base, et d'installer les screenlets supplémentaires que vous aurez téléchargés. | screenlets
28 Mot inconnu : screenlets => Le gestionnaire des screenlets qui s'ouvre permet de lancer les screenlets de base, et d'installer les screenlets supplémentaires que vous aurez téléchargés. | screenlets
28 Mot inconnu : screenlets => Le gestionnaire des screenlets qui s'ouvre permet de lancer les screenlets de base, et d'installer les screenlets supplémentaires que vous aurez téléchargés. | screenlets

31 Mot inconnu : Screenlets => Pour lancer un Screenlets à la main il vous faut aller le chercher comme ceci (par exemple) : | screenlets

34 Mot inconnu : Screenlets => ==== Screenlets supplémentaires ==== | screenlets

37 Mot inconnu : screenlets => <note warning>Il est difficile de trouver des screenlets en ligne, mais les paquets des dépôts et du ppa offrent déjà beaucoup de possibilités.</note> | screenlets

39 Mot inconnu : Compiz => ==== Compiz ==== | compiz

51 Mot inconnu : screenlets => Pour configurer vos screenlets faites un clic droit dessus -> propriétés, cocher ou décocher selon vos souhaits: | screenlets

56 Mot inconnu : NowPlaying => ==== NowPlaying ==== | nowplaying

67 Mot inconnu : screenlets => ===== Fermer un screenlets en double ===== | screenlets
