
3 Mot inconnu : SDDM => ====== SDDM ====== | sddm

17 Mot inconnu : __qu'un => <note important>Le système ne peut avoir __qu'un seul__ gestionnaire de connexion ! Le processus d'installation vous demandera donc de choisir entre activer SDDM ou conserver votre gestionnaire de connexion existant.</note> | __qu'un
17 Mot inconnu : seul__ => <note important>Le système ne peut avoir __qu'un seul__ gestionnaire de connexion ! Le processus d'installation vous demandera donc de choisir entre activer SDDM ou conserver votre gestionnaire de connexion existant.</note> | seul__
17 Mot inconnu : SDDM => <note important>Le système ne peut avoir __qu'un seul__ gestionnaire de connexion ! Le processus d'installation vous demandera donc de choisir entre activer SDDM ou conserver votre gestionnaire de connexion existant.</note> | sddm

21 Mot inconnu : SDDM => Au démarrage (ou après la déconnexion d'un utilisateur), SDDM apparaîtra à l'écran et vous demandera : | sddm

26 Guillemets typographiques ouvrants. => Cliquez finalement sur "Connexion". | " => suggestions : ['«\xa0', '“']
26 Guillemets typographiques fermants. => Cliquez finalement sur "Connexion". | " => suggestions : ['\xa0»', '”']

30 Mot inconnu : SDDM => Si vous ne désirez pas vous connecter, il est aussi possible, depuis SDDM : | sddm

37 Guillemets typographiques ouvrants. => En faisant "Changer d'utilisateur" depuis l'écran de verrouillage (ou depuis le menu principal de KDE Plasma), on a la possibilité grâce à SDDM d'ouvrir plusieurs sessions graphiques en parallèle, pour plusieurs utilisateurs différents. | " => suggestions : ['«\xa0', '“']
37 Guillemets typographiques fermants. => En faisant "Changer d'utilisateur" depuis l'écran de verrouillage (ou depuis le menu principal de KDE Plasma), on a la possibilité grâce à SDDM d'ouvrir plusieurs sessions graphiques en parallèle, pour plusieurs utilisateurs différents. | " => suggestions : ['\xa0»', '”']
37 Mot inconnu : KDE => En faisant "Changer d'utilisateur" depuis l'écran de verrouillage (ou depuis le menu principal de KDE Plasma), on a la possibilité grâce à SDDM d'ouvrir plusieurs sessions graphiques en parallèle, pour plusieurs utilisateurs différents. | kde
37 Mot inconnu : SDDM => En faisant "Changer d'utilisateur" depuis l'écran de verrouillage (ou depuis le menu principal de KDE Plasma), on a la possibilité grâce à SDDM d'ouvrir plusieurs sessions graphiques en parallèle, pour plusieurs utilisateurs différents. | sddm

41 Mot inconnu : KDE => ==== Avec KDE ==== | kde
