
6 Mot inconnu : Testdisk => ====== Testdisk====== | testdisk

16 Mot inconnu : Testdisk => <note tip>Avant de commencer à utiliser Testdisk, assurez-vous que votre disque est en bon état physique avec par exemple [[smartmontools]]. </note> | testdisk
16 Mot inconnu : smartmontools => <note tip>Avant de commencer à utiliser Testdisk, assurez-vous que votre disque est en bon état physique avec par exemple [[smartmontools]]. </note> | smartmontools

21 Mot inconnu : Testdisk => Testdisk est distribué sous [[http://www.gnu.org/licenses/gpl.html|Licence GPLv2]] et fonctionne sous Windows,%% GNU/Linux, Mac OS X, Solaris et BSD.%% | testdisk
21 Mot inconnu : GPLv2 => Testdisk est distribué sous [[http://www.gnu.org/licenses/gpl.html|Licence GPLv2]] et fonctionne sous Windows,%% GNU/Linux, Mac OS X, Solaris et BSD.%% | gplv2
21 Mot inconnu : Solaris => Testdisk est distribué sous [[http://www.gnu.org/licenses/gpl.html|Licence GPLv2]] et fonctionne sous Windows,%% GNU/Linux, Mac OS X, Solaris et BSD.%% | solaris

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  * Disposer d'une connexion à Internet configurée et activée. |   => suggestions : ['']

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  * Savoir exactement où est branché le disque dur sur son ordinateur : |   => suggestions : ['']

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * 1er/2e disque dur SATA ? |      => suggestions : ['']
30 Nombre ordinal. Premier : 1ᵉʳ. Première : 1ʳᵉ. Premiers : 1ᵉʳˢ. Premières : 1ʳᵉˢ. =>     * 1er/2e disque dur SATA ? | 1er => suggestions : ['1ᵉʳ']
30 Nombre ordinal singulier. Exemples : 2ᵉ, 3ᵉ, 4ᵉ… =>     * 1er/2e disque dur SATA ? | 2e => suggestions : ['2ᵉ']
30 Mot inconnu : SATA =>     * 1er/2e disque dur SATA ? | sata

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Sur le contrôleur IDE 1 ou 2, en maître ou en esclave ? |      => suggestions : ['']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  * Savoir ce qu'est une partition et ce qu'est le formatage d'un disque dur. |   => suggestions : ['']

37 Espace(s) surnuméraire(s) à supprimer. => ==== Dans un support d'installation  ==== |    => suggestions : [' ']

40 Mot inconnu : sudo => sudo apt install testdisk</code> | sudo
40 Mot inconnu : install => sudo apt install testdisk</code> | install
40 Mot inconnu : testdisk => sudo apt install testdisk</code> | testdisk

43 Mot inconnu : Béta => ==== Utilisation de la version Béta ==== | béta

48 Espace(s) en fin de ligne à supprimer. => </note>  |   => suggestions : ['']

49 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Se rendre sur la [[https://www.cgsecurity.org/wiki/T%C3%A9l%C3%A9charger_TestDisk|page de téléchargement]] du site officiel; |    => suggestions : ['']
49 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Se rendre sur la [[https://www.cgsecurity.org/wiki/T%C3%A9l%C3%A9charger_TestDisk|page de téléchargement]] du site officiel; |  -  => suggestions : [' – ', ' — ', ' − ']

68 Mot inconnu : Testdisk => Testdisk peut récupérer les partitions qui ont étés supprimées en réécrivant la table de partition. | testdisk

70 Espace(s) en fin de ligne à supprimer. => Cependant si les partitions supprimées ont déjà été réutilisées, la réécriture va détruire ce qui venait d'être installé.  |   => suggestions : ['']

71 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => C'est souvent un très mauvais choix car la récupération ne sera jamais faite à 100% à cause des destructions déjà opérées. |  car => suggestions : [', car']
71 Avec une unité de mesure, mettez un espace insécable. => C'est souvent un très mauvais choix car la récupération ne sera jamais faite à 100% à cause des destructions déjà opérées. | 100% => suggestions : ['100\xa0%']

73 Mot inconnu : deeper => Dans ce dernier contexte, il faut aller jusqu'au **deeper search** et sauver sur un support externe qui __ne doit pas être le support d'installation de UBUNTU__ qui dans 99,99% des cas a été fabriqué en mode **NON**-PERSISTANT et dont la taille est insuffisante. La récupération est donc perdue. | deeper
73 Mot inconnu : search => Dans ce dernier contexte, il faut aller jusqu'au **deeper search** et sauver sur un support externe qui __ne doit pas être le support d'installation de UBUNTU__ qui dans 99,99% des cas a été fabriqué en mode **NON**-PERSISTANT et dont la taille est insuffisante. La récupération est donc perdue. | search
73 Mot inconnu : __ne => Dans ce dernier contexte, il faut aller jusqu'au **deeper search** et sauver sur un support externe qui __ne doit pas être le support d'installation de UBUNTU__ qui dans 99,99% des cas a été fabriqué en mode **NON**-PERSISTANT et dont la taille est insuffisante. La récupération est donc perdue. | __ne
73 Mot inconnu : UBUNTU__ => Dans ce dernier contexte, il faut aller jusqu'au **deeper search** et sauver sur un support externe qui __ne doit pas être le support d'installation de UBUNTU__ qui dans 99,99% des cas a été fabriqué en mode **NON**-PERSISTANT et dont la taille est insuffisante. La récupération est donc perdue. | ubuntu__
73 Avec une unité de mesure, mettez un espace insécable. => Dans ce dernier contexte, il faut aller jusqu'au **deeper search** et sauver sur un support externe qui __ne doit pas être le support d'installation de UBUNTU__ qui dans 99,99% des cas a été fabriqué en mode **NON**-PERSISTANT et dont la taille est insuffisante. La récupération est donc perdue. | 99,99% => suggestions : ['99,99\xa0%']
87 Mot inconnu : Proceed => On choisit l'option « Proceed » en bas avec les flèches « ← » et « → » puis on valide avec « Entrée ». | proceed

93 Mot inconnu : systeme_de_fichiers => On choisit le type de partition. Notez qu'on peut ainsi récupérer différents [[systeme_de_fichiers]] : des disques XBox, Mac ou Sun. Dans la plupart des cas, ce sera Intel donc pour un PC Windows ou GNU/Linux. | systeme_de_fichiers
93 Mot inconnu : XBox => On choisit le type de partition. Notez qu'on peut ainsi récupérer différents [[systeme_de_fichiers]] : des disques XBox, Mac ou Sun. Dans la plupart des cas, ce sera Intel donc pour un PC Windows ou GNU/Linux. | xbox
93 Mot inconnu : Sun => On choisit le type de partition. Notez qu'on peut ainsi récupérer différents [[systeme_de_fichiers]] : des disques XBox, Mac ou Sun. Dans la plupart des cas, ce sera Intel donc pour un PC Windows ou GNU/Linux. | sun

96 Mot inconnu : DELETEME => DELETEME<note warning>Si votre disque dépasse la taille de 2 to, notez que la table de partition sera ** EFI GPT** dans quasiment 100% des cas.</note> | deleteme
96 Mot inconnu : to => DELETEME<note warning>Si votre disque dépasse la taille de 2 to, notez que la table de partition sera ** EFI GPT** dans quasiment 100% des cas.</note> | to
96 Mot inconnu : EFI => DELETEME<note warning>Si votre disque dépasse la taille de 2 to, notez que la table de partition sera ** EFI GPT** dans quasiment 100% des cas.</note> | efi
96 Mot inconnu : GPT => DELETEME<note warning>Si votre disque dépasse la taille de 2 to, notez que la table de partition sera ** EFI GPT** dans quasiment 100% des cas.</note> | gpt
96 Avec une unité de mesure, mettez un espace insécable. => DELETEME<note warning>Si votre disque dépasse la taille de 2 to, notez que la table de partition sera ** EFI GPT** dans quasiment 100% des cas.</note> | 100% => suggestions : ['100\xa0%']

103 Mot inconnu : FAT32 => Il nous dit comment est partitionné le disque dur pour le moment. Ici, il y a une grosse partition en FAT32 créée par erreur. | fat32
109 Mot inconnu : proceed => On choisit donc l'option « proceed » : | proceed
117 Mot inconnu : Search => Là on choisit « Search » cela va lancer le scan. | search

125 Si “Gio” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => On laisse mijoter ainsi longtemps… très longtemps ici pour un disque dur de 250 Gio | 250 gio => suggestions : ['250\xa0Gio']
132 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Soit on appuie sur « Entrée » pour arrêter la recherche car nous avons reconnu notre partition (inutile d'attendre qu'il analyse tout le disque). |  car => suggestions : [', car']

140 Mot inconnu : TestDisk => TestDisk liste les partitions effacées qu'il a découvertes. | testdisk

142 Mot inconnu : FAT32 => Ici, une autre partition en FAT32 (sûrement une partition encore plus vieille) et MA partition en NTFS ; je vois même le label (le nom) de mon ancienne partition. | fat32
142 Mot inconnu : NTFS => Ici, une autre partition en FAT32 (sûrement une partition encore plus vieille) et MA partition en NTFS ; je vois même le label (le nom) de mon ancienne partition. | ntfs
147 Mot inconnu : Deleted => En effet, on remarque au début de la ligne un « D » ce qui signifie //Deleted// (effacée) on va changer ça. | deleted

