3 Mot inconnu : Logitech => ====== Clavier : Logitech k480 ====== | logitech
3 Mot inconnu : k480 => ====== Clavier : Logitech k480 ====== | k480

7 Accord de nombre erroné : « maximum » est au singulier. => Ce clavier Bluetooth peut être jumelé avec 3 périphériques différents aux maximum (ordinateur, pc et smartphone). | aux => suggestions : ['au']
7 Accord de nombre erroné : « maximum » devrait être au pluriel. => Ce clavier Bluetooth peut être jumelé avec 3 périphériques différents aux maximum (ordinateur, pc et smartphone). | maximum => suggestions : ['maximums']

10 Mot inconnu : multiboot => Ce clavier est inapproprié pour un multiboot. En effet, Il est impossible d'utiliser le clavier sur un autre système d'exploitation sur la même machine sans devoir recommencer le processus de jumelage, même en utilisant 2 positions différentes. | multiboot

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Tourner la roulette du clavier sur le numéro que vous souhaitez attribuer à votre périphérique |    => suggestions : ['']
15 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Tourner la roulette du clavier sur le numéro que vous souhaitez attribuer à votre périphérique |  -  => suggestions : [' – ', ' — ', ' − ']

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Appuyer longtemps sur le bouton "pc" en haut à droite du clavier (ou "i" si vous préférez une disposition mac) |    => suggestions : ['']
16 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Appuyer longtemps sur le bouton "pc" en haut à droite du clavier (ou "i" si vous préférez une disposition mac) |  -  => suggestions : [' – ', ' — ', ' − ']
16 Guillemets typographiques ouvrants. =>   - Appuyer longtemps sur le bouton "pc" en haut à droite du clavier (ou "i" si vous préférez une disposition mac) | " => suggestions : ['«\xa0', '“']
16 Guillemets typographiques fermants. =>   - Appuyer longtemps sur le bouton "pc" en haut à droite du clavier (ou "i" si vous préférez une disposition mac) | " => suggestions : ['\xa0»', '”']
16 Guillemets typographiques ouvrants. =>   - Appuyer longtemps sur le bouton "pc" en haut à droite du clavier (ou "i" si vous préférez une disposition mac) | " => suggestions : ['«\xa0', '“']
16 Guillemets typographiques fermants. =>   - Appuyer longtemps sur le bouton "pc" en haut à droite du clavier (ou "i" si vous préférez une disposition mac) | " => suggestions : ['\xa0»', '”']

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Aller dans les paramètres Bluetooth et ajouter le périphérique (attention, attendre 1-2 secondes, car la composition du code à entrer peut changer peu après le premier affichage) |    => suggestions : ['']
17 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Aller dans les paramètres Bluetooth et ajouter le périphérique (attention, attendre 1-2 secondes, car la composition du code à entrer peut changer peu après le premier affichage) |  -  => suggestions : [' – ', ' — ', ' − ']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **(en)** [[http://forums.logitech.com/t5/Keyboards-and-Keyboard-Mice/Pairing-Logitech-k480-and-Kubuntu-14-04/m-p/1311477|Forum Logitech]] (En cas de problème de jumelage)  |    => suggestions : ['']
21 Mot inconnu : Logitech =>   * **(en)** [[http://forums.logitech.com/t5/Keyboards-and-Keyboard-Mice/Pairing-Logitech-k480-and-Kubuntu-14-04/m-p/1311477|Forum Logitech]] (En cas de problème de jumelage)  | logitech
21 Espace(s) en fin de ligne à supprimer. =>   * **(en)** [[http://forums.logitech.com/t5/Keyboards-and-Keyboard-Mice/Pairing-Logitech-k480-and-Kubuntu-14-04/m-p/1311477|Forum Logitech]] (En cas de problème de jumelage)  |   => suggestions : ['']
24 Il manque un espace. => //Contributeurs principaux : [[utilisateurs:sssammm|sssammm]]// | sssammm => suggestions : [' sssammm']
