
6 Mot inconnu : GoldenDict => ====== GoldenDict ====== | goldendict

8 Mot inconnu : GoldenDict => **GoldenDict** est une interface permettant l'utilisation de dictionnaires hors ligne et en ligne. Il permet la gestion simultanée de multiples dictionnaires. | goldendict

35 Mot inconnu : Babylon => Lien direct pour le dictionnaire Babylon [[http://info.babylon.com/glossaries/4E5/Babylon_French_English_diction.BGL| français/anglais]], et pour [[http://info.babylon.com/glossaries/387/Babylon_English_French.BGL|l'anglais/français]].\\ | babylon

42 Mot inconnu : Goldendict => Vous pourrez ensuite les enregistrer dans le dossier de votre choix que vous indiquerez à Goldendict. | goldendict

44 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

46 Mot inconnu : Goldendict => Un raccourci s'affiche sur le tableau de bord supérieur qui permet de lancer rapidement Goldendict. Vous pouvez aussi activer l'option //Fenêtre de scan//, qui vous permettra à tout moment grâce à un double clic sur n'importe quel mot d'en avoir la définition grâce à Goldendict. | goldendict
46 Mot inconnu : Goldendict => Un raccourci s'affiche sur le tableau de bord supérieur qui permet de lancer rapidement Goldendict. Vous pouvez aussi activer l'option //Fenêtre de scan//, qui vous permettra à tout moment grâce à un double clic sur n'importe quel mot d'en avoir la définition grâce à Goldendict. | goldendict

50 Mot inconnu : Goldendict => Pour rendre accessibles les dictionnaires, vous devez indiquer à Goldendict l'emplacement où sont stockés vos dictionnaires. Pour cela, rendez-vous dans le menu //Édition -> Dictionnaires// dans l'onglet //Sources//, cliquez sur //Ajouter// et naviguez vers le dossier où se trouvent vos dictionnaires.\\ | goldendict

55 Mot inconnu : Goldendict => <note>La remarque ci-dessus n'est plus vraie avec la version 1.5.0 de Goldendict contenue dans les dépôts d'Ubuntu 20.04 (non vérifié sur les versions précédentes).</note> | goldendict

62 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

64 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
