
5 Mot inconnu : MacBook => ======  MacBook 7.1 ====== | macbook

7 Mot inconnu : MacBook => Cette page concerne les MacBook 7.1 et MacBook Pro 7.1 (qui sont des modèles identiques). | macbook
7 Mot inconnu : MacBook => Cette page concerne les MacBook 7.1 et MacBook Pro 7.1 (qui sont des modèles identiques). | macbook

22 Mot inconnu : Touchpad => ^ Version ^ Installation ^ Carte graphique ^ Son ^ Wifi ^ Bluetooth ^ Webcam ^ Touchpad ^ Raccourcis multimédia ^ Autres ^ | touchpad

31 Mot inconnu : macbook => ===== Connaître la version de son macbook ===== | macbook

39 Mot inconnu : GRUB2 => ==== Démarrer avec GRUB2 (macbook - générique) ==== | grub2
39 Mot inconnu : macbook => ==== Démarrer avec GRUB2 (macbook - générique) ==== | macbook
39 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ==== Démarrer avec GRUB2 (macbook - générique) ==== |  -  => suggestions : [' – ', ' — ', ' − ']

40 Mot inconnu : Grub => Grub permet le multiboot, si vous avez 2 partitions et si vous n'arrivez pas à le démarrer par défaut.  | grub
40 Mot inconnu : multiboot => Grub permet le multiboot, si vous avez 2 partitions et si vous n'arrivez pas à le démarrer par défaut.  | multiboot
40 Espace(s) en fin de ligne à supprimer. => Grub permet le multiboot, si vous avez 2 partitions et si vous n'arrivez pas à le démarrer par défaut.  |   => suggestions : ['']

43 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - soit maintenir la touche "alt" enfoncée et appuyer sur "power" vous aurez alors le choix du disque de boot. En maintenant la touche "ctrl" et en choisissant la partition Linux (souvent marquée Windows) le boot sera automatiquement fait via cette partition. | -  => suggestions : ['—\xa0', '–\xa0']
43 Guillemets typographiques ouvrants. => - soit maintenir la touche "alt" enfoncée et appuyer sur "power" vous aurez alors le choix du disque de boot. En maintenant la touche "ctrl" et en choisissant la partition Linux (souvent marquée Windows) le boot sera automatiquement fait via cette partition. | " => suggestions : ['«\xa0', '“']
43 Mot inconnu : alt => - soit maintenir la touche "alt" enfoncée et appuyer sur "power" vous aurez alors le choix du disque de boot. En maintenant la touche "ctrl" et en choisissant la partition Linux (souvent marquée Windows) le boot sera automatiquement fait via cette partition. | alt
43 Guillemets typographiques fermants. => - soit maintenir la touche "alt" enfoncée et appuyer sur "power" vous aurez alors le choix du disque de boot. En maintenant la touche "ctrl" et en choisissant la partition Linux (souvent marquée Windows) le boot sera automatiquement fait via cette partition. | " => suggestions : ['\xa0»', '”']
43 Guillemets typographiques ouvrants. => - soit maintenir la touche "alt" enfoncée et appuyer sur "power" vous aurez alors le choix du disque de boot. En maintenant la touche "ctrl" et en choisissant la partition Linux (souvent marquée Windows) le boot sera automatiquement fait via cette partition. | " => suggestions : ['«\xa0', '“']
43 Mot inconnu : power => - soit maintenir la touche "alt" enfoncée et appuyer sur "power" vous aurez alors le choix du disque de boot. En maintenant la touche "ctrl" et en choisissant la partition Linux (souvent marquée Windows) le boot sera automatiquement fait via cette partition. | power
43 Guillemets typographiques fermants. => - soit maintenir la touche "alt" enfoncée et appuyer sur "power" vous aurez alors le choix du disque de boot. En maintenant la touche "ctrl" et en choisissant la partition Linux (souvent marquée Windows) le boot sera automatiquement fait via cette partition. | " => suggestions : ['\xa0»', '”']
43 Mot inconnu : boot => - soit maintenir la touche "alt" enfoncée et appuyer sur "power" vous aurez alors le choix du disque de boot. En maintenant la touche "ctrl" et en choisissant la partition Linux (souvent marquée Windows) le boot sera automatiquement fait via cette partition. | boot
43 Guillemets typographiques ouvrants. => - soit maintenir la touche "alt" enfoncée et appuyer sur "power" vous aurez alors le choix du disque de boot. En maintenant la touche "ctrl" et en choisissant la partition Linux (souvent marquée Windows) le boot sera automatiquement fait via cette partition. | " => suggestions : ['«\xa0', '“']
43 Mot inconnu : ctrl => - soit maintenir la touche "alt" enfoncée et appuyer sur "power" vous aurez alors le choix du disque de boot. En maintenant la touche "ctrl" et en choisissant la partition Linux (souvent marquée Windows) le boot sera automatiquement fait via cette partition. | ctrl
43 Guillemets typographiques fermants. => - soit maintenir la touche "alt" enfoncée et appuyer sur "power" vous aurez alors le choix du disque de boot. En maintenant la touche "ctrl" et en choisissant la partition Linux (souvent marquée Windows) le boot sera automatiquement fait via cette partition. | " => suggestions : ['\xa0»', '”']
43 Mot inconnu : boot => - soit maintenir la touche "alt" enfoncée et appuyer sur "power" vous aurez alors le choix du disque de boot. En maintenant la touche "ctrl" et en choisissant la partition Linux (souvent marquée Windows) le boot sera automatiquement fait via cette partition. | boot

44 Dialogues et énumérations : un tiret cadratin [1] ou demi-cadratin [2], suivi d’un espace insécable, est requis. => - soit maintenir le clic gauche du pad | -  => suggestions : ['—\xa0', '–\xa0']
44 Mot inconnu : pad => - soit maintenir le clic gauche du pad | pad

46 Mot inconnu : Grub => Grub vous permettra ensuite de choisir sur quel OS vous voulez démarrer. | grub

49 Mot inconnu : touchpad => ==== Le touchpad ==== | touchpad

58 Mot inconnu : nvidia-xconfig => On commence par lancer nvidia-xconfig: | nvidia-xconfig

61 Mot inconnu : xorg => On va à présent éditer le fichier de config xorg: | xorg

64 Guillemets typographiques ouvrants. => Naviguer jusqu'à la section "Device" et y ajouter cette ligne: | " => suggestions : ['«\xa0', '“']
64 Mot inconnu : Device => Naviguer jusqu'à la section "Device" et y ajouter cette ligne: | device
64 Guillemets typographiques fermants. => Naviguer jusqu'à la section "Device" et y ajouter cette ligne: | " => suggestions : ['\xa0»', '”']

65 Guillemets typographiques ouvrants. => <file>Section "Device" | " => suggestions : ['«\xa0', '“']
65 Mot inconnu : Device => <file>Section "Device" | device
65 Guillemets typographiques fermants. => <file>Section "Device" | " => suggestions : ['\xa0»', '”']

74 Mot inconnu : EndSection => EndSection</file> | endsection

81 Mot inconnu : ctrl => === inverser les touches [ctrl] et [cmd] === | ctrl
81 Mot inconnu : cmd => === inverser les touches [ctrl] et [cmd] === | cmd

83 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => **Sous Ubuntu 13.04 ** - pour inverser les touches **[ctrl]** et **[cmd]** afin d'avoir la même configuration que sous Mac OS X, voici comment faire: |  -  => suggestions : [' – ', ' — ', ' − ']
83 Mot inconnu : ctrl => **Sous Ubuntu 13.04 ** - pour inverser les touches **[ctrl]** et **[cmd]** afin d'avoir la même configuration que sous Mac OS X, voici comment faire: | ctrl
83 Mot inconnu : cmd => **Sous Ubuntu 13.04 ** - pour inverser les touches **[ctrl]** et **[cmd]** afin d'avoir la même configuration que sous Mac OS X, voici comment faire: | cmd

110 Espace(s) en fin de ligne à supprimer. => Et le rajouter au démarrage  |   => suggestions : ['']
123 Mot inconnu : fidjiflorian => //Contributeurs principaux : fidjiflorian // | fidjiflorian
