
5 Mot inconnu : OBS => ====== OBS + Discord Guide "Facile" Partage écran ====== | obs
5 Guillemets typographiques ouvrants. => ====== OBS + Discord Guide "Facile" Partage écran ====== | " => suggestions : ['«\xa0', '“']
5 Guillemets typographiques fermants. => ====== OBS + Discord Guide "Facile" Partage écran ====== | " => suggestions : ['\xa0»', '”']

7 Guillemets typographiques ouvrants. => <note>Le but de cette page est de partager une "scène" (écran composé de plusieurs fenêtres) via discord avec la fonction "partage de fenêtre", notamment pour des ateliers "craft" (bricolage) ou dessin avec une diffusion restreinte a un seul serveur. | " => suggestions : ['«\xa0', '“']
7 Guillemets typographiques fermants. => <note>Le but de cette page est de partager une "scène" (écran composé de plusieurs fenêtres) via discord avec la fonction "partage de fenêtre", notamment pour des ateliers "craft" (bricolage) ou dessin avec une diffusion restreinte a un seul serveur. | " => suggestions : ['\xa0»', '”']
7 Guillemets typographiques ouvrants. => <note>Le but de cette page est de partager une "scène" (écran composé de plusieurs fenêtres) via discord avec la fonction "partage de fenêtre", notamment pour des ateliers "craft" (bricolage) ou dessin avec une diffusion restreinte a un seul serveur. | " => suggestions : ['«\xa0', '“']
7 Guillemets typographiques fermants. => <note>Le but de cette page est de partager une "scène" (écran composé de plusieurs fenêtres) via discord avec la fonction "partage de fenêtre", notamment pour des ateliers "craft" (bricolage) ou dessin avec une diffusion restreinte a un seul serveur. | " => suggestions : ['\xa0»', '”']
7 Guillemets typographiques ouvrants. => <note>Le but de cette page est de partager une "scène" (écran composé de plusieurs fenêtres) via discord avec la fonction "partage de fenêtre", notamment pour des ateliers "craft" (bricolage) ou dessin avec une diffusion restreinte a un seul serveur. | " => suggestions : ['«\xa0', '“']
7 Mot inconnu : craft => <note>Le but de cette page est de partager une "scène" (écran composé de plusieurs fenêtres) via discord avec la fonction "partage de fenêtre", notamment pour des ateliers "craft" (bricolage) ou dessin avec une diffusion restreinte a un seul serveur. | craft
7 Guillemets typographiques fermants. => <note>Le but de cette page est de partager une "scène" (écran composé de plusieurs fenêtres) via discord avec la fonction "partage de fenêtre", notamment pour des ateliers "craft" (bricolage) ou dessin avec une diffusion restreinte a un seul serveur. | " => suggestions : ['\xa0»', '”']

11 Mot inconnu : Lubuntu18 => (Méthode testée sous Lubuntu18.04x64 à jour au 07/2020) | lubuntu18
11 Signe de multiplication typographique. => (Méthode testée sous Lubuntu18.04x64 à jour au 07/2020) | 04x64 => suggestions : ['04\xa0×\xa064']
11 Mot inconnu : x64 => (Méthode testée sous Lubuntu18.04x64 à jour au 07/2020) | x64

15 Mot inconnu : __ => __**Requis**__ | __
15 Mot inconnu : __ => __**Requis**__ | __

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Intel core I3  |    => suggestions : ['']
17 Mot inconnu : core =>   * Intel core I3  | core
17 Mot inconnu : I3 =>   * Intel core I3  | i3
17 Espace(s) en fin de ligne à supprimer. =>   * Intel core I3  |   => suggestions : ['']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * OS x64 |    => suggestions : ['']
18 Mot inconnu : x64 =>   * OS x64 | x64

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * 4Gio RAM |    => suggestions : ['']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Internet |    => suggestions : ['']

21 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Un peu d’éclairage. (4000°k recommandé) |    => suggestions : ['']
21 Accord de nombre erroné avec « 4000 k » : « recommandé » devrait être au pluriel. =>   * Un peu d’éclairage. (4000°k recommandé) | recommandé => suggestions : ['recommandés']

22 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Micro-casque (de préférence avec « mute » buttons) |    => suggestions : ['']

23 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Webcam |    => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Smartphone |    => suggestions : ['']
36 Mot inconnu : canonical => onglet « autre logiciel » cocher « partenaires canonical» | canonical
42 Mot inconnu : update => onglet « pilotes » vérifiez qu’il ne vous propose pas une update pour nvidia/intel/bradcom | update
42 Mot inconnu : nvidia => onglet « pilotes » vérifiez qu’il ne vous propose pas une update pour nvidia/intel/bradcom | nvidia
42 Mot inconnu : intel => onglet « pilotes » vérifiez qu’il ne vous propose pas une update pour nvidia/intel/bradcom | intel
42 Mot inconnu : bradcom => onglet « pilotes » vérifiez qu’il ne vous propose pas une update pour nvidia/intel/bradcom | bradcom

59 Mot inconnu : sudo => sudo apt update ; sudo apt full-upgrade ; sudo apt dist-upgrade ; sudo apt --fix-broken install ; sudo dpkg --configure -a ; sudo apt autoremove</code> | sudo
59 Mot inconnu : update => sudo apt update ; sudo apt full-upgrade ; sudo apt dist-upgrade ; sudo apt --fix-broken install ; sudo dpkg --configure -a ; sudo apt autoremove</code> | update
59 Mot inconnu : sudo => sudo apt update ; sudo apt full-upgrade ; sudo apt dist-upgrade ; sudo apt --fix-broken install ; sudo dpkg --configure -a ; sudo apt autoremove</code> | sudo
59 Mot inconnu : sudo => sudo apt update ; sudo apt full-upgrade ; sudo apt dist-upgrade ; sudo apt --fix-broken install ; sudo dpkg --configure -a ; sudo apt autoremove</code> | sudo
59 Mot inconnu : dist-upgrade => sudo apt update ; sudo apt full-upgrade ; sudo apt dist-upgrade ; sudo apt --fix-broken install ; sudo dpkg --configure -a ; sudo apt autoremove</code> | dist-upgrade
59 Mot inconnu : sudo => sudo apt update ; sudo apt full-upgrade ; sudo apt dist-upgrade ; sudo apt --fix-broken install ; sudo dpkg --configure -a ; sudo apt autoremove</code> | sudo
59 Mot inconnu : fix-broken => sudo apt update ; sudo apt full-upgrade ; sudo apt dist-upgrade ; sudo apt --fix-broken install ; sudo dpkg --configure -a ; sudo apt autoremove</code> | fix-broken
59 Mot inconnu : install => sudo apt update ; sudo apt full-upgrade ; sudo apt dist-upgrade ; sudo apt --fix-broken install ; sudo dpkg --configure -a ; sudo apt autoremove</code> | install
59 Mot inconnu : sudo => sudo apt update ; sudo apt full-upgrade ; sudo apt dist-upgrade ; sudo apt --fix-broken install ; sudo dpkg --configure -a ; sudo apt autoremove</code> | sudo
59 Mot inconnu : dpkg => sudo apt update ; sudo apt full-upgrade ; sudo apt dist-upgrade ; sudo apt --fix-broken install ; sudo dpkg --configure -a ; sudo apt autoremove</code> | dpkg
59 Mot inconnu : sudo => sudo apt update ; sudo apt full-upgrade ; sudo apt dist-upgrade ; sudo apt --fix-broken install ; sudo dpkg --configure -a ; sudo apt autoremove</code> | sudo
59 Mot inconnu : autoremove => sudo apt update ; sudo apt full-upgrade ; sudo apt dist-upgrade ; sudo apt --fix-broken install ; sudo dpkg --configure -a ; sudo apt autoremove</code> | autoremove

68 Mot inconnu : video => (son/video > ajouté > ~/tmp/droidcam/droidcam > validé ) | video
68 Pas d’espace avant ce signe. => (son/video > ajouté > ~/tmp/droidcam/droidcam > validé ) |  ) => suggestions : [')']

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  (annulé, ajouter/supprimé, décochez "anglais", appliquer a tous le système, fermer et relancer la commande avec flèche du haut, et ce coup ci, validé le message) |   => suggestions : ['']
72 Guillemets typographiques ouvrants. =>  (annulé, ajouter/supprimé, décochez "anglais", appliquer a tous le système, fermer et relancer la commande avec flèche du haut, et ce coup ci, validé le message) | " => suggestions : ['«\xa0', '“']
72 Guillemets typographiques fermants. =>  (annulé, ajouter/supprimé, décochez "anglais", appliquer a tous le système, fermer et relancer la commande avec flèche du haut, et ce coup ci, validé le message) | " => suggestions : ['\xa0»', '”']
72 Il manque probablement un trait d’union. =>  (annulé, ajouter/supprimé, décochez "anglais", appliquer a tous le système, fermer et relancer la commande avec flèche du haut, et ce coup ci, validé le message) | coup ci => suggestions : ['coup-ci']

76 Mot inconnu : w10 => Clic droit sur le menu w10, "Powershell Admin" | w10
76 Guillemets typographiques ouvrants. => Clic droit sur le menu w10, "Powershell Admin" | " => suggestions : ['«\xa0', '“']
76 Mot inconnu : Powershell => Clic droit sur le menu w10, "Powershell Admin" | powershell
76 Guillemets typographiques fermants. => Clic droit sur le menu w10, "Powershell Admin" | " => suggestions : ['\xa0»', '”']

78 Copier-coller pour la verbe ou l’action, copié-collé (et ses variantes) pour ce qui est copié-collé. => Copier / Coller la ligne suivante et valider avec [entrer] | copier / coller => suggestions : ['Copier-coller', 'Copié-collé', 'Copiée-collée', 'Copiés-collés', 'Copiées-collées']

81 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). => <note important>Nécessite Frameworks .Net 4+</note> |  . => suggestions : ['. ', '.']

83 Mot inconnu : Npackd => === Npackd si Chocolatey ne fonctionne pas === | npackd
83 Mot inconnu : Chocolatey => === Npackd si Chocolatey ne fonctionne pas === | chocolatey

87 Mot inconnu : ClassicShell => === ClassicShell === | classicshell
92 Mot inconnu : ok => Menu windows > application > 7Zip > clic droit sur 7Zip manager > propriété > compatibilité > [X] Exécuter en mode admin > Appliquer/ok | ok

97 Guillemets typographiques ouvrants. => onglet extension, cochez "tous" deux fois dans chaque colonne pour utilisé 7zip par défaut | " => suggestions : ['«\xa0', '“']
97 Guillemets typographiques fermants. => onglet extension, cochez "tous" deux fois dans chaque colonne pour utilisé 7zip par défaut | " => suggestions : ['\xa0»', '”']
97 Après la préposition “pour”, le verbe devrait être à l’infinitif. => onglet extension, cochez "tous" deux fois dans chaque colonne pour utilisé 7zip par défaut | utilisé => suggestions : ['utiliser']

103 Mot inconnu : DroidCam => === DroidCam ===  | droidcam
103 Espace(s) en fin de ligne à supprimer. => === DroidCam ===  |   => suggestions : ['']

104 Mot inconnu : etant => (n'etant pas dans la bibliothèque chocolatey il faut le télécharger manuellement.) | etant
104 Mot inconnu : chocolatey => (n'etant pas dans la bibliothèque chocolatey il faut le télécharger manuellement.) | chocolatey

111 Mot inconnu : IOS => ==== Android & IOS ==== | ios

112 Mot inconnu : playstore => Sur Android, télécharger sur le playstore « droidcam », rangez-le dans le dossier « photo, galerie » | playstore
112 Mot inconnu : droidcam => Sur Android, télécharger sur le playstore « droidcam », rangez-le dans le dossier « photo, galerie » | droidcam

114 Mot inconnu : IOS => sur IOS, same … | ios
114 Pas d’espace avant le signe “…”. => sur IOS, same … |  … => suggestions : ['…']

117 Mot inconnu : MacOS => ==== MacOS ==== | macos

118 Mot inconnu : Press => Press Cmd Space to open spotlight search, and type terminal and hit return | press
118 Mot inconnu : Cmd => Press Cmd Space to open spotlight search, and type terminal and hit return | cmd
118 Mot inconnu : Space => Press Cmd Space to open spotlight search, and type terminal and hit return | space
118 Mot inconnu : to => Press Cmd Space to open spotlight search, and type terminal and hit return | to
118 Mot inconnu : spotlight => Press Cmd Space to open spotlight search, and type terminal and hit return | spotlight
118 Mot inconnu : search => Press Cmd Space to open spotlight search, and type terminal and hit return | search
118 Mot inconnu : and => Press Cmd Space to open spotlight search, and type terminal and hit return | and
118 Mot inconnu : and => Press Cmd Space to open spotlight search, and type terminal and hit return | and
118 Mot inconnu : return => Press Cmd Space to open spotlight search, and type terminal and hit return | return

124 Mot inconnu : Camdroid => pour Camdroid (sinon voir plus bas pour l'app) | camdroid
124 Mot inconnu : app => pour Camdroid (sinon voir plus bas pour l'app) | app

132 Mot inconnu : audacious => ==== audacious (menu > son) ==== | audacious

136 Guillemets typographiques ouvrants. => apparence > interface "GTK" ==> Winamp, sélectionner "refugee" (ou d’autre ici https://www.gnome-look.org/browse/cat/129/order/latest)  | " => suggestions : ['«\xa0', '“']
136 Guillemets typographiques fermants. => apparence > interface "GTK" ==> Winamp, sélectionner "refugee" (ou d’autre ici https://www.gnome-look.org/browse/cat/129/order/latest)  | " => suggestions : ['\xa0»', '”']
136 Mot inconnu : Winamp => apparence > interface "GTK" ==> Winamp, sélectionner "refugee" (ou d’autre ici https://www.gnome-look.org/browse/cat/129/order/latest)  | winamp
136 Guillemets typographiques ouvrants. => apparence > interface "GTK" ==> Winamp, sélectionner "refugee" (ou d’autre ici https://www.gnome-look.org/browse/cat/129/order/latest)  | " => suggestions : ['«\xa0', '“']
136 Mot inconnu : refugee => apparence > interface "GTK" ==> Winamp, sélectionner "refugee" (ou d’autre ici https://www.gnome-look.org/browse/cat/129/order/latest)  | refugee
136 Guillemets typographiques fermants. => apparence > interface "GTK" ==> Winamp, sélectionner "refugee" (ou d’autre ici https://www.gnome-look.org/browse/cat/129/order/latest)  | " => suggestions : ['\xa0»', '”']
136 Espace(s) en fin de ligne à supprimer. => apparence > interface "GTK" ==> Winamp, sélectionner "refugee" (ou d’autre ici https://www.gnome-look.org/browse/cat/129/order/latest)  |   => suggestions : ['']

140 Mot inconnu : add => Greffon > effet > Stéréo add, stéréophonique | add

146 Mot inconnu : Krita => ==== Krita (menu graphisme) > thème > dark ==== | krita

152 Mot inconnu : OBS => ==== OBS (son /  video) ==== | obs
152 Mot inconnu : video => ==== OBS (son /  video) ==== | video

155 Accord de nombre erroné : « Dock » devrait être au pluriel. => === Disposition Des Dock === | dock => suggestions : ['Docks']

157 Accord de nombre erroné : « case » devrait être au pluriel. => menu > afficher > dock (cochez toutes les case sauf, réinitialisé, verrouillé, transition) | case => suggestions : ['cases']

161 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gauche haut : sources |    => suggestions : ['']

162 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Gauche milieu : Scene |    => suggestions : ['']
162 Mot inconnu : Scene =>   * Gauche milieu : Scene | scene

163 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Droite : commande (bouton) |    => suggestions : ['']

164 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Centre : écran |    => suggestions : ['']

165 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Milieux bas : mélangeur audio |    => suggestions : ['']

166 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Bas : statistique |    => suggestions : ['']

