
5 Mot inconnu : Eee => ====== Eee PC : le netbook d'Asus ====== | eee
5 Mot inconnu : netbook => ====== Eee PC : le netbook d'Asus ====== | netbook

16 Mot inconnu : Eee => <note tip>Ce qui suit traite des problèmes **commun à presque à tous les Eee PC**, si le problème persiste, consultez la documentation spécifique au modèle concerné.</note> | eee

18 Mot inconnu : Dualboot => ==== Dualboot Ubuntu/Windows sur les eeepc récents (BIOS Asus EFI) ==== | dualboot
18 Mot inconnu : eeepc => ==== Dualboot Ubuntu/Windows sur les eeepc récents (BIOS Asus EFI) ==== | eeepc
18 Mot inconnu : EFI => ==== Dualboot Ubuntu/Windows sur les eeepc récents (BIOS Asus EFI) ==== | efi

19 Mot inconnu : eeepc => Pour installer Ubuntu à côté de Windows sur les eeepc récents équipés du Bios Asus EFI, comme le 1215B, il y a quelques difficultés : Le BIOS démarre par défaut sur le disque dur en mode BIOS classique (formaté en msdos), mais sur les clés USB et cartes SD bootables en mode UEFI (nouveau BIOS).  | eeepc
19 Accord de nombre erroné : « Bios » devrait être au singulier. => Pour installer Ubuntu à côté de Windows sur les eeepc récents équipés du Bios Asus EFI, comme le 1215B, il y a quelques difficultés : Le BIOS démarre par défaut sur le disque dur en mode BIOS classique (formaté en msdos), mais sur les clés USB et cartes SD bootables en mode UEFI (nouveau BIOS).  | bios => suggestions : ['Bio']
19 Mot inconnu : EFI => Pour installer Ubuntu à côté de Windows sur les eeepc récents équipés du Bios Asus EFI, comme le 1215B, il y a quelques difficultés : Le BIOS démarre par défaut sur le disque dur en mode BIOS classique (formaté en msdos), mais sur les clés USB et cartes SD bootables en mode UEFI (nouveau BIOS).  | efi
19 Mot inconnu : msdos => Pour installer Ubuntu à côté de Windows sur les eeepc récents équipés du Bios Asus EFI, comme le 1215B, il y a quelques difficultés : Le BIOS démarre par défaut sur le disque dur en mode BIOS classique (formaté en msdos), mais sur les clés USB et cartes SD bootables en mode UEFI (nouveau BIOS).  | msdos
19 Mot inconnu : SD => Pour installer Ubuntu à côté de Windows sur les eeepc récents équipés du Bios Asus EFI, comme le 1215B, il y a quelques difficultés : Le BIOS démarre par défaut sur le disque dur en mode BIOS classique (formaté en msdos), mais sur les clés USB et cartes SD bootables en mode UEFI (nouveau BIOS).  | sd
19 Mot inconnu : bootables => Pour installer Ubuntu à côté de Windows sur les eeepc récents équipés du Bios Asus EFI, comme le 1215B, il y a quelques difficultés : Le BIOS démarre par défaut sur le disque dur en mode BIOS classique (formaté en msdos), mais sur les clés USB et cartes SD bootables en mode UEFI (nouveau BIOS).  | bootables
19 Mot inconnu : UEFI => Pour installer Ubuntu à côté de Windows sur les eeepc récents équipés du Bios Asus EFI, comme le 1215B, il y a quelques difficultés : Le BIOS démarre par défaut sur le disque dur en mode BIOS classique (formaté en msdos), mais sur les clés USB et cartes SD bootables en mode UEFI (nouveau BIOS).  | uefi
19 Espace(s) en fin de ligne à supprimer. => Pour installer Ubuntu à côté de Windows sur les eeepc récents équipés du Bios Asus EFI, comme le 1215B, il y a quelques difficultés : Le BIOS démarre par défaut sur le disque dur en mode BIOS classique (formaté en msdos), mais sur les clés USB et cartes SD bootables en mode UEFI (nouveau BIOS).  |   => suggestions : ['']

23 Accord de nombre erroné avec « bios ». => Pour démarrer en mode bios sur la clé, il faut suivre les instructions suivantes : | mode => suggestions : ['modes']
23 Accord de nombre erroné avec « mode ». => Pour démarrer en mode bios sur la clé, il faut suivre les instructions suivantes : | bios => suggestions : ['bio']

41 Mot inconnu : TLP => ==== TLP ==== | tlp

45 Mot inconnu : TLP => **TLP** est également un utilitaire de contrôle du matériel Eee PC sous Linux et propose quelques fonctionnalités supplémentaires. | tlp
45 Mot inconnu : Eee => **TLP** est également un utilitaire de contrôle du matériel Eee PC sous Linux et propose quelques fonctionnalités supplémentaires. | eee

59 Mot inconnu : EeePC => [[https://forum.ubuntu-fr.org/viewtopic.php?id=427410|Concernant la gestion du ventilateur d'un EeePC 901]] | eeepc

63 Mot inconnu : Eee => Pour accélérer un peu le démarrage du Eee PC, vous pouvez activer le « Boot Booster » dans le BIOS. Cette option permet au BIOS de sauvegarder la configuration matérielle de l'ordinateur pour éviter de devoir la détecter à chaque démarrage, et rend le chargement du BIOS quasiment instantané. | eee
63 Mot inconnu : Boot => Pour accélérer un peu le démarrage du Eee PC, vous pouvez activer le « Boot Booster » dans le BIOS. Cette option permet au BIOS de sauvegarder la configuration matérielle de l'ordinateur pour éviter de devoir la détecter à chaque démarrage, et rend le chargement du BIOS quasiment instantané. | boot
70 Mot inconnu : BootBooster => La mise à jour du BIOS est une opération délicate, qui, si elle échoue, peut rendre votre ordinateur inutilisable. Ne le faites que si vous avez une bonne raison (comme corriger le problème de la détection de l'alimentation avec l'option « BootBooster »). | bootbooster

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  * [[https://help.ubuntu.com/community/EeePC|Documentation anglophone]] |   => suggestions : ['']
