
4 Mot inconnu : Code_Saturne => ====== Code_Saturne ====== | code_saturne

6 Mot inconnu : Code_Saturne => Code_Saturne est un logiciel généraliste de Mécanique des Fluides Numérique (CFD). C'est un logiciel libre sous licence GPL, développé par EDF. | code_saturne
6 Mot inconnu : CFD => Code_Saturne est un logiciel généraliste de Mécanique des Fluides Numérique (CFD). C'est un logiciel libre sous licence GPL, développé par EDF. | cfd

8 Mot inconnu : Code_Saturne => Code_Saturne permet de modéliser les écoulements incompressibles ou dilatables, avec ou sans turbulence ou transfert de chaleur. Des modules dédiés sont disponibles pour des physiques particulières comme le transfert de chaleur par rayonnement, la combustion (gaz, charbon pulvérisé, fioul lourd, ...), la magnéto-hydrodynamique, les écoulements compressibles, les écoulements polyphasiques (approche Euler/Lagrange avec couplage inverse), ou bien des extensions à des applications spécifiques (par exemple Mercure_Saturne pour les écoulements atmosphériques). | code_saturne
8 Une de ces ponctuations est superflue. => Code_Saturne permet de modéliser les écoulements incompressibles ou dilatables, avec ou sans turbulence ou transfert de chaleur. Des modules dédiés sont disponibles pour des physiques particulières comme le transfert de chaleur par rayonnement, la combustion (gaz, charbon pulvérisé, fioul lourd, ...), la magnéto-hydrodynamique, les écoulements compressibles, les écoulements polyphasiques (approche Euler/Lagrange avec couplage inverse), ou bien des extensions à des applications spécifiques (par exemple Mercure_Saturne pour les écoulements atmosphériques). | , . => suggestions : [',', '.']
8 Typographie : points de suspension. Utilisez le caractère dédié. => Code_Saturne permet de modéliser les écoulements incompressibles ou dilatables, avec ou sans turbulence ou transfert de chaleur. Des modules dédiés sont disponibles pour des physiques particulières comme le transfert de chaleur par rayonnement, la combustion (gaz, charbon pulvérisé, fioul lourd, ...), la magnéto-hydrodynamique, les écoulements compressibles, les écoulements polyphasiques (approche Euler/Lagrange avec couplage inverse), ou bien des extensions à des applications spécifiques (par exemple Mercure_Saturne pour les écoulements atmosphériques). | ... => suggestions : ['…']
8 Mot inconnu : Mercure_Saturne => Code_Saturne permet de modéliser les écoulements incompressibles ou dilatables, avec ou sans turbulence ou transfert de chaleur. Des modules dédiés sont disponibles pour des physiques particulières comme le transfert de chaleur par rayonnement, la combustion (gaz, charbon pulvérisé, fioul lourd, ...), la magnéto-hydrodynamique, les écoulements compressibles, les écoulements polyphasiques (approche Euler/Lagrange avec couplage inverse), ou bien des extensions à des applications spécifiques (par exemple Mercure_Saturne pour les écoulements atmosphériques). | mercure_saturne

22 Mot inconnu : FIXME => FIXME | fixme

26 Mot inconnu : FIXME => FIXME  | fixme
26 Espace(s) en fin de ligne à supprimer. => FIXME  |   => suggestions : ['']
