
5 Mot inconnu : Shred => ====== Shred : détruire efficacement un fichier ====== | shred

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Si vous êtes sous Nautilus ou Konqueror, il est juste envoyé à la corbeille (~/.Trash le plus souvent) |    => suggestions : ['']
9 Mot inconnu : Nautilus =>   * Si vous êtes sous Nautilus ou Konqueror, il est juste envoyé à la corbeille (~/.Trash le plus souvent) | nautilus
9 Mot inconnu : Konqueror =>   * Si vous êtes sous Nautilus ou Konqueror, il est juste envoyé à la corbeille (~/.Trash le plus souvent) | konqueror

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Si vous le supprimez sans passer par la corbeille (avec la commande ''rm'' par exemple), il n'est pas totalement supprimé : l'espace disque correspondant est juste marqué comme étant "libre", mais il existe des logiciels permettant de retrouver ces données. |    => suggestions : ['']
10 Guillemets typographiques ouvrants. =>   * Si vous le supprimez sans passer par la corbeille (avec la commande ''rm'' par exemple), il n'est pas totalement supprimé : l'espace disque correspondant est juste marqué comme étant "libre", mais il existe des logiciels permettant de retrouver ces données. | '' => suggestions : ['«\xa0', '“']
10 Mot inconnu : rm =>   * Si vous le supprimez sans passer par la corbeille (avec la commande ''rm'' par exemple), il n'est pas totalement supprimé : l'espace disque correspondant est juste marqué comme étant "libre", mais il existe des logiciels permettant de retrouver ces données. | rm
10 Guillemets typographiques fermants. =>   * Si vous le supprimez sans passer par la corbeille (avec la commande ''rm'' par exemple), il n'est pas totalement supprimé : l'espace disque correspondant est juste marqué comme étant "libre", mais il existe des logiciels permettant de retrouver ces données. | '' => suggestions : ['\xa0»', '”']
10 Guillemets typographiques ouvrants. =>   * Si vous le supprimez sans passer par la corbeille (avec la commande ''rm'' par exemple), il n'est pas totalement supprimé : l'espace disque correspondant est juste marqué comme étant "libre", mais il existe des logiciels permettant de retrouver ces données. | " => suggestions : ['«\xa0', '“']
10 Guillemets typographiques fermants. =>   * Si vous le supprimez sans passer par la corbeille (avec la commande ''rm'' par exemple), il n'est pas totalement supprimé : l'espace disque correspondant est juste marqué comme étant "libre", mais il existe des logiciels permettant de retrouver ces données. | " => suggestions : ['\xa0»', '”']

16 Mot inconnu : Shred => Shred fait partie du paquet [[apt>coreutils]]. Ce dernier contient les utilitaires de base essentiels à votre système et devrait donc y être déjà intégré sans autre manipulation. | shred
