
4 Mot inconnu : MPICH2 => ====== Installer MPICH2 avec Intel Fortran ====== | mpich2

6 Mot inconnu : mpich2 => Ce tutoriel vous explique comment installer la librairie mpich2 avec le compilateur Intel Fortran 12.1. | mpich2

14 Mot inconnu : CHEMIN_VERS => <note important>Il faut que le répertoire CHEMIN_VERS/intel/12.1/bin soit dans PATH et que ldconfig ait dans son cache CHEMIN_VERS/intel/12.1/lib  </note> | chemin_vers
14 Mot inconnu : intel => <note important>Il faut que le répertoire CHEMIN_VERS/intel/12.1/bin soit dans PATH et que ldconfig ait dans son cache CHEMIN_VERS/intel/12.1/lib  </note> | intel
14 Mot inconnu : PATH => <note important>Il faut que le répertoire CHEMIN_VERS/intel/12.1/bin soit dans PATH et que ldconfig ait dans son cache CHEMIN_VERS/intel/12.1/lib  </note> | path
14 Mot inconnu : ldconfig => <note important>Il faut que le répertoire CHEMIN_VERS/intel/12.1/bin soit dans PATH et que ldconfig ait dans son cache CHEMIN_VERS/intel/12.1/lib  </note> | ldconfig
14 Mot inconnu : CHEMIN_VERS => <note important>Il faut que le répertoire CHEMIN_VERS/intel/12.1/bin soit dans PATH et que ldconfig ait dans son cache CHEMIN_VERS/intel/12.1/lib  </note> | chemin_vers
14 Mot inconnu : intel => <note important>Il faut que le répertoire CHEMIN_VERS/intel/12.1/bin soit dans PATH et que ldconfig ait dans son cache CHEMIN_VERS/intel/12.1/lib  </note> | intel
14 Espace(s) surnuméraire(s) à supprimer. => <note important>Il faut que le répertoire CHEMIN_VERS/intel/12.1/bin soit dans PATH et que ldconfig ait dans son cache CHEMIN_VERS/intel/12.1/lib  </note> |    => suggestions : [' ']

18 Mot inconnu : mpich2 => ==== Préparer mpich2 ==== | mpich2

20 Mot inconnu : MPICH2 => Télécharger les sources sur [[https://www.mpich.org/|le site officiel MPICH2]] puis [[archivage|décompressez]] l'archive obtenue.(Version actuelle : 1.5) | mpich2

22 Forme interrogative ? Mettez un trait d’union. => Ouvrez un terminal et placez vous dans le dossier extrait. | placez vous => suggestions : ['placez-vous']

24 Mot inconnu : mpich => ==== Configurer & compiler mpich ==== | mpich

28 Mot inconnu : sh => en sh (ksh, bash, etc) | sh
28 Mot inconnu : ksh => en sh (ksh, bash, etc) | ksh
28 Mot inconnu : bash => en sh (ksh, bash, etc) | bash

