
17 Pléonasme. [[40:57]] => Il existe d'autres fichiers de langues, comme par exemple :  <|> comme par exemple => suggestions : commepar exemple
17 Espace(s) en fin de ligne à supprimer. [[59:60]] => Il existe d'autres fichiers de langues, comme par exemple :  <|>  

30 Espace(s) en fin de ligne à supprimer. [[80:81]] => Il faut donc numériser au moins à **300 voire 600 ppp** (Point Par Pouce ou DPI)  <|>  

37 Mot inconnu : Error [[0:5]] => Error opening data file /home/<repertoire personnel>/snap/tesseract/common/Error opening data file /home/<repertoire personnel>/snap/tesseract/common/eng.traineddata.traineddata <|> error
37 Mot inconnu : opening [[6:13]] => Error opening data file /home/<repertoire personnel>/snap/tesseract/common/Error opening data file /home/<repertoire personnel>/snap/tesseract/common/eng.traineddata.traineddata <|> opening
37 Mot inconnu : common [[68:74]] => Error opening data file /home/<repertoire personnel>/snap/tesseract/common/Error opening data file /home/<repertoire personnel>/snap/tesseract/common/eng.traineddata.traineddata <|> common
37 Mot inconnu : Error [[75:80]] => Error opening data file /home/<repertoire personnel>/snap/tesseract/common/Error opening data file /home/<repertoire personnel>/snap/tesseract/common/eng.traineddata.traineddata <|> error
37 Mot inconnu : opening [[81:88]] => Error opening data file /home/<repertoire personnel>/snap/tesseract/common/Error opening data file /home/<repertoire personnel>/snap/tesseract/common/eng.traineddata.traineddata <|> opening
37 Mot inconnu : common [[143:149]] => Error opening data file /home/<repertoire personnel>/snap/tesseract/common/Error opening data file /home/<repertoire personnel>/snap/tesseract/common/eng.traineddata.traineddata <|> common

38 Mot inconnu : Please [[0:6]] => Please make sure the TESSDATA_PREFIX environment variable is set to your "tessdata" directory. <|> please
38 Mot inconnu : make [[7:11]] => Please make sure the TESSDATA_PREFIX environment variable is set to your "tessdata" directory. <|> make
38 Mot inconnu : the [[17:20]] => Please make sure the TESSDATA_PREFIX environment variable is set to your "tessdata" directory. <|> the
38 Mot inconnu : TESSDATA_PREFIX [[21:36]] => Please make sure the TESSDATA_PREFIX environment variable is set to your "tessdata" directory. <|> tessdata_prefix
38 Mot inconnu : environment [[37:48]] => Please make sure the TESSDATA_PREFIX environment variable is set to your "tessdata" directory. <|> environment
38 Mot inconnu : is [[58:60]] => Please make sure the TESSDATA_PREFIX environment variable is set to your "tessdata" directory. <|> is
38 Mot inconnu : to [[65:67]] => Please make sure the TESSDATA_PREFIX environment variable is set to your "tessdata" directory. <|> to
38 Mot inconnu : your [[68:72]] => Please make sure the TESSDATA_PREFIX environment variable is set to your "tessdata" directory. <|> your
38 Guillemets typographiques ouvrants. [[73:74]] => Please make sure the TESSDATA_PREFIX environment variable is set to your "tessdata" directory. <|> " => suggestions : « “
38 Mot inconnu : tessdata [[74:82]] => Please make sure the TESSDATA_PREFIX environment variable is set to your "tessdata" directory. <|> tessdata
38 Guillemets typographiques fermants. [[82:83]] => Please make sure the TESSDATA_PREFIX environment variable is set to your "tessdata" directory. <|> " => suggestions :  »”
38 Mot inconnu : directory [[84:93]] => Please make sure the TESSDATA_PREFIX environment variable is set to your "tessdata" directory. <|> directory

39 Mot inconnu : Failed [[0:6]] => Failed loading language 'Error opening data file /home/<repertoire personnel>/snap/tesseract/common/eng.traineddata' <|> failed
39 Mot inconnu : loading [[7:14]] => Failed loading language 'Error opening data file /home/<repertoire personnel>/snap/tesseract/common/eng.traineddata' <|> loading
39 Mot inconnu : language [[15:23]] => Failed loading language 'Error opening data file /home/<repertoire personnel>/snap/tesseract/common/eng.traineddata' <|> language
39 Guillemets typographiques ouvrants. [[24:25]] => Failed loading language 'Error opening data file /home/<repertoire personnel>/snap/tesseract/common/eng.traineddata' <|> ' => suggestions : ‘“‹
39 Mot inconnu : Error [[25:30]] => Failed loading language 'Error opening data file /home/<repertoire personnel>/snap/tesseract/common/eng.traineddata' <|> error
39 Mot inconnu : opening [[31:38]] => Failed loading language 'Error opening data file /home/<repertoire personnel>/snap/tesseract/common/eng.traineddata' <|> opening
39 Mot inconnu : common [[93:99]] => Failed loading language 'Error opening data file /home/<repertoire personnel>/snap/tesseract/common/eng.traineddata' <|> common
39 Mot inconnu : eng [[100:103]] => Failed loading language 'Error opening data file /home/<repertoire personnel>/snap/tesseract/common/eng.traineddata' <|> eng
39 Mot inconnu : traineddata [[104:115]] => Failed loading language 'Error opening data file /home/<repertoire personnel>/snap/tesseract/common/eng.traineddata' <|> traineddata
39 Guillemets typographiques fermants. [[115:116]] => Failed loading language 'Error opening data file /home/<repertoire personnel>/snap/tesseract/common/eng.traineddata' <|> ' => suggestions : ’”›

40 Mot inconnu : couldn't [[10:18]] => Tesseract couldn't load any languages! <|> couldn't
40 Mot inconnu : load [[19:23]] => Tesseract couldn't load any languages! <|> load
40 Mot inconnu : any [[24:27]] => Tesseract couldn't load any languages! <|> any
40 Mot inconnu : languages [[28:37]] => Tesseract couldn't load any languages! <|> languages

41 Mot inconnu : Could [[0:5]] => Could not initialize tesseract. <|> could
41 Mot inconnu : not [[6:9]] => Could not initialize tesseract. <|> not
41 Mot inconnu : initialize [[10:20]] => Could not initialize tesseract. <|> initialize

43 Mot inconnu : tesseract-ocr [[23:36]] => Copier le répertoire « tesseract-ocr ». Depuis usr/share/  →  vers usr/local/share/ <|> tesseract-ocr
43 Mot inconnu : usr [[47:50]] => Copier le répertoire « tesseract-ocr ». Depuis usr/share/  →  vers usr/local/share/ <|> usr
43 Mot inconnu : share [[51:56]] => Copier le répertoire « tesseract-ocr ». Depuis usr/share/  →  vers usr/local/share/ <|> share
43 Mot inconnu : usr [[67:70]] => Copier le répertoire « tesseract-ocr ». Depuis usr/share/  →  vers usr/local/share/ <|> usr
43 Mot inconnu : share [[77:82]] => Copier le répertoire « tesseract-ocr ». Depuis usr/share/  →  vers usr/local/share/ <|> share

45 Accord de genre erroné : « emplacement » est masculin. [[36:41]] => Les fichiers de langues se trouve à cette emplacement : <|> cette => suggestions : cet

46 Mot inconnu : usr [[0:3]] => usr/local/share/tesseract-ocr/4.00/tessdata <|> usr
46 Mot inconnu : share [[10:15]] => usr/local/share/tesseract-ocr/4.00/tessdata <|> share
46 Mot inconnu : tesseract-ocr [[16:29]] => usr/local/share/tesseract-ocr/4.00/tessdata <|> tesseract-ocr
46 Mot inconnu : tessdata [[35:43]] => usr/local/share/tesseract-ocr/4.00/tessdata <|> tessdata

52 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[41:43]] => le fichier de sortie sera au format texte .txt … on perd donc la mise en page! <|>  . => suggestions : .. 
52 Mot inconnu : txt [[43:46]] => le fichier de sortie sera au format texte .txt … on perd donc la mise en page! <|> txt
52 Pas d’espace avant le signe “…”. [[46:48]] => le fichier de sortie sera au format texte .txt … on perd donc la mise en page! <|>  … => suggestions : …

64 Mot inconnu : fra [[127:130]] => Si vous avez installé les fichiers pour la reconnaissance de texte en d'autres langues, vous ajoutez à la fin, au lieu de **-l fra**: <|> fra

79 Mot inconnu : fra [[101:104]] => Vous pouvez aussi indiquer que les pages contiennent plusieurs langues différentes en indiquant **-l fra+epo** par exemple pour des images qui contiennent du texte en français et du texte en espéranto. <|> fra
79 Mot inconnu : epo [[105:108]] => Vous pouvez aussi indiquer que les pages contiennent plusieurs langues différentes en indiquant **-l fra+epo** par exemple pour des images qui contiennent du texte en français et du texte en espéranto. <|> epo
80 Mot inconnu : gscan2pdf [[30:39]] => ==== En mode graphique avec « gscan2pdf » ==== <|> gscan2pdf

91 Mot inconnu : YAGF [[28:32]] => ==== En mode graphique avec YAGF ==== <|> yagf

94 Mot inconnu : gimagereader [[28:40]] => ==== En mode graphique avec gimagereader ==== <|> gimagereader
116 Guillemets typographiques ouvrants. [[116:117]] => Pour faire de même avec les fichiers images JPG (comportant du texte à reconnaître bien sûr), vous pouvez remplacer "png" par "jpg" dans le script, pour créer un autre script nommé "Tesseract-jpg2lofficewriter". <|> " => suggestions : « “
116 Guillemets typographiques fermants. [[120:121]] => Pour faire de même avec les fichiers images JPG (comportant du texte à reconnaître bien sûr), vous pouvez remplacer "png" par "jpg" dans le script, pour créer un autre script nommé "Tesseract-jpg2lofficewriter". <|> " => suggestions :  »”
116 Guillemets typographiques ouvrants. [[126:127]] => Pour faire de même avec les fichiers images JPG (comportant du texte à reconnaître bien sûr), vous pouvez remplacer "png" par "jpg" dans le script, pour créer un autre script nommé "Tesseract-jpg2lofficewriter". <|> " => suggestions : « “
116 Guillemets typographiques fermants. [[130:131]] => Pour faire de même avec les fichiers images JPG (comportant du texte à reconnaître bien sûr), vous pouvez remplacer "png" par "jpg" dans le script, pour créer un autre script nommé "Tesseract-jpg2lofficewriter". <|> " => suggestions :  »”
116 Guillemets typographiques ouvrants. [[181:182]] => Pour faire de même avec les fichiers images JPG (comportant du texte à reconnaître bien sûr), vous pouvez remplacer "png" par "jpg" dans le script, pour créer un autre script nommé "Tesseract-jpg2lofficewriter". <|> " => suggestions : « “
116 Mot inconnu : Tesseract-jpg2lofficewriter [[182:209]] => Pour faire de même avec les fichiers images JPG (comportant du texte à reconnaître bien sûr), vous pouvez remplacer "png" par "jpg" dans le script, pour créer un autre script nommé "Tesseract-jpg2lofficewriter". <|> tesseract-jpg2lofficewriter
116 Guillemets typographiques fermants. [[209:210]] => Pour faire de même avec les fichiers images JPG (comportant du texte à reconnaître bien sûr), vous pouvez remplacer "png" par "jpg" dans le script, pour créer un autre script nommé "Tesseract-jpg2lofficewriter". <|> " => suggestions :  »”
133 Guillemets typographiques ouvrants. [[67:68]] => Même méthode pour les fichiers au format JPG, en utilisant l'outil "Tesseract-jpg2lofficewriter" créé précédemment. <|> " => suggestions : « “
133 Mot inconnu : Tesseract-jpg2lofficewriter [[68:95]] => Même méthode pour les fichiers au format JPG, en utilisant l'outil "Tesseract-jpg2lofficewriter" créé précédemment. <|> tesseract-jpg2lofficewriter
133 Guillemets typographiques fermants. [[95:96]] => Même méthode pour les fichiers au format JPG, en utilisant l'outil "Tesseract-jpg2lofficewriter" créé précédemment. <|> " => suggestions :  »”
