
3 Mot inconnu : rEFInd => ====== rEFInd ====== | refind

8 Mot inconnu : rEFInd => Autrement dit, pour un ordinateur disposant de plusieurs systèmes d'exploitation, rEFInd affiche un menu qui permet de choisir celui que l'on veut démarrer. | refind

10 Il manque un espace. => Les nombreuses spécificités des systèmes %%EFI%% rendent rEFInd puissant, personnalisable, et installable depuis de nombreux OS. Son gros avantage par rapport à grub est qu'il détecte automatiquement les systèmes d'exploitation au démarrage. Ainsi, il n'y a plus de problème de configuration. | efi => suggestions : [' EFI']
10 Mot inconnu : EFI => Les nombreuses spécificités des systèmes %%EFI%% rendent rEFInd puissant, personnalisable, et installable depuis de nombreux OS. Son gros avantage par rapport à grub est qu'il détecte automatiquement les systèmes d'exploitation au démarrage. Ainsi, il n'y a plus de problème de configuration. | efi
10 Mot inconnu : rEFInd => Les nombreuses spécificités des systèmes %%EFI%% rendent rEFInd puissant, personnalisable, et installable depuis de nombreux OS. Son gros avantage par rapport à grub est qu'il détecte automatiquement les systèmes d'exploitation au démarrage. Ainsi, il n'y a plus de problème de configuration. | refind
10 Mot inconnu : grub => Les nombreuses spécificités des systèmes %%EFI%% rendent rEFInd puissant, personnalisable, et installable depuis de nombreux OS. Son gros avantage par rapport à grub est qu'il détecte automatiquement les systèmes d'exploitation au démarrage. Ainsi, il n'y a plus de problème de configuration. | grub

12 Mot inconnu : rEFInd => <note warning>Ne pas oublier que rEFInd n'ira pas inspecter les partitions FAT32 qui n'ont pas de drapeau BOOT ou ESP</note> | refind
12 Mot inconnu : FAT32 => <note warning>Ne pas oublier que rEFInd n'ira pas inspecter les partitions FAT32 qui n'ont pas de drapeau BOOT ou ESP</note> | fat32
12 Mot inconnu : BOOT => <note warning>Ne pas oublier que rEFInd n'ira pas inspecter les partitions FAT32 qui n'ont pas de drapeau BOOT ou ESP</note> | boot
12 Mot inconnu : ESP => <note warning>Ne pas oublier que rEFInd n'ira pas inspecter les partitions FAT32 qui n'ont pas de drapeau BOOT ou ESP</note> | esp

14 Mot inconnu : rEFInd => <note tip> **Une autre façon de présenter rEFInd provenant de [[https://launchpad.net/ubuntu/groovy/amd64/refind/0.12.0-1|refind 0.12.0-1 (amd64 binary) in ubuntu groovy]]** | refind
14 Mot inconnu : refind => <note tip> **Une autre façon de présenter rEFInd provenant de [[https://launchpad.net/ubuntu/groovy/amd64/refind/0.12.0-1|refind 0.12.0-1 (amd64 binary) in ubuntu groovy]]** | refind
14 Mot inconnu : amd64 => <note tip> **Une autre façon de présenter rEFInd provenant de [[https://launchpad.net/ubuntu/groovy/amd64/refind/0.12.0-1|refind 0.12.0-1 (amd64 binary) in ubuntu groovy]]** | amd64
14 Mot inconnu : binary => <note tip> **Une autre façon de présenter rEFInd provenant de [[https://launchpad.net/ubuntu/groovy/amd64/refind/0.12.0-1|refind 0.12.0-1 (amd64 binary) in ubuntu groovy]]** | binary
14 Mot inconnu : groovy => <note tip> **Une autre façon de présenter rEFInd provenant de [[https://launchpad.net/ubuntu/groovy/amd64/refind/0.12.0-1|refind 0.12.0-1 (amd64 binary) in ubuntu groovy]]** | groovy

16 Mot inconnu : EFI => Un gestionnaire de démarrage graphique pour les ordinateurs EFI et UEFI, tels que tous les Mac Intel et les PC récents (la plupart de 2011 et plus récents). rEFInd présente un menu de démarrage affichant tous les chargeurs de démarrage EFI sur les partitions accessibles par EFI, et éventuellement les partitions de démarrage BIOS sur les Mac et les entrées de démarrage du BIOS sur les PC UEFI avec CSM. Les systèmes d'exploitation compatibles EFI, y compris Linux, fournissent des chargeurs de démarrage que rEFInd peut détecter et lancer. rEFInd peut lancer des chargeurs de démarrage Linux EFI tels que les noyaux ELILO, GRUB Legacy, GRUB 2 et 3.3.0 et versions ultérieures avec prise en charge de stub EFI. Les pilotes de système de fichiers EFI pour ext2 / 3 / 4fs, ReiserFS, Btrfs, NTFS, HFS + et ISO-9660 permettent également à rEFInd de lire les chargeurs de démarrage à partir de ces systèmes de fichiers. La capacité de rEFInd à détecter les chargeurs de démarrage au moment de l'exécution le rend très facile à utiliser, en particulier lorsqu'il est associé à des noyaux Linux prenant en charge les stub EFI. | efi
16 Mot inconnu : UEFI => Un gestionnaire de démarrage graphique pour les ordinateurs EFI et UEFI, tels que tous les Mac Intel et les PC récents (la plupart de 2011 et plus récents). rEFInd présente un menu de démarrage affichant tous les chargeurs de démarrage EFI sur les partitions accessibles par EFI, et éventuellement les partitions de démarrage BIOS sur les Mac et les entrées de démarrage du BIOS sur les PC UEFI avec CSM. Les systèmes d'exploitation compatibles EFI, y compris Linux, fournissent des chargeurs de démarrage que rEFInd peut détecter et lancer. rEFInd peut lancer des chargeurs de démarrage Linux EFI tels que les noyaux ELILO, GRUB Legacy, GRUB 2 et 3.3.0 et versions ultérieures avec prise en charge de stub EFI. Les pilotes de système de fichiers EFI pour ext2 / 3 / 4fs, ReiserFS, Btrfs, NTFS, HFS + et ISO-9660 permettent également à rEFInd de lire les chargeurs de démarrage à partir de ces systèmes de fichiers. La capacité de rEFInd à détecter les chargeurs de démarrage au moment de l'exécution le rend très facile à utiliser, en particulier lorsqu'il est associé à des noyaux Linux prenant en charge les stub EFI. | uefi
16 Mot inconnu : rEFInd => Un gestionnaire de démarrage graphique pour les ordinateurs EFI et UEFI, tels que tous les Mac Intel et les PC récents (la plupart de 2011 et plus récents). rEFInd présente un menu de démarrage affichant tous les chargeurs de démarrage EFI sur les partitions accessibles par EFI, et éventuellement les partitions de démarrage BIOS sur les Mac et les entrées de démarrage du BIOS sur les PC UEFI avec CSM. Les systèmes d'exploitation compatibles EFI, y compris Linux, fournissent des chargeurs de démarrage que rEFInd peut détecter et lancer. rEFInd peut lancer des chargeurs de démarrage Linux EFI tels que les noyaux ELILO, GRUB Legacy, GRUB 2 et 3.3.0 et versions ultérieures avec prise en charge de stub EFI. Les pilotes de système de fichiers EFI pour ext2 / 3 / 4fs, ReiserFS, Btrfs, NTFS, HFS + et ISO-9660 permettent également à rEFInd de lire les chargeurs de démarrage à partir de ces systèmes de fichiers. La capacité de rEFInd à détecter les chargeurs de démarrage au moment de l'exécution le rend très facile à utiliser, en particulier lorsqu'il est associé à des noyaux Linux prenant en charge les stub EFI. | refind
