
4 Mot inconnu : gnome-dictionary => ====== Dictionnaire (gnome-dictionary) ====== | gnome-dictionary
11 Mot inconnu : dictd => Une connexion internet est donc requise, sauf si le serveur de dictionnaire : dictd et quelques autres paquets: dic-freedic--fra-eng etc... sont également installés. Par ce biais, il est possible d'utiliser facilement le dico en local. | dictd
11 Mot inconnu : dic-freedic => Une connexion internet est donc requise, sauf si le serveur de dictionnaire : dictd et quelques autres paquets: dic-freedic--fra-eng etc... sont également installés. Par ce biais, il est possible d'utiliser facilement le dico en local. | dic-freedic
11 Mot inconnu : fra-eng => Une connexion internet est donc requise, sauf si le serveur de dictionnaire : dictd et quelques autres paquets: dic-freedic--fra-eng etc... sont également installés. Par ce biais, il est possible d'utiliser facilement le dico en local. | fra-eng
11 Avant « etc. », il faut mettre une virgule. => Une connexion internet est donc requise, sauf si le serveur de dictionnaire : dictd et quelques autres paquets: dic-freedic--fra-eng etc... sont également installés. Par ce biais, il est possible d'utiliser facilement le dico en local. |  etc. => suggestions : [', etc.']
11 Un seul point après « etc. » => Une connexion internet est donc requise, sauf si le serveur de dictionnaire : dictd et quelques autres paquets: dic-freedic--fra-eng etc... sont également installés. Par ce biais, il est possible d'utiliser facilement le dico en local. | etc... => suggestions : ['etc.']

12 Guillemets typographiques ouvrants. => (par exemple, en configurant graphiquement par défaut dans "gnome-dictionary"  : source = localhost, nom d'hôte = localhost, port = 2628  --- ou --- en utilisant la ligne de commande "dict" ) | " => suggestions : ['«\xa0', '“']
12 Mot inconnu : gnome-dictionary => (par exemple, en configurant graphiquement par défaut dans "gnome-dictionary"  : source = localhost, nom d'hôte = localhost, port = 2628  --- ou --- en utilisant la ligne de commande "dict" ) | gnome-dictionary
12 Guillemets typographiques fermants. => (par exemple, en configurant graphiquement par défaut dans "gnome-dictionary"  : source = localhost, nom d'hôte = localhost, port = 2628  --- ou --- en utilisant la ligne de commande "dict" ) | " => suggestions : ['\xa0»', '”']
12 Mot inconnu : localhost => (par exemple, en configurant graphiquement par défaut dans "gnome-dictionary"  : source = localhost, nom d'hôte = localhost, port = 2628  --- ou --- en utilisant la ligne de commande "dict" ) | localhost
12 Mot inconnu : localhost => (par exemple, en configurant graphiquement par défaut dans "gnome-dictionary"  : source = localhost, nom d'hôte = localhost, port = 2628  --- ou --- en utilisant la ligne de commande "dict" ) | localhost
12 Espace(s) surnuméraire(s) à supprimer. => (par exemple, en configurant graphiquement par défaut dans "gnome-dictionary"  : source = localhost, nom d'hôte = localhost, port = 2628  --- ou --- en utilisant la ligne de commande "dict" ) |    => suggestions : [' ']
12 Guillemets typographiques ouvrants. => (par exemple, en configurant graphiquement par défaut dans "gnome-dictionary"  : source = localhost, nom d'hôte = localhost, port = 2628  --- ou --- en utilisant la ligne de commande "dict" ) | " => suggestions : ['«\xa0', '“']
12 Mot inconnu : dict => (par exemple, en configurant graphiquement par défaut dans "gnome-dictionary"  : source = localhost, nom d'hôte = localhost, port = 2628  --- ou --- en utilisant la ligne de commande "dict" ) | dict
12 Guillemets typographiques fermants. => (par exemple, en configurant graphiquement par défaut dans "gnome-dictionary"  : source = localhost, nom d'hôte = localhost, port = 2628  --- ou --- en utilisant la ligne de commande "dict" ) | " => suggestions : ['\xa0»', '”']
12 Pas d’espace avant ce signe. => (par exemple, en configurant graphiquement par défaut dans "gnome-dictionary"  : source = localhost, nom d'hôte = localhost, port = 2628  --- ou --- en utilisant la ligne de commande "dict" ) |  ) => suggestions : [')']

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']
