
4 Mot inconnu : ARChon => ======ARChon : Utiliser des application Android sous Ubuntu====== | archon
4 Accord de nombre erroné : « application » devrait être au pluriel. => ======ARChon : Utiliser des application Android sous Ubuntu====== | application => suggestions : ['applications']

5 Mot inconnu : ARChon => ARChon est l'utilisation d'une extension pour chrome 64bit qui permet de lancer des logiciels Android sous Chrome. Elle est basée sur un projet de google, ARC, qu'un développeur a repris et fait tourner les app dans Google chrome. | archon
5 Mot inconnu : app => ARChon est l'utilisation d'une extension pour chrome 64bit qui permet de lancer des logiciels Android sous Chrome. Elle est basée sur un projet de google, ARC, qu'un développeur a repris et fait tourner les app dans Google chrome. | app

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Installer l'extension Chrome ARChon |    => suggestions : ['']
10 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Installer l'extension Chrome ARChon |  -  => suggestions : [' – ', ' — ', ' − ']
10 Mot inconnu : ARChon =>   - Installer l'extension Chrome ARChon | archon

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Générer une extension Chrome à partir d'un application Android |    => suggestions : ['']
11 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Générer une extension Chrome à partir d'un application Android |  -  => suggestions : [' – ', ' — ', ' − ']
11 Accord de genre erroné : « application » est féminin. =>   - Générer une extension Chrome à partir d'un application Android | un => suggestions : ['une']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Installer l'extension Chrome de l'application Android |    => suggestions : ['']
12 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Installer l'extension Chrome de l'application Android |  -  => suggestions : [' – ', ' — ', ' − ']

15 Mot inconnu : ARCon => ===== Installer l'extension Chrome ARCon ===== | arcon

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - vous devriez trouver l'extension sur le web en ZIP à telecharger |    => suggestions : ['']
16 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - vous devriez trouver l'extension sur le web en ZIP à telecharger |  -  => suggestions : [' – ', ' — ', ' − ']
16 Mot inconnu : telecharger =>   - vous devriez trouver l'extension sur le web en ZIP à telecharger | telecharger

17 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Cochez dans chrome "mode développeurs". |    => suggestions : ['']
17 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Cochez dans chrome "mode développeurs". |  -  => suggestions : [' – ', ' — ', ' − ']
17 Guillemets typographiques ouvrants. =>   - Cochez dans chrome "mode développeurs". | " => suggestions : ['«\xa0', '“']
17 Guillemets typographiques fermants. =>   - Cochez dans chrome "mode développeurs". | " => suggestions : ['\xa0»', '”']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Dans les paramètres "charger l'extension non empaqueté" |    => suggestions : ['']
18 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Dans les paramètres "charger l'extension non empaqueté" |  -  => suggestions : [' – ', ' — ', ' − ']
18 Guillemets typographiques ouvrants. =>   - Dans les paramètres "charger l'extension non empaqueté" | " => suggestions : ['«\xa0', '“']
18 Accord de genre erroné entre “extension” et “empaqueté”. =>   - Dans les paramètres "charger l'extension non empaqueté" | empaqueté => suggestions : ['empaquetée']
