
4 Mot inconnu : Chroot => ====== Chroot : changement de dossier racine ====== | chroot

6 Mot inconnu : chroot => La commande **chroot** permet de changer le répertoire racine vers un nouvel emplacement. | chroot

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * prison : empêche un utilisateur ou un programme de remonter dans l'arborescence et le cantonne à une nouvelle arborescence restreinte. |    => suggestions : ['']

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * changement d'environnement : permet de basculer vers un autre système linux (autre architecture, autre distribution, autre version). Nous détaillerons ici cette technique. |    => suggestions : ['']
10 Mot inconnu : linux =>   * changement d'environnement : permet de basculer vers un autre système linux (autre architecture, autre distribution, autre version). Nous détaillerons ici cette technique. | linux

22 Mot inconnu : chroot => Ici le chroot sera utilisé après le démarrage sur un système sain pour se retrouver dans l'environnement endommagé et faire des modifications directement dans ce dernier environnement. | chroot

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Démarrez sur un système sain. Par exemple : un live CD |    => suggestions : ['']
25 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) =>   - Démarrez sur un système sain. Par exemple : un live CD |  -  => suggestions : [' – ', ' — ', ' − ']

27 Mot inconnu : sudo => sudo mount </dev/partition> /media/system</code> par exemple, si sda2 est la partition racine, la commande sera : "sudo mount /dev/sda2 /media/system" | sudo
27 Mot inconnu : mount => sudo mount </dev/partition> /media/system</code> par exemple, si sda2 est la partition racine, la commande sera : "sudo mount /dev/sda2 /media/system" | mount
27 Mot inconnu : system => sudo mount </dev/partition> /media/system</code> par exemple, si sda2 est la partition racine, la commande sera : "sudo mount /dev/sda2 /media/system" | system
27 Mot inconnu : sda2 => sudo mount </dev/partition> /media/system</code> par exemple, si sda2 est la partition racine, la commande sera : "sudo mount /dev/sda2 /media/system" | sda2
27 Guillemets typographiques ouvrants. => sudo mount </dev/partition> /media/system</code> par exemple, si sda2 est la partition racine, la commande sera : "sudo mount /dev/sda2 /media/system" | " => suggestions : ['«\xa0', '“']
27 Mot inconnu : sudo => sudo mount </dev/partition> /media/system</code> par exemple, si sda2 est la partition racine, la commande sera : "sudo mount /dev/sda2 /media/system" | sudo
27 Mot inconnu : mount => sudo mount </dev/partition> /media/system</code> par exemple, si sda2 est la partition racine, la commande sera : "sudo mount /dev/sda2 /media/system" | mount
27 Mot inconnu : system => sudo mount </dev/partition> /media/system</code> par exemple, si sda2 est la partition racine, la commande sera : "sudo mount /dev/sda2 /media/system" | system
27 Guillemets typographiques fermants. => sudo mount </dev/partition> /media/system</code> par exemple, si sda2 est la partition racine, la commande sera : "sudo mount /dev/sda2 /media/system" | " => suggestions : ['\xa0»', '”']

29 Mot inconnu : sudo => sudo mount -t proc /proc /media/system/proc</code> | sudo
29 Mot inconnu : mount => sudo mount -t proc /proc /media/system/proc</code> | mount
29 Mot inconnu : proc => sudo mount -t proc /proc /media/system/proc</code> | proc
29 Mot inconnu : proc => sudo mount -t proc /proc /media/system/proc</code> | proc
29 Mot inconnu : system => sudo mount -t proc /proc /media/system/proc</code> | system
29 Mot inconnu : proc => sudo mount -t proc /proc /media/system/proc</code> | proc

