
5 Mot inconnu : QuickSynergy => ====== QuickSynergy ====== | quicksynergy

7 Mot inconnu : QuickSynergy => **QuickSynergy** est un utilitaire pour configurer [[Synergy]] graphiquement. | quicksynergy
7 Mot inconnu : Synergy => **QuickSynergy** est un utilitaire pour configurer [[Synergy]] graphiquement. | synergy

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée ; |    => suggestions : ['']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avoir installé **[[Synergy]]**. |    => suggestions : ['']
14 Mot inconnu : Synergy =>   * Avoir installé **[[Synergy]]**. | synergy

23 Mot inconnu : QuickSynergy => L'application est disponible dans //Applications → Accessoires → QuickSynergy//. | quicksynergy
24 Typographie des composés chimiques. => Vous pouvez aussi utiliser la combinaison de touches « Alt+F2 » puis saisir « quicksynergy », qui est le programme QuickSynergy. | f2 => suggestions : ['F₂']
24 Mot inconnu : F2 => Vous pouvez aussi utiliser la combinaison de touches « Alt+F2 » puis saisir « quicksynergy », qui est le programme QuickSynergy. | f2
24 Mot inconnu : quicksynergy => Vous pouvez aussi utiliser la combinaison de touches « Alt+F2 » puis saisir « quicksynergy », qui est le programme QuickSynergy. | quicksynergy
24 Mot inconnu : QuickSynergy => Vous pouvez aussi utiliser la combinaison de touches « Alt+F2 » puis saisir « quicksynergy », qui est le programme QuickSynergy. | quicksynergy
28 Mot inconnu : Execute => Positionnez-vous sur l'onglet désiré et appuyez sur le bouton « Execute » afin de lancer le partage (mode serveur) ou l'utilisation (mode client). | execute
38 Mot inconnu : Server => Sur le client, cela se passe dans l'onglet « Use » : dans « Server », saisissez l'IP ou le nom d'hôte du maitre ; dans « Screen name », saisissez le nom ou l'adresse IP du client. | server
38 Mot inconnu : Screen => Sur le client, cela se passe dans l'onglet « Use » : dans « Server », saisissez l'IP ou le nom d'hôte du maitre ; dans « Screen name », saisissez le nom ou l'adresse IP du client. | screen
38 Mot inconnu : name => Sur le client, cela se passe dans l'onglet « Use » : dans « Server », saisissez l'IP ou le nom d'hôte du maitre ; dans « Screen name », saisissez le nom ou l'adresse IP du client. | name
