
5 Mot inconnu : Gitso => ====== Visionneur de bureaux distants Gitso ====== | gitso

10 Mot inconnu : Gitso => Contrairement à la plupart des autres solutions, Gitso utilise le reverse VNC, c'est à dire que le serveur est la machine de la personne qui aide et le client - qui va se connecter au serveur - est la machine de la personne aidée. | gitso
10 Mot inconnu : VNC => Contrairement à la plupart des autres solutions, Gitso utilise le reverse VNC, c'est à dire que le serveur est la machine de la personne qui aide et le client - qui va se connecter au serveur - est la machine de la personne aidée. | vnc
10 Il manque les traits d’union. => Contrairement à la plupart des autres solutions, Gitso utilise le reverse VNC, c'est à dire que le serveur est la machine de la personne qui aide et le client - qui va se connecter au serveur - est la machine de la personne aidée. | c'est à dire => suggestions : ['c’est-à-dire']
10 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Contrairement à la plupart des autres solutions, Gitso utilise le reverse VNC, c'est à dire que le serveur est la machine de la personne qui aide et le client - qui va se connecter au serveur - est la machine de la personne aidée. |  -  => suggestions : [' – ', ' — ', ' − ']
10 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => Contrairement à la plupart des autres solutions, Gitso utilise le reverse VNC, c'est à dire que le serveur est la machine de la personne qui aide et le client - qui va se connecter au serveur - est la machine de la personne aidée. |  -  => suggestions : [' – ', ' — ', ' − ']

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

33 Mot inconnu : Give => Le serveur cochera la case //Give Support// (venir en aide) puis //Start// (commencer) pour lancer le serveur qui va écouter sur le port 5500. | give
33 Mot inconnu : Start => Le serveur cochera la case //Give Support// (venir en aide) puis //Start// (commencer) pour lancer le serveur qui va écouter sur le port 5500. | start

37 Guillemets typographiques ouvrants. => Il lui faut ensuite **communiquer son adresse IP à l'utilisateur côté "client"** (par téléphone, mail, irc, fax, signaux de fumée...). | " => suggestions : ['«\xa0', '“']
37 Guillemets typographiques fermants. => Il lui faut ensuite **communiquer son adresse IP à l'utilisateur côté "client"** (par téléphone, mail, irc, fax, signaux de fumée...). | " => suggestions : ['\xa0»', '”']
37 Mot inconnu : irc => Il lui faut ensuite **communiquer son adresse IP à l'utilisateur côté "client"** (par téléphone, mail, irc, fax, signaux de fumée...). | irc
