
5 Mot inconnu : WebM => ====== Les fichiers vidéos WebM ======= | webm

8 Mot inconnu : WebM => ===== Qu'est-ce que le WebM ? ===== | webm

10 Mot inconnu : WebM => Le WebM est un format **multimédia ouvert** principalement destiné à être utilisé sur internet, mais une utilisation en local est tout à fait possible. | webm

11 Mot inconnu : Matroska => La base de ce conteneur est un dérivé de Matroska, il utilise un flux vidéo encodé en **VP8** et un ou plusieurs flux audios encodés en **Vorbis**, il peut également contenir des sous-titres.  | matroska
11 Mot inconnu : VP8 => La base de ce conteneur est un dérivé de Matroska, il utilise un flux vidéo encodé en **VP8** et un ou plusieurs flux audios encodés en **Vorbis**, il peut également contenir des sous-titres.  | vp8
11 Espace(s) en fin de ligne à supprimer. => La base de ce conteneur est un dérivé de Matroska, il utilise un flux vidéo encodé en **VP8** et un ou plusieurs flux audios encodés en **Vorbis**, il peut également contenir des sous-titres.  |   => suggestions : ['']

13 Mot inconnu : VP9 => Seuls ces codecs vidéo et audio sont supportés, et ceci pour garantir le support du format sur les navigateurs et les lecteurs vidéos. (Le flux vidéo peut aussi être encodé en **VP9**, successeur de **VP8**, mais ce codec n'est pas activé par défaut sur tous les navigateurs). | vp9
13 Mot inconnu : VP8 => Seuls ces codecs vidéo et audio sont supportés, et ceci pour garantir le support du format sur les navigateurs et les lecteurs vidéos. (Le flux vidéo peut aussi être encodé en **VP9**, successeur de **VP8**, mais ce codec n'est pas activé par défaut sur tous les navigateurs). | vp8

15 Mot inconnu : WebM => <note tip>Le WebM n'est pas un format de compression ou un codec : une vidéo ne peut pas //être compressée en WebM//. On confond souvent la boîte (le conteneur, l'extension) avec son contenu (qui est de la vidéo ou de l'audio) géré par un codec.</note> | webm
15 Mot inconnu : WebM => <note tip>Le WebM n'est pas un format de compression ou un codec : une vidéo ne peut pas //être compressée en WebM//. On confond souvent la boîte (le conteneur, l'extension) avec son contenu (qui est de la vidéo ou de l'audio) géré par un codec.</note> | webm

18 Mot inconnu : WebM => ===== Lecture des fichiers WebM ===== | webm

27 Espace(s) en fin de ligne à supprimer. => Depuis 2011 certains fabricants de composants électroniques permettent un décodage matériel de ce format.  |   => suggestions : ['']

31 Mot inconnu : WebM => ===== Création de fichiers WebM ===== | webm

37 Mot inconnu : Avconv => ===Avec Avconv=== | avconv

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour convertir vers une qualité correcte :  |    => suggestions : ['']
39 Espace(s) en fin de ligne à supprimer. =>   * Pour convertir vers une qualité correcte :  |   => suggestions : ['']

41 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour convertir le contenu d'un dossier avec des mp4 vers du WebM : |    => suggestions : ['']
41 Mot inconnu : mp4 =>   * Pour convertir le contenu d'un dossier avec des mp4 vers du WebM : | mp4
41 Mot inconnu : WebM =>   * Pour convertir le contenu d'un dossier avec des mp4 vers du WebM : | webm

44 Mot inconnu : FFMPEG => === Avec FFMPEG === | ffmpeg

47 Mot inconnu : ffmpeg => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> | ffmpeg
47 Il manque un espace à côté du tiret. => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> |  - => suggestions : [' – ', ' — ']
47 Guillemets typographiques ouvrants. => ffmpeg -i "fichier source" -codec:v libvpx -quality good -cpu-used 0 -b:v 500k -r 25 -qmin 10 -qmax 42 -maxrate 800k -bufsize 1600k -threads 4 -vf scale=-1:360 -codec:a libvorbis -b:a 128k -pass 2 -f webm sortie.webm</code> | " => suggestions : ['«\xa0', '“']
