3 Mot inconnu : Filesystem [[11:21]] => ====== SSH Filesystem ====== <|> filesystem
5 Mot inconnu : ROX [[116:119]] => L'avantage est de manipuler les données distantes avec n'importe quel gestionnaire de fichier (Nautilus, Konqueror, ROX, ou même la ligne de commande), ce qui est bien plus pratique que la commande scp couplée avec ssh. <|> rox
5 Mot inconnu : scp [[198:201]] => L'avantage est de manipuler les données distantes avec n'importe quel gestionnaire de fichier (Nautilus, Konqueror, ROX, ou même la ligne de commande), ce qui est bien plus pratique que la commande scp couplée avec ssh. <|> scp

6 Mot inconnu : SshFS [[0:5]] => SshFS apporte ce qui pouvait manquer à certains utilisateurs Windows qui utilisaient WinSCP. <|> sshfs
6 Mot inconnu : WinSCP [[85:91]] => SshFS apporte ce qui pouvait manquer à certains utilisateurs Windows qui utilisaient WinSCP. <|> winscp

16 Mot inconnu : sshfs [[56:61]] => Il faut veiller à ce que les utilisateurs potentiels de sshfs fassent bien partie du groupe fuse. <|> sshfs
18 Typographie : points de suspension. Utilisez le caractère dédié. [[118:121]] => Il est probable, surtout si vous utilisez l'authentification ssh par certificat, que vous deviez redémarrer la machine... <|> ... => suggestions : …

20 Mot inconnu : failed [[27:33]] => Vous obtiendrez l'erreur //failed to open /dev/fuse: Permission denied// si les points précédents ne sont pas vérifiés. <|> failed
20 Mot inconnu : to [[34:36]] => Vous obtiendrez l'erreur //failed to open /dev/fuse: Permission denied// si les points précédents ne sont pas vérifiés. <|> to
20 Mot inconnu : denied [[64:70]] => Vous obtiendrez l'erreur //failed to open /dev/fuse: Permission denied// si les points précédents ne sont pas vérifiés. <|> denied

22 Mot inconnu : SshFS [[28:33]] => Voilà, vous pouvez utiliser SshFS ! <|> sshfs
29 Espace(s) en fin de ligne à supprimer. [[22:25]] => Ou plus généralement :    <|>    
36 Mot inconnu : mount [[45:50]] => Si vous avez l'erreur suivante : **fuse: bad mount point `tmp': Transport endpoint is not connected**, le point de montage st probablement déjà utilisé. <|> mount
36 Mot inconnu : tmp [[58:61]] => Si vous avez l'erreur suivante : **fuse: bad mount point `tmp': Transport endpoint is not connected**, le point de montage st probablement déjà utilisé. <|> tmp
