
14 Mot inconnu : JLOG => ====== JLOG ====== | jlog

16 Mot inconnu : Jlog => Jlog est un journal de trafic informatisé pour radioamateur sous Linux. | jlog

18 Le verbe devrait être à l’infinitif. => Disposant de multiple fonctions automatiques comme la recherche d'indicatif sur la base de donnés QRZ.com. | donnés => suggestions : ['donner']
18 Mot inconnu : QRZ => Disposant de multiple fonctions automatiques comme la recherche d'indicatif sur la base de donnés QRZ.com. | qrz

19 Accord erroné : “recherches” et “rapide” ne sont pas accordés. Mettez au pluriel. => Les recherches dans le log sont assez rapide. ( inférieur à une seconde d’après le concepteur ) | rapide => suggestions : ['rapides']
19 Pas d’espace après ce signe. => Les recherches dans le log sont assez rapide. ( inférieur à une seconde d’après le concepteur ) | (  => suggestions : ['(']
19 Pas d’espace avant ce signe. => Les recherches dans le log sont assez rapide. ( inférieur à une seconde d’après le concepteur ) |  ) => suggestions : [')']

20 Mot inconnu : QSL => Vous pourrez gérer vos QSL, eQSL et sans oublier le fameux LOTW ! (Log Book Of The World), consulter le DX cluster et y envoyer vos spots. | qsl
20 Mot inconnu : eQSL => Vous pourrez gérer vos QSL, eQSL et sans oublier le fameux LOTW ! (Log Book Of The World), consulter le DX cluster et y envoyer vos spots. | eqsl
20 Mot inconnu : LOTW => Vous pourrez gérer vos QSL, eQSL et sans oublier le fameux LOTW ! (Log Book Of The World), consulter le DX cluster et y envoyer vos spots. | lotw
20 Mot inconnu : Book => Vous pourrez gérer vos QSL, eQSL et sans oublier le fameux LOTW ! (Log Book Of The World), consulter le DX cluster et y envoyer vos spots. | book
20 Mot inconnu : Of => Vous pourrez gérer vos QSL, eQSL et sans oublier le fameux LOTW ! (Log Book Of The World), consulter le DX cluster et y envoyer vos spots. | of
20 Mot inconnu : The => Vous pourrez gérer vos QSL, eQSL et sans oublier le fameux LOTW ! (Log Book Of The World), consulter le DX cluster et y envoyer vos spots. | the
20 Mot inconnu : World => Vous pourrez gérer vos QSL, eQSL et sans oublier le fameux LOTW ! (Log Book Of The World), consulter le DX cluster et y envoyer vos spots. | world
