
4 Mot inconnu : chipset => ====== Faire fonctionner sa carte-son chipset UAC3553B ====== | chipset
4 Mot inconnu : UAC3553B => ====== Faire fonctionner sa carte-son chipset UAC3553B ====== | uac3553b

6 Mot inconnu : chipset => Cette page a pour but de rassembler les informations pour faire marcher le chipset UAC3553B, généralement dans les chaînes hi-fi philips MC-M570. | chipset
6 Mot inconnu : UAC3553B => Cette page a pour but de rassembler les informations pour faire marcher le chipset UAC3553B, généralement dans les chaînes hi-fi philips MC-M570. | uac3553b
6 Mot inconnu : philips => Cette page a pour but de rassembler les informations pour faire marcher le chipset UAC3553B, généralement dans les chaînes hi-fi philips MC-M570. | philips
6 Mot inconnu : MC-M570 => Cette page a pour but de rassembler les informations pour faire marcher le chipset UAC3553B, généralement dans les chaînes hi-fi philips MC-M570. | mc-m570

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   lsusb |    => suggestions : ['']
14 Mot inconnu : lsusb =>   lsusb | lsusb

15 Mot inconnu : quelqeu => ce qui devrait renvoyer quelqeu chose comme | quelqeu

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Bus 003 Device 008: ID 0471:0110 Philips  |    => suggestions : ['']
16 Mot inconnu : Device =>   Bus 003 Device 008: ID 0471:0110 Philips  | device
16 Mot inconnu : Philips =>   Bus 003 Device 008: ID 0471:0110 Philips  | philips
16 Espace(s) en fin de ligne à supprimer. =>   Bus 003 Device 008: ID 0471:0110 Philips  |   => suggestions : ['']

17 Guillemets typographiques ouvrants. => (la commande ''lsusb | grep -i audio'' ne marche donc pas nécessairement pour voir si cette carte est détectée) | '' => suggestions : ['«\xa0', '“']
17 Mot inconnu : lsusb => (la commande ''lsusb | grep -i audio'' ne marche donc pas nécessairement pour voir si cette carte est détectée) | lsusb
17 Mot inconnu : grep => (la commande ''lsusb | grep -i audio'' ne marche donc pas nécessairement pour voir si cette carte est détectée) | grep
17 Il manque un espace à côté du tiret. => (la commande ''lsusb | grep -i audio'' ne marche donc pas nécessairement pour voir si cette carte est détectée) |  - => suggestions : [' – ', ' — ']
17 Guillemets typographiques fermants. => (la commande ''lsusb | grep -i audio'' ne marche donc pas nécessairement pour voir si cette carte est détectée) | '' => suggestions : ['\xa0»', '”']

25 Espace(s) en fin de ligne à supprimer. => Normalement, la configuration matérielle est finie ici, et  |   => suggestions : ['']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   asoundconf list |    => suggestions : ['']
26 Mot inconnu : asoundconf =>   asoundconf list | asoundconf
26 Mot inconnu : list =>   asoundconf list | list

27 Mot inconnu : revoyer => doit revoyer  | revoyer
27 Espace(s) en fin de ligne à supprimer. => doit revoyer  |   => suggestions : ['']

28 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   Names of available sound cards: |    => suggestions : ['']
28 Mot inconnu : Names =>   Names of available sound cards: | names
28 Mot inconnu : of =>   Names of available sound cards: | of
28 Mot inconnu : available =>   Names of available sound cards: | available
28 Mot inconnu : sound =>   Names of available sound cards: | sound
28 Mot inconnu : cards =>   Names of available sound cards: | cards

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   chipset_de_la_carte_intégrée |    => suggestions : ['']
29 Mot inconnu : chipset_de_la_carte_intégrée =>   chipset_de_la_carte_intégrée | chipset_de_la_carte_intégrée

30 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   UAC3553B |    => suggestions : ['']
30 Mot inconnu : UAC3553B =>   UAC3553B | uac3553b

34 Mot inconnu : PulseAudio => ==== PulseAudio ==== | pulseaudio

43 Mot inconnu : Multimedia => === Multimedia intégré === | multimedia

44 Mot inconnu : Philips => Pour avoir du son avec totem (et peut être d'autres applications), il faut aller dans //Préférences -> Son// et sélectionner pour la lecture du son **Philips UAC3553B USB Audio (OSS)**. \\ | philips
44 Mot inconnu : UAC3553B => Pour avoir du son avec totem (et peut être d'autres applications), il faut aller dans //Préférences -> Son// et sélectionner pour la lecture du son **Philips UAC3553B USB Audio (OSS)**. \\ | uac3553b

