
5 Mot inconnu : Savage => ====== Savage 2 : A Tortured Soul ====== | savage
5 Mot inconnu : Tortured => ====== Savage 2 : A Tortured Soul ====== | tortured

6 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

7 Mot inconnu : Savage => **Savage 2 : A Tortured Soul** est un jeu 3d propriétaire, mais gratuit, développé par les studios S2 Games.  Des comptes payants permettent d'étendre les possibilité de votre personnage. | savage
7 Mot inconnu : Tortured => **Savage 2 : A Tortured Soul** est un jeu 3d propriétaire, mais gratuit, développé par les studios S2 Games.  Des comptes payants permettent d'étendre les possibilité de votre personnage. | tortured
7 Mot inconnu : S2 => **Savage 2 : A Tortured Soul** est un jeu 3d propriétaire, mais gratuit, développé par les studios S2 Games.  Des comptes payants permettent d'étendre les possibilité de votre personnage. | s2
7 Mot inconnu : Games => **Savage 2 : A Tortured Soul** est un jeu 3d propriétaire, mais gratuit, développé par les studios S2 Games.  Des comptes payants permettent d'étendre les possibilité de votre personnage. | games
7 Espace(s) surnuméraire(s) à supprimer. => **Savage 2 : A Tortured Soul** est un jeu 3d propriétaire, mais gratuit, développé par les studios S2 Games.  Des comptes payants permettent d'étendre les possibilité de votre personnage. |    => suggestions : [' ']
7 Accord de nombre erroné : « possibilité » devrait être au pluriel. => **Savage 2 : A Tortured Soul** est un jeu 3d propriétaire, mais gratuit, développé par les studios S2 Games.  Des comptes payants permettent d'étendre les possibilité de votre personnage. | possibilité => suggestions : ['possibilités']

15 Accord de nombre erroné : « jeux » est au pluriel. => Le jeux nécessite la création d'un compte pour pouvoir jouer en ligne. | le => suggestions : ['Les']
15 Accord de nombre erroné : « jeux » devrait être au singulier. => Le jeux nécessite la création d'un compte pour pouvoir jouer en ligne. | jeux => suggestions : ['jeu']

19 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => <note important>A noter que le jeux nécessite une accélération 3d fonctionnelle. | a => suggestions : ['À']
19 Accord de nombre erroné : « jeux » est au pluriel. => <note important>A noter que le jeux nécessite une accélération 3d fonctionnelle. | le => suggestions : ['les']
