
5 Mot inconnu : Uim-Anthy => ====== Uim-Anthy : Comment écrire en Japonais ? ====== | uim-anthy
5 Si vous parlez de la langue, pas de majuscule. => ====== Uim-Anthy : Comment écrire en Japonais ? ====== | japonais => suggestions : ['japonais']

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * choisir entre français et japonais facilement (bouton, raccourci clavier...) ; |    => suggestions : ['']
13 Typographie : points de suspension. Utilisez le caractère dédié. =>   * choisir entre français et japonais facilement (bouton, raccourci clavier...) ; | ... => suggestions : ['…']

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * avoir un support complet du japonais (c'est à dire : hiragana, katakana, kanji, ...) en cours de frappe ; |    => suggestions : ['']
14 Il manque les traits d’union. =>   * avoir un support complet du japonais (c'est à dire : hiragana, katakana, kanji, ...) en cours de frappe ; | c'est à dire => suggestions : ['c’est-à-dire']
14 Une de ces ponctuations est superflue. =>   * avoir un support complet du japonais (c'est à dire : hiragana, katakana, kanji, ...) en cours de frappe ; | , . => suggestions : [',', '.']
14 Typographie : points de suspension. Utilisez le caractère dédié. =>   * avoir un support complet du japonais (c'est à dire : hiragana, katakana, kanji, ...) en cours de frappe ; | ... => suggestions : ['…']

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * éventuellement, pouvoir ajouter d'autres langues que le japonais ! |    => suggestions : ['']

17 Typographie : points de suspension. Utilisez le caractère dédié. => Pour écrire japonais et/ou chinois et/ou ... tout en restant dans un système en français, il faut installer une plate-forme gérant plusieurs langues et leurs saisies sur un clavier occidental : | ... => suggestions : ['…']

18 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * uim est une telle plate-forme ; elle reçoit des plugins qui gèrent une langue en particulier. |    => suggestions : ['']
18 Mot inconnu : uim =>   * uim est une telle plate-forme ; elle reçoit des plugins qui gèrent une langue en particulier. | uim

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * anthy est l'un de ces plugins ; il gère le japonais et constitue à ce titre une « méthode de saisie. » |    => suggestions : ['']
19 Mot inconnu : anthy =>   * anthy est l'un de ces plugins ; il gère le japonais et constitue à ce titre une « méthode de saisie. » | anthy

20 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Pour choisir facilement quelle langue est active dans les applications, on installe un applet pour basculer entre les différentes méthodes de saisies disponibles. |    => suggestions : ['']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

26 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Disposer d'une connexion à Internet configurée et activée. |    => suggestions : ['']

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **uim-applet-gnome** est un applet à ajouter dans un panel Gnome, permettant de choisir quelle langue est active. Entraîne l'installation d'**uim**, qui est une plate-forme gérant de multiples méthodes de saisies (cf. suite et section suivante). |    => suggestions : ['']
33 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   * **uim-applet-gnome** est un applet à ajouter dans un panel Gnome, permettant de choisir quelle langue est active. Entraîne l'installation d'**uim**, qui est une plate-forme gérant de multiples méthodes de saisies (cf. suite et section suivante). | uim-applet-gnome => suggestions : ['Uim-applet-gnome']
33 Mot inconnu : uim-applet-gnome =>   * **uim-applet-gnome** est un applet à ajouter dans un panel Gnome, permettant de choisir quelle langue est active. Entraîne l'installation d'**uim**, qui est une plate-forme gérant de multiples méthodes de saisies (cf. suite et section suivante). | uim-applet-gnome
33 Mot inconnu : uim =>   * **uim-applet-gnome** est un applet à ajouter dans un panel Gnome, permettant de choisir quelle langue est active. Entraîne l'installation d'**uim**, qui est une plate-forme gérant de multiples méthodes de saisies (cf. suite et section suivante). | uim

34 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * **uim-anthy** est un //plugin// **anthy** pour uim. L'idée est la suivante : en tant que tel, uim ne permet pas de taper du japonais, du coréen ou du chinois. C'est uniquement une plate-forme générale dont le rôle est de gérer diverses façons d'interpréter la frappe clavier au sein du système, ce qui signifie dialoguer avec le gestionnaire de fenêtre, etc. Cette plate-forme reçoit des instructions spécifiques pour une langue, lesquelles instructions sont données par un interpréteur de frappe clavier. anthy est une méthode de saisie de japonais utilisable par uim (ce n'est pas la seule) et uim peut ainsi gérer plusieurs langues : il suffit d'installer plusieurs plugins. Entraîne l'installation d'anthy et des librairies nécessaires pour anthy et uim. |    => suggestions : ['']
34 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   * **uim-anthy** est un //plugin// **anthy** pour uim. L'idée est la suivante : en tant que tel, uim ne permet pas de taper du japonais, du coréen ou du chinois. C'est uniquement une plate-forme générale dont le rôle est de gérer diverses façons d'interpréter la frappe clavier au sein du système, ce qui signifie dialoguer avec le gestionnaire de fenêtre, etc. Cette plate-forme reçoit des instructions spécifiques pour une langue, lesquelles instructions sont données par un interpréteur de frappe clavier. anthy est une méthode de saisie de japonais utilisable par uim (ce n'est pas la seule) et uim peut ainsi gérer plusieurs langues : il suffit d'installer plusieurs plugins. Entraîne l'installation d'anthy et des librairies nécessaires pour anthy et uim. | uim-anthy => suggestions : ['Uim-anthy']
34 Mot inconnu : uim-anthy =>   * **uim-anthy** est un //plugin// **anthy** pour uim. L'idée est la suivante : en tant que tel, uim ne permet pas de taper du japonais, du coréen ou du chinois. C'est uniquement une plate-forme générale dont le rôle est de gérer diverses façons d'interpréter la frappe clavier au sein du système, ce qui signifie dialoguer avec le gestionnaire de fenêtre, etc. Cette plate-forme reçoit des instructions spécifiques pour une langue, lesquelles instructions sont données par un interpréteur de frappe clavier. anthy est une méthode de saisie de japonais utilisable par uim (ce n'est pas la seule) et uim peut ainsi gérer plusieurs langues : il suffit d'installer plusieurs plugins. Entraîne l'installation d'anthy et des librairies nécessaires pour anthy et uim. | uim-anthy
34 Mot inconnu : anthy =>   * **uim-anthy** est un //plugin// **anthy** pour uim. L'idée est la suivante : en tant que tel, uim ne permet pas de taper du japonais, du coréen ou du chinois. C'est uniquement une plate-forme générale dont le rôle est de gérer diverses façons d'interpréter la frappe clavier au sein du système, ce qui signifie dialoguer avec le gestionnaire de fenêtre, etc. Cette plate-forme reçoit des instructions spécifiques pour une langue, lesquelles instructions sont données par un interpréteur de frappe clavier. anthy est une méthode de saisie de japonais utilisable par uim (ce n'est pas la seule) et uim peut ainsi gérer plusieurs langues : il suffit d'installer plusieurs plugins. Entraîne l'installation d'anthy et des librairies nécessaires pour anthy et uim. | anthy
34 Mot inconnu : uim =>   * **uim-anthy** est un //plugin// **anthy** pour uim. L'idée est la suivante : en tant que tel, uim ne permet pas de taper du japonais, du coréen ou du chinois. C'est uniquement une plate-forme générale dont le rôle est de gérer diverses façons d'interpréter la frappe clavier au sein du système, ce qui signifie dialoguer avec le gestionnaire de fenêtre, etc. Cette plate-forme reçoit des instructions spécifiques pour une langue, lesquelles instructions sont données par un interpréteur de frappe clavier. anthy est une méthode de saisie de japonais utilisable par uim (ce n'est pas la seule) et uim peut ainsi gérer plusieurs langues : il suffit d'installer plusieurs plugins. Entraîne l'installation d'anthy et des librairies nécessaires pour anthy et uim. | uim
