
4 Mot inconnu : K9Copy => ====== Sauvegarder ses DVD avec K9Copy ====== | k9copy

6 Mot inconnu : K9copy => Arrêté un temps, le développement de K9copy a été repris par Pauline123, devenant le projet [[http://k9copy-reloaded.sourceforge.net|K9copy-reloaded]]. | k9copy
6 Mot inconnu : Pauline123 => Arrêté un temps, le développement de K9copy a été repris par Pauline123, devenant le projet [[http://k9copy-reloaded.sourceforge.net|K9copy-reloaded]]. | pauline123

9 Mot inconnu : K9Copy => Un DVD dans le commerce fait en général 8.5 Go (double couche), alors qu'un DVD enregistrable est limité à 4.7 Go (simple couche). **K9Copy** propose de réduire la taille du DVD via la suppression des menus, des pistes audio non nécessaires, des bonus, enfin de tout ce qui peut être jugé comme superflu pour vos copies de sauvegarde. | k9copy
13 Guillemets typographiques ouvrants. => En revanche, si le film dure 3 heures, (testé avec "Le seigneur des anneaux"), et qu'à la base cela pèse déjà plus de 7 Go, alors là la copie conforme ne sera pas de qualité.  | " => suggestions : ['«\xa0', '“']
13 Guillemets typographiques fermants. => En revanche, si le film dure 3 heures, (testé avec "Le seigneur des anneaux"), et qu'à la base cela pèse déjà plus de 7 Go, alors là la copie conforme ne sera pas de qualité.  | " => suggestions : ['\xa0»', '”']
13 Espace(s) en fin de ligne à supprimer. => En revanche, si le film dure 3 heures, (testé avec "Le seigneur des anneaux"), et qu'à la base cela pèse déjà plus de 7 Go, alors là la copie conforme ne sera pas de qualité.  |   => suggestions : ['']
19 Espace(s) en fin de ligne à supprimer. => Taille globale > 6 Go : Il faudra enlever des langues, des pistes audio, des bonus, les menus, etc. C’est à ce prix que la qualité du film restera excellente.  |   => suggestions : ['']

40 Espace(s) en fin de ligne à supprimer. => La visionneuse de fichier vidéo fonctionne bien et c'est un véritable plus.  |   => suggestions : ['']
41 Si “h45” est une unité de mesure, il manque un espace insécable. Si le nombre se rapporte au mot suivant, c’est aussi valable. => Niveau rapidité : Sur un ordinateur assez récent, comptez 45 minutes pour un film de 1 h45. | 1 h45 => suggestions : ['1\xa0h45']
41 Mot inconnu : h45 => Niveau rapidité : Sur un ordinateur assez récent, comptez 45 minutes pour un film de 1 h45. | h45

43 Mot inconnu : DMA => ==== Vérification DMA avec hdparm ==== | dma
43 Mot inconnu : hdparm => ==== Vérification DMA avec hdparm ==== | hdparm

46 Mot inconnu : DMA => Avant de vous lancer, bien vérifier que vos disques durs et graveurs sont bel et bien avec le DMA actif, sinon l' attente sera très longue.  | dma
46 Apostrophe incorrecte. => Avant de vous lancer, bien vérifier que vos disques durs et graveurs sont bel et bien avec le DMA actif, sinon l' attente sera très longue.  | l'  => suggestions : ['l’']
46 Guillemets typographiques fermants. => Avant de vous lancer, bien vérifier que vos disques durs et graveurs sont bel et bien avec le DMA actif, sinon l' attente sera très longue.  | ' => suggestions : ['”', '’', '›']
46 Espace(s) en fin de ligne à supprimer. => Avant de vous lancer, bien vérifier que vos disques durs et graveurs sont bel et bien avec le DMA actif, sinon l' attente sera très longue.  |   => suggestions : ['']

