
6 Mot inconnu : Epiphany => ====== GNOME Web (Epiphany) ====== | epiphany

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

27 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

30 Mot inconnu : Flatpak => ==== Par Flatpak ==== | flatpak

44 Une de ces ponctuations est superflue. => <note help>Les éléments notés ":!:" sont valables à partir de la version 3.24 de GNOME Web (dans les dépôts à partir d'Ubuntu 17.10). Les versions précédentes diffèrent légèrement.</note> | :! => suggestions : [':', '!']

54 Une de ces ponctuations est superflue. => La barre d'adresse se trouve au milieu de la barre de fenêtre :!:, et vous pouvez y taper l'adresse URL de votre choix, ou des mots clés à rechercher. | :! => suggestions : [':', '!']
54 Une de ces ponctuations est superflue. => La barre d'adresse se trouve au milieu de la barre de fenêtre :!:, et vous pouvez y taper l'adresse URL de votre choix, ou des mots clés à rechercher. | :, => suggestions : [':', ',']
56 Une de ces ponctuations est superflue. => Si les caractères tapés correspondent à un site déjà visité, le site sera suggéré. Sinon, une liste de moteur de recherche s'affiche : en cliquant sur l'un d'eux, vous lancez la recherche. Pour paramétrer les moteurs de recherche, allez dans //Préférences -> Général -> Moteurs de recherche//, vous pourrez en ajouter :!: en suivant les indications fournies par la fenêtre. | :! => suggestions : [':', '!']

58 Une de ces ponctuations est superflue. => <note>:!: Avant la version 3.24, le champ où taper l'adresse est "masqué" par la barre de titre et n'apparaît qu'en cas de clic sur le titre de la fenêtre. | :! => suggestions : [':', '!']
58 Guillemets typographiques ouvrants. => <note>:!: Avant la version 3.24, le champ où taper l'adresse est "masqué" par la barre de titre et n'apparaît qu'en cas de clic sur le titre de la fenêtre. | " => suggestions : ['«\xa0', '“']
58 Guillemets typographiques fermants. => <note>:!: Avant la version 3.24, le champ où taper l'adresse est "masqué" par la barre de titre et n'apparaît qu'en cas de clic sur le titre de la fenêtre. | " => suggestions : ['\xa0»', '”']

59 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  L'adresse étant sinon uniquement visible en sous-titre de la fenêtre. |   => suggestions : ['']

64 Guillemets typographiques ouvrants. => À gauche de cette barre se trouvent les boutons "page précédente", "page suivante" et "actualiser la page", ainsi que le bouton qui renvoie à la page d'accueil. Cette page d'accueil peut se changer dans //Préférences -> Général -> Page d'accueil//. | " => suggestions : ['«\xa0', '“']
64 Guillemets typographiques fermants. => À gauche de cette barre se trouvent les boutons "page précédente", "page suivante" et "actualiser la page", ainsi que le bouton qui renvoie à la page d'accueil. Cette page d'accueil peut se changer dans //Préférences -> Général -> Page d'accueil//. | " => suggestions : ['\xa0»', '”']
64 Guillemets typographiques ouvrants. => À gauche de cette barre se trouvent les boutons "page précédente", "page suivante" et "actualiser la page", ainsi que le bouton qui renvoie à la page d'accueil. Cette page d'accueil peut se changer dans //Préférences -> Général -> Page d'accueil//. | " => suggestions : ['«\xa0', '“']
64 Guillemets typographiques fermants. => À gauche de cette barre se trouvent les boutons "page précédente", "page suivante" et "actualiser la page", ainsi que le bouton qui renvoie à la page d'accueil. Cette page d'accueil peut se changer dans //Préférences -> Général -> Page d'accueil//. | " => suggestions : ['\xa0»', '”']
64 Guillemets typographiques ouvrants. => À gauche de cette barre se trouvent les boutons "page précédente", "page suivante" et "actualiser la page", ainsi que le bouton qui renvoie à la page d'accueil. Cette page d'accueil peut se changer dans //Préférences -> Général -> Page d'accueil//. | " => suggestions : ['«\xa0', '“']
64 Guillemets typographiques fermants. => À gauche de cette barre se trouvent les boutons "page précédente", "page suivante" et "actualiser la page", ainsi que le bouton qui renvoie à la page d'accueil. Cette page d'accueil peut se changer dans //Préférences -> Général -> Page d'accueil//. | " => suggestions : ['\xa0»', '”']

71 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Clic avec le bouton du milieu (molette) sur un lien |    => suggestions : ['']

72 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * //Clic droit -> Ouvrir dans un nouvel onglet// sur un lien |    => suggestions : ['']

73 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * //[[gnome-shell#l_appmenu|Menu de l'application]] -> Nouvel onglet// |    => suggestions : ['']

74 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * //Menu sandwich (3 traits horizontaux) -> Nouvel onglet// |    => suggestions : ['']

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Ctrl + T |    => suggestions : ['']

76 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Bouton "nouvel onglet" |    => suggestions : ['']
76 Guillemets typographiques ouvrants. =>   * Bouton "nouvel onglet" | " => suggestions : ['«\xa0', '“']
