
3 Mot inconnu : x2go => ====== x2go ====== | x2go

5 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. => x2go est un logiciel client-serveur libre((sous licence GNU GPL v2)) qui permet de se connecter à un ordinateur serveur linux distant. C'est un projet qui s'appuie sur le protocole libre [[freenx]], lui-même issu du protocole NX créé par la société NoMachine. Ce protocole est très performant (beaucoup plus que [[vnc]]) et la navigation est fluide même avec une connexion à faible débit. | x2go => suggestions : ['X2go']
5 Mot inconnu : x2go => x2go est un logiciel client-serveur libre((sous licence GNU GPL v2)) qui permet de se connecter à un ordinateur serveur linux distant. C'est un projet qui s'appuie sur le protocole libre [[freenx]], lui-même issu du protocole NX créé par la société NoMachine. Ce protocole est très performant (beaucoup plus que [[vnc]]) et la navigation est fluide même avec une connexion à faible débit. | x2go
5 Il manque un espace avant la parenthèse. => x2go est un logiciel client-serveur libre((sous licence GNU GPL v2)) qui permet de se connecter à un ordinateur serveur linux distant. C'est un projet qui s'appuie sur le protocole libre [[freenx]], lui-même issu du protocole NX créé par la société NoMachine. Ce protocole est très performant (beaucoup plus que [[vnc]]) et la navigation est fluide même avec une connexion à faible débit. | ( => suggestions : [' (']
5 Mot inconnu : linux => x2go est un logiciel client-serveur libre((sous licence GNU GPL v2)) qui permet de se connecter à un ordinateur serveur linux distant. C'est un projet qui s'appuie sur le protocole libre [[freenx]], lui-même issu du protocole NX créé par la société NoMachine. Ce protocole est très performant (beaucoup plus que [[vnc]]) et la navigation est fluide même avec une connexion à faible débit. | linux
5 Mot inconnu : freenx => x2go est un logiciel client-serveur libre((sous licence GNU GPL v2)) qui permet de se connecter à un ordinateur serveur linux distant. C'est un projet qui s'appuie sur le protocole libre [[freenx]], lui-même issu du protocole NX créé par la société NoMachine. Ce protocole est très performant (beaucoup plus que [[vnc]]) et la navigation est fluide même avec une connexion à faible débit. | freenx
5 Mot inconnu : NX => x2go est un logiciel client-serveur libre((sous licence GNU GPL v2)) qui permet de se connecter à un ordinateur serveur linux distant. C'est un projet qui s'appuie sur le protocole libre [[freenx]], lui-même issu du protocole NX créé par la société NoMachine. Ce protocole est très performant (beaucoup plus que [[vnc]]) et la navigation est fluide même avec une connexion à faible débit. | nx
5 Mot inconnu : NoMachine => x2go est un logiciel client-serveur libre((sous licence GNU GPL v2)) qui permet de se connecter à un ordinateur serveur linux distant. C'est un projet qui s'appuie sur le protocole libre [[freenx]], lui-même issu du protocole NX créé par la société NoMachine. Ce protocole est très performant (beaucoup plus que [[vnc]]) et la navigation est fluide même avec une connexion à faible débit. | nomachine
5 Mot inconnu : vnc => x2go est un logiciel client-serveur libre((sous licence GNU GPL v2)) qui permet de se connecter à un ordinateur serveur linux distant. C'est un projet qui s'appuie sur le protocole libre [[freenx]], lui-même issu du protocole NX créé par la société NoMachine. Ce protocole est très performant (beaucoup plus que [[vnc]]) et la navigation est fluide même avec une connexion à faible débit. | vnc

7 Mot inconnu : ssh => Il permet d'avoir accès au bureau en utilisant la carte vidéo et audio du client. La connexion est sécurisée par le protocole ssh. | ssh

31 Mot inconnu : TeamViewer => Pour un accès complet au bureau (comme TeamViewer), installer le paquet **[[apt>x2goserver-desktopsharing]]** : | teamviewer
31 Mot inconnu : x2goserver-desktopsharing => Pour un accès complet au bureau (comme TeamViewer), installer le paquet **[[apt>x2goserver-desktopsharing]]** : | x2goserver-desktopsharing

35 Il manque un espace. => Plus d'infos [[https://wiki.x2go.org/doku.php/doc:usage:desktop-sharing|ici]], notamment redirection du port 22 sur votre routeur. | desktop-sharing => suggestions : [' desktop-sharing']
35 Mot inconnu : desktop-sharing => Plus d'infos [[https://wiki.x2go.org/doku.php/doc:usage:desktop-sharing|ici]], notamment redirection du port 22 sur votre routeur. | desktop-sharing
37 Mot inconnu : x2goclient => Il est nécessaire d'installer le client **[[apt>x2goclient]]** sur le poste depuis lequel vous souhaitez vous connecter à distance | x2goclient

38 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>  : |   => suggestions : ['']

46 Mot inconnu : x2go => Démarrer le client x2go. | x2go

54 Espace(s) surnuméraire(s) à supprimer. => Si vous  rencontrez le problème suivant : |    => suggestions : [' ']

55 Mot inconnu : Can => <file>Can not connect to ip-ou-ndd-du-serveur | can
55 Mot inconnu : not => <file>Can not connect to ip-ou-ndd-du-serveur | not
55 Mot inconnu : connect => <file>Can not connect to ip-ou-ndd-du-serveur | connect
55 Mot inconnu : to => <file>Can not connect to ip-ou-ndd-du-serveur | to
55 Mot inconnu : ip-ou-ndd-du-serveur => <file>Can not connect to ip-ou-ndd-du-serveur | ip-ou-ndd-du-serveur

57 Mot inconnu : kex => kex error : no match for method mac algo client->server: server [hmac-sha2-512-etm@openssh.com,hmac-sha2-256-etm@openssh.com,umac-128-etm@openssh.com,hmac-sha2-512,hmac-sha2-256,hmac-ripemd160], client [hmac-sha1]</file> | kex
57 Mot inconnu : error => kex error : no match for method mac algo client->server: server [hmac-sha2-512-etm@openssh.com,hmac-sha2-256-etm@openssh.com,umac-128-etm@openssh.com,hmac-sha2-512,hmac-sha2-256,hmac-ripemd160], client [hmac-sha1]</file> | error
57 Mot inconnu : method => kex error : no match for method mac algo client->server: server [hmac-sha2-512-etm@openssh.com,hmac-sha2-256-etm@openssh.com,umac-128-etm@openssh.com,hmac-sha2-512,hmac-sha2-256,hmac-ripemd160], client [hmac-sha1]</file> | method
57 Mot inconnu : server => kex error : no match for method mac algo client->server: server [hmac-sha2-512-etm@openssh.com,hmac-sha2-256-etm@openssh.com,umac-128-etm@openssh.com,hmac-sha2-512,hmac-sha2-256,hmac-ripemd160], client [hmac-sha1]</file> | server
57 Mot inconnu : server => kex error : no match for method mac algo client->server: server [hmac-sha2-512-etm@openssh.com,hmac-sha2-256-etm@openssh.com,umac-128-etm@openssh.com,hmac-sha2-512,hmac-sha2-256,hmac-ripemd160], client [hmac-sha1]</file> | server
57 Mot inconnu : hmac-sha2-512-etm => kex error : no match for method mac algo client->server: server [hmac-sha2-512-etm@openssh.com,hmac-sha2-256-etm@openssh.com,umac-128-etm@openssh.com,hmac-sha2-512,hmac-sha2-256,hmac-ripemd160], client [hmac-sha1]</file> | hmac-sha2-512-etm
57 Mot inconnu : hmac-sha2-256-etm => kex error : no match for method mac algo client->server: server [hmac-sha2-512-etm@openssh.com,hmac-sha2-256-etm@openssh.com,umac-128-etm@openssh.com,hmac-sha2-512,hmac-sha2-256,hmac-ripemd160], client [hmac-sha1]</file> | hmac-sha2-256-etm
57 Mot inconnu : umac-128-etm => kex error : no match for method mac algo client->server: server [hmac-sha2-512-etm@openssh.com,hmac-sha2-256-etm@openssh.com,umac-128-etm@openssh.com,hmac-sha2-512,hmac-sha2-256,hmac-ripemd160], client [hmac-sha1]</file> | umac-128-etm
57 Mot inconnu : hmac-sha2-512 => kex error : no match for method mac algo client->server: server [hmac-sha2-512-etm@openssh.com,hmac-sha2-256-etm@openssh.com,umac-128-etm@openssh.com,hmac-sha2-512,hmac-sha2-256,hmac-ripemd160], client [hmac-sha1]</file> | hmac-sha2-512
57 Mot inconnu : hmac-sha2-256 => kex error : no match for method mac algo client->server: server [hmac-sha2-512-etm@openssh.com,hmac-sha2-256-etm@openssh.com,umac-128-etm@openssh.com,hmac-sha2-512,hmac-sha2-256,hmac-ripemd160], client [hmac-sha1]</file> | hmac-sha2-256
57 Mot inconnu : hmac-ripemd160 => kex error : no match for method mac algo client->server: server [hmac-sha2-512-etm@openssh.com,hmac-sha2-256-etm@openssh.com,umac-128-etm@openssh.com,hmac-sha2-512,hmac-sha2-256,hmac-ripemd160], client [hmac-sha1]</file> | hmac-ripemd160
57 Mot inconnu : hmac-sha1 => kex error : no match for method mac algo client->server: server [hmac-sha2-512-etm@openssh.com,hmac-sha2-256-etm@openssh.com,umac-128-etm@openssh.com,hmac-sha2-512,hmac-sha2-256,hmac-ripemd160], client [hmac-sha1]</file> | hmac-sha1

62 Espace(s) en fin de ligne à supprimer. => Ceci n'est pas à proprement parlé d'un bug, mais d'une incompatibilité :)  |   => suggestions : ['']

66 Mot inconnu : SSH => Évidement, cela ne peut se faire qu'entre ceux connus par les deux membres, et par défaut le serveur SSH considère que tous ceux que connaît le client X2Go ne sont plus assez sûr : | ssh
66 Mot inconnu : X2Go => Évidement, cela ne peut se faire qu'entre ceux connus par les deux membres, et par défaut le serveur SSH considère que tous ceux que connaît le client X2Go ne sont plus assez sûr : | x2go
66 Accord avec la forme verbale “sont” : “sûr” devrait être au pluriel. => Évidement, cela ne peut se faire qu'entre ceux connus par les deux membres, et par défaut le serveur SSH considère que tous ceux que connaît le client X2Go ne sont plus assez sûr : | sûr => suggestions : ['sûrs']

69 Espace(s) en fin de ligne à supprimer. => Le serveur souhaite utiliser des algorithmes de chiffrement plus sûrs.  |   => suggestions : ['']

72 Mot inconnu : X2Go => Le client X2Go connaît peu de MACs et aucune contenant -etm  | x2go
72 Mot inconnu : MACs => Le client X2Go connaît peu de MACs et aucune contenant -etm  | macs
