
4 Mot inconnu : OneDrive => ====== Utiliser OneDrive sous Ubuntu====== | onedrive

10 Mot inconnu : OneDrive => Une application est nécessaire à la synchronisation, ce qui crée un dossier //OneDrive// dans lequel il suffit de déposer les dossiers à synchroniser.  | onedrive
10 Espace(s) en fin de ligne à supprimer. => Une application est nécessaire à la synchronisation, ce qui crée un dossier //OneDrive// dans lequel il suffit de déposer les dossiers à synchroniser.  |   => suggestions : ['']

13 Espace(s) en fin de ligne à supprimer. => =====Installation=====  |   => suggestions : ['']

15 Accord de nombre erroné avec « les dépôts » : « officiel » devrait être au pluriel. => ====Via un paquet dans les dépôts officiel==== | officiel => suggestions : ['officiels']

17 Mot inconnu : Vi => ====Vi un ppa pour avoir la dernière version==== | vi
18 Espace(s) en fin de ligne à supprimer. => Suivez la procédure suivante:  |   => suggestions : ['']

25 Mot inconnu : Google-drive-ocamlfuse => Commencez par permettre à Google-drive-ocamlfuse d'accéder à Google Drive.  | google-drive-ocamlfuse
25 Espace(s) en fin de ligne à supprimer. => Commencez par permettre à Google-drive-ocamlfuse d'accéder à Google Drive.  |   => suggestions : ['']

27 Mot inconnu : Authorize => Authorize this app visiting: | authorize
27 Mot inconnu : this => Authorize this app visiting: | this
27 Mot inconnu : app => Authorize this app visiting: | app
27 Mot inconnu : visiting => Authorize this app visiting: | visiting

31 Mot inconnu : the => Enter the response uri: </code> votre navigateur web s'ouvre, connectez-vous à votre compte OneDrive en ligne et copiez l'uri qui vous est donnée pour la rentrez dans votre terminal. | the
31 Mot inconnu : response => Enter the response uri: </code> votre navigateur web s'ouvre, connectez-vous à votre compte OneDrive en ligne et copiez l'uri qui vous est donnée pour la rentrez dans votre terminal. | response
31 Mot inconnu : uri => Enter the response uri: </code> votre navigateur web s'ouvre, connectez-vous à votre compte OneDrive en ligne et copiez l'uri qui vous est donnée pour la rentrez dans votre terminal. | uri
31 Mot inconnu : OneDrive => Enter the response uri: </code> votre navigateur web s'ouvre, connectez-vous à votre compte OneDrive en ligne et copiez l'uri qui vous est donnée pour la rentrez dans votre terminal. | onedrive
31 Mot inconnu : uri => Enter the response uri: </code> votre navigateur web s'ouvre, connectez-vous à votre compte OneDrive en ligne et copiez l'uri qui vous est donnée pour la rentrez dans votre terminal. | uri

33 Mot inconnu : OneDrive => =====Installation d'une interface graphique à OneDrive=====  | onedrive
33 Espace(s) en fin de ligne à supprimer. => =====Installation d'une interface graphique à OneDrive=====  |   => suggestions : ['']
