
5 Mot inconnu : Mutter => ====== Mutter (gestionnaire de fenêtres) ====== | mutter

7 Mot inconnu : Mutter => **Mutter** est un compositeur graphique et un [[gestionnaire de fenêtres]] basé sur les librairies Clutter et GTK+. C'est ce logiciel qui contrôle l'apparence et le comportement des fenêtres où les différentes applications graphiques se dessinent. Il s'agit de déterminer les bordures, la barre de titre, la taille, la possibilité de redimensionner les fenêtres. | mutter
7 Mot inconnu : Clutter => **Mutter** est un compositeur graphique et un [[gestionnaire de fenêtres]] basé sur les librairies Clutter et GTK+. C'est ce logiciel qui contrôle l'apparence et le comportement des fenêtres où les différentes applications graphiques se dessinent. Il s'agit de déterminer les bordures, la barre de titre, la taille, la possibilité de redimensionner les fenêtres. | clutter

9 Mot inconnu : Mutter => Mutter est très lié au projet [[Gnome]] et donc au bureau [[Gnome Shell]] ; par conséquent son paramétrage est très lié au paramétrage de Gnome Shell lui-même. | mutter

11 Incohérence avec “de” : “utilisent” est une forme verbale conjuguée. => Plusieurs [[environnements]] dérivés de [[Gnome]] utilisent des //forks// de Mutter : | utilisent => suggestions : ['utilisées', 'utilisée', 'utilisé', 'utilisés']
11 Mot inconnu : Mutter => Plusieurs [[environnements]] dérivés de [[Gnome]] utilisent des //forks// de Mutter : | mutter

17 Mot inconnu : Mutter => Mutter est l'un des gestionnaires de fenêtres pour [[Xorg]] qui supporte le mieux le protocole d'affichage [[Wayland]]. | mutter
17 Mot inconnu : Xorg => Mutter est l'un des gestionnaires de fenêtres pour [[Xorg]] qui supporte le mieux le protocole d'affichage [[Wayland]]. | xorg

19 Mot inconnu : Metacity => Héritier de [[Metacity]], c'est un gestionnaire plutôt léger, qui n'offre pas d'effets aussi complexes que [[Compiz]]. | metacity
19 Mot inconnu : Compiz => Héritier de [[Metacity]], c'est un gestionnaire plutôt léger, qui n'offre pas d'effets aussi complexes que [[Compiz]]. | compiz

21 Mot inconnu : Compiz => Ceci dit, tout comme Compiz, [[Kwin]] et [[Enlightenment]], Mutter est un **compositeur** : il gère un tampon en mémoire pour chaque fenêtre plutôt que  d'afficher directement les fenêtres. Il s'agit d'une façon de faire un peu plus exigeante en terme de mémoire occupée et d'utilisation du processeur, mais cela permet des effets de transparence, d'ombre, de 3D, ... par exemple la gestion des fenêtres de Gnome Shell (vue des activités, espaces de travail, ...) et les animations liées. | compiz
21 Mot inconnu : Kwin => Ceci dit, tout comme Compiz, [[Kwin]] et [[Enlightenment]], Mutter est un **compositeur** : il gère un tampon en mémoire pour chaque fenêtre plutôt que  d'afficher directement les fenêtres. Il s'agit d'une façon de faire un peu plus exigeante en terme de mémoire occupée et d'utilisation du processeur, mais cela permet des effets de transparence, d'ombre, de 3D, ... par exemple la gestion des fenêtres de Gnome Shell (vue des activités, espaces de travail, ...) et les animations liées. | kwin
