1 Mot inconnu : extensions_mediawiki [[11:31]] => ~~REDIRECT>extensions_mediawiki~~ <|> extensions_mediawiki

4 Mot inconnu : Mediawiki [[59:68]] => Les extensions sont des ajouts à l'installation de Base de Mediawiki qui permettent d'en améliorer le fonctionnement, ajouter des tags ou des fonctionnalités. <|> mediawiki

8 Accord de nombre erroné : « Extension » devrait être au pluriel. [[4:13]] => Les Extension décrites ci dessous on été testées sous Ubuntu 9.04 selon les requis de Mediawiki <|> extension => suggestions : ['Extensions']
8 Il manque un trait d’union. [[23:33]] => Les Extension décrites ci dessous on été testées sous Ubuntu 9.04 selon les requis de Mediawiki <|> ci dessous => suggestions : ['ci-dessous']
8 Conjugaison erronée. Accord avec “on”. Le verbe devrait être à la 3ᵉ personne du singulier. [[37:40]] => Les Extension décrites ci dessous on été testées sous Ubuntu 9.04 selon les requis de Mediawiki <|> été => suggestions : ['fut', 'est', 'était']
8 Mot inconnu : Mediawiki [[86:95]] => Les Extension décrites ci dessous on été testées sous Ubuntu 9.04 selon les requis de Mediawiki <|> mediawiki
11 Mot inconnu : backup [[122:128]] => Toutes les extensions demandent une modification de /var/www/mediawiki/LocalSettings.php : n'oubliez donc pas de faire un backup préalable à toute modification de ce fichier  <|> backup
11 Espace(s) en fin de ligne à supprimer. [[173:174]] => Toutes les extensions demandent une modification de /var/www/mediawiki/LocalSettings.php : n'oubliez donc pas de faire un backup préalable à toute modification de ce fichier  <|>   => suggestions : ['']

14 Espace(s) en fin de ligne à supprimer. [[40:41]] => <note warning>Page en cours de rédaction  <|>   => suggestions : ['']

16 Mot inconnu : MediaWiki [[84:93]] => La liste exhaustive des extensions et de leur installation se trouve sur le site de MediaWiki </note> <|> mediawiki

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>  apt-get install htmldoc <|>   => suggestions : ['']
25 Mot inconnu : apt-get [[1:8]] =>  apt-get install htmldoc <|> apt-get
25 Mot inconnu : install [[9:16]] =>  apt-get install htmldoc <|> install
25 Mot inconnu : htmldoc [[17:24]] =>  apt-get install htmldoc <|> htmldoc

