
5 Mot inconnu : Gedit => ====== Créer un jeu de couleurs pour Gedit ====== | gedit

6 Mot inconnu : Gedit => Cette page indique comment créer un jeu de couleurs pour Gedit. | gedit
8 Mot inconnu : iable => Lorsque vous écrivez un code source, vous avez plusieurs styles de texte : les variables, les types de fonction/variable... | iable
8 Typographie : points de suspension. Utilisez le caractère dédié. => Lorsque vous écrivez un code source, vous avez plusieurs styles de texte : les variables, les types de fonction/variable... | ... => suggestions : ['…']

9 Mot inconnu : Gedit => Gedit peut colorer ces styles de texte, pour le plus grand plaisir de nos yeux délicats. | gedit

10 Mot inconnu : xml => Un jeu de couleur prend la forme d'un fichier xml, attribuant des effets de texte à un style de texte déjà défini. | xml
12 Espace(s) en fin de ligne à supprimer. => Un programme existe, [[http://www.dabj01.co.cc/page4.php|badschemer]], pour créer des jeux de couleurs de façon plus confortable. Il est aussi possible d'y aller à la main pour faire quelque chose de plus personnalisé, et c'est ce que nous allons voir. ;-)  |   => suggestions : ['']
16 Espace(s) en fin de ligne à supprimer. => Voici un exemple de contenu d'un jeu de couleurs vide :  |   => suggestions : ['']

25 Mot inconnu : style-scheme => </style-scheme></code> | style-scheme

29 Mot inconnu : xml => Cette ligne est la première ligne de quasiment tous les fichiers en xml. Elle indique qu'on utilise la version 1.0 du xml avec un encodage de caractères en utf-8.   | xml
29 Mot inconnu : xml => Cette ligne est la première ligne de quasiment tous les fichiers en xml. Elle indique qu'on utilise la version 1.0 du xml avec un encodage de caractères en utf-8.   | xml
29 Mot inconnu : utf-8 => Cette ligne est la première ligne de quasiment tous les fichiers en xml. Elle indique qu'on utilise la version 1.0 du xml avec un encodage de caractères en utf-8.   | utf-8
29 Espace(s) en fin de ligne à supprimer. => Cette ligne est la première ligne de quasiment tous les fichiers en xml. Elle indique qu'on utilise la version 1.0 du xml avec un encodage de caractères en utf-8.   |    => suggestions : ['']

31 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * id est un identifiant pour le jeu de couleurs, qu'il est conseillé de mettre en minuscule. |    => suggestions : ['']

32 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * _name est le nom du jeu de couleurs que Gedit affichera dans l'onglet Police et Couleurs, dans les Préférences. |    => suggestions : ['']
32 Mot inconnu : _name =>   * _name est le nom du jeu de couleurs que Gedit affichera dans l'onglet Police et Couleurs, dans les Préférences. | _name
32 Mot inconnu : Gedit =>   * _name est le nom du jeu de couleurs que Gedit affichera dans l'onglet Police et Couleurs, dans les Préférences. | gedit

33 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * version est la version des styles de texte que vous utilisez. Pour l'instant on n'a qu'une seule version, la 1.0, donc autant la laisser telle quelle. |    => suggestions : ['']
33 Majuscule en début de phrase, sauf éventuellement lors d’une énumération. =>   * version est la version des styles de texte que vous utilisez. Pour l'instant on n'a qu'une seule version, la 1.0, donc autant la laisser telle quelle. | version => suggestions : ['Version']

35 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * C'est assez clair, non ? :-) |    => suggestions : ['']

37 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Une courte description du jeu de couleurs que vous créez/modifiez est affichée dans l'onglet Police et Couleurs, dans les Préférences. C'est ici qu'il faut l'indiquer. |    => suggestions : ['']

39 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Le texte dans la balise est un commentaire, c'est-à-dire que vous pouvez écrire ce que vous voulez ici sans que cela ne soit pris en compte. Histoire de vous y retrouver dans ce que vous écrivez, usez-en ! |    => suggestions : ['']

42 Mot inconnu : style-scheme => Toutes vos prochaines balises seront à placer entre </_description> et </style-scheme>. | style-scheme
46 Espace(s) en fin de ligne à supprimer. => Vous pouvez appliquer différents effets à du texte, notamment le colorer. Lorsque vous voulez afficher une couleur, vous pouvez seulement indiquer une valeur hexadécimale, par exemple :  |   => suggestions : ['']
53 Espace(s) en fin de ligne à supprimer. => Voici un exemple de couleurs que vous pouvez définir :  |   => suggestions : ['']

57 Guillemets typographiques ouvrants. => <color name="kaki" value="#617200"/></code> | " => suggestions : ['«\xa0', '“']
57 Guillemets typographiques fermants. => <color name="kaki" value="#617200"/></code> | " => suggestions : ['\xa0»', '”']
57 Guillemets typographiques fermants. => <color name="kaki" value="#617200"/></code> | " => suggestions : ['\xa0»', '”']

58 Espace(s) en fin de ligne à supprimer. => Ainsi vous définissez vos propres valeurs de gris, de blanc, et ainsi de suite. Si vous trouvez qu'une certaine valeur de jaune est mal appropriée par rapport aux autres couleurs, vous avez juste à la modifier :-)  |   => suggestions : ['']
62 Espace(s) en fin de ligne à supprimer. => Si vous en utilisez, votre fichier de style ressemblera alors à ça :  |   => suggestions : ['']

75 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   <!-- name : le nom de la couleur à utiliser, value : la valeur hexadécimale (exemple #003366) --></style-scheme></code> |    => suggestions : ['']
75 Mot inconnu : name =>   <!-- name : le nom de la couleur à utiliser, value : la valeur hexadécimale (exemple #003366) --></style-scheme></code> | name
75 Formatage des grands nombres. =>   <!-- name : le nom de la couleur à utiliser, value : la valeur hexadécimale (exemple #003366) --></style-scheme></code> | 003366 => suggestions : ['003\xa0366']
75 Mot inconnu : style-scheme =>   <!-- name : le nom de la couleur à utiliser, value : la valeur hexadécimale (exemple #003366) --></style-scheme></code> | style-scheme
79 Espace(s) en fin de ligne à supprimer. => Certaines parties de votre code seront reconnues comme étant un style particulier. Comment ça peut se faire ? On ne le sait pas et on s'en moque : on veut juste formater ces bouts de texte. :-)   |    => suggestions : ['']
80 Espace(s) en fin de ligne à supprimer. => Un style se définit comme tel :  |   => suggestions : ['']

82 Mot inconnu : name => Dans name on met le nom du style, et pour les paramètres on met les divers effets de texte à appliquer au style. | name
87 Espace(s) en fin de ligne à supprimer. => Voici la liste des paramètres disponibles :  |   => suggestions : ['']

