
5 Mot inconnu : Kdocker => ====== Kdocker, minimiser n'importe quelle fenêtre ====== | kdocker

6 Mot inconnu : Kdocker => Fonctionne sous Gnome, surtout que Kdocker malgré la présence du K n'utilise aucune librairie kde, juste quelques librairies QT, certes pas toujours installées sous gnome. | kdocker
6 Mot inconnu : kde => Fonctionne sous Gnome, surtout que Kdocker malgré la présence du K n'utilise aucune librairie kde, juste quelques librairies QT, certes pas toujours installées sous gnome. | kde

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Vous ayez des logiciels à minimiser :) |    => suggestions : ['']
14 Ce verbe ne devrait pas être au subjonctif. =>   * Vous ayez des logiciels à minimiser :) | ayez => suggestions : ['aviez', 'eûtes', 'aurez', 'avez']

24 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avec des lignes de codes |    => suggestions : ['']

25 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * Avec l'interface graphique |    => suggestions : ['']

27 Typographie : points de suspension. Utilisez le caractère dédié. => Les deux vont être évoquées... | ... => suggestions : ['…']

36 Pléonasme. => Il suffit simplement de lancer la commande **kdocker** suivi du nom du logiciel à mettre dans la zone de notification. | suffit simplement => suggestions : ['suffit']
36 Mot inconnu : kdocker => Il suffit simplement de lancer la commande **kdocker** suivi du nom du logiciel à mettre dans la zone de notification. | kdocker

51 Typographie des composés chimiques. => Un petit **Alt + F2** ouvre une fenêtre où vous pouvez rentrer une commande, rentrez donc **kdocker** ; | f2 => suggestions : ['F₂']
51 Mot inconnu : F2 => Un petit **Alt + F2** ouvre une fenêtre où vous pouvez rentrer une commande, rentrez donc **kdocker** ; | f2
51 Mot inconnu : kdocker => Un petit **Alt + F2** ouvre une fenêtre où vous pouvez rentrer une commande, rentrez donc **kdocker** ; | kdocker

56 Mot inconnu : kdocker => La commande **kdocker -f** réduit la fenêtre qui a le focus (la fenêtre au premier plan), sans besoin de cliquer dessus. | kdocker
56 Il manque un espace à côté du tiret. => La commande **kdocker -f** réduit la fenêtre qui a le focus (la fenêtre au premier plan), sans besoin de cliquer dessus. |  - => suggestions : [' – ', ' — ']

66 Confusion : “coté” est le participe passé du verbe “coter”. => La fenêtre est donc maintenant dans la zone de notification à coté de l'horloge (sauf si vous avez tout changé de place...) | coté => suggestions : ['côté', 'côtés']
66 Typographie : points de suspension. Utilisez le caractère dédié. => La fenêtre est donc maintenant dans la zone de notification à coté de l'horloge (sauf si vous avez tout changé de place...) | ... => suggestions : ['…']
69 Mot inconnu : kdocker => Les changements des options du sous-menu Options ne sont pas conservées après fermeture du programme. Pour ne pas avoir à changer ces options à chaque fois, intégrez-les dans la commande que vous utilisez pour lancer le programme. Ex: **kdocker -qc thunderbird** ouvre thunderbird et le réduit en icone avec les options « ne pas afficher de ballons d'information » et « ne pas réduire lorsqu'on ferme normalement la fenêtre. » | kdocker
69 Il manque un espace à côté du tiret. => Les changements des options du sous-menu Options ne sont pas conservées après fermeture du programme. Pour ne pas avoir à changer ces options à chaque fois, intégrez-les dans la commande que vous utilisez pour lancer le programme. Ex: **kdocker -qc thunderbird** ouvre thunderbird et le réduit en icone avec les options « ne pas afficher de ballons d'information » et « ne pas réduire lorsqu'on ferme normalement la fenêtre. » |  - => suggestions : [' – ', ' — ']
