
4 Mot inconnu : Tunneliser [[7:17]] => ====== Tunneliser une connexion VNC via SSH ====== <|> tunneliser
4 Mot inconnu : VNC [[32:35]] => ====== Tunneliser une connexion VNC via SSH ====== <|> vnc
4 Mot inconnu : SSH [[40:43]] => ====== Tunneliser une connexion VNC via SSH ====== <|> ssh

6 Mot inconnu : VNC [[42:45]] => Cette méthode permet de sécuriser l'accès VNC classique hautement intrusif de l'extérieur. <|> vnc

23 Mot inconnu : PUTTY [[34:39]] => ====Sous Windows côté client avec PUTTY==== <|> putty

24 Mot inconnu : SSH [[118:121]] => Une solution simple et efficace existe sous Windows afin de prendre en main une machine Ubuntu, le tout via un tunnel SSH. <|> ssh

26 Mot inconnu : XP [[157:159]] => Les manipulations sont les mêmes pour la machine à contrôler, les changements interviennent seulement sur la machine qui contrôle (dans mon cas sous Windows XP). <|> xp

37 Mot inconnu : VNC [[0:3]] => VNC <= 5900 (local) => Putty <= 22 (distant) => machine_a_controler <|> vnc
37 Signe “inférieur ou égal”. [[4:6]] => VNC <= 5900 (local) => Putty <= 22 (distant) => machine_a_controler <|> <= => suggestions : ['≤', '⩽']
37 Mot inconnu : Putty [[23:28]] => VNC <= 5900 (local) => Putty <= 22 (distant) => machine_a_controler <|> putty
37 Signe “inférieur ou égal”. [[29:31]] => VNC <= 5900 (local) => Putty <= 22 (distant) => machine_a_controler <|> <= => suggestions : ['≤', '⩽']
37 Mot inconnu : machine_a_controler [[48:67]] => VNC <= 5900 (local) => Putty <= 22 (distant) => machine_a_controler <|> machine_a_controler

43 Mot inconnu : authorized_keys2 [[51:67]] => Puis renommez sur le poste serveur ce fichier en **authorized_keys2** (le 2 signifie qu'on souhaite bénéficier du protocole SSH2). <|> authorized_keys2
43 Mot inconnu : SSH2 [[124:128]] => Puis renommez sur le poste serveur ce fichier en **authorized_keys2** (le 2 signifie qu'on souhaite bénéficier du protocole SSH2). <|> ssh2

47 Guillemets typographiques ouvrants. [[33:34]] => Veillez aussi à décocher la case "activer le retour à la ligne automatique" pour être sûr qu'il n'y a pas de retour à la ligne.</note> <|> " => suggestions : ['«\xa0', '“']
47 Guillemets typographiques fermants. [[74:75]] => Veillez aussi à décocher la case "activer le retour à la ligne automatique" pour être sûr qu'il n'y a pas de retour à la ligne.</note> <|> " => suggestions : ['\xa0»', '”']

49 Mot inconnu : usb [[74:77]] => Vous pouvez diffuser cette clé par le moyen de votre choix (copie par clé usb, envoi email...) <|> usb
49 Mot inconnu : email [[85:90]] => Vous pouvez diffuser cette clé par le moyen de votre choix (copie par clé usb, envoi email...) <|> email
49 Typographie : points de suspension. Utilisez le caractère dédié. [[90:93]] => Vous pouvez diffuser cette clé par le moyen de votre choix (copie par clé usb, envoi email...) <|> ... => suggestions : ['…']

51 Mot inconnu : vnc [[61:64]] => ===== Configuration du poste serveur et prise à distance via vnc===== <|> vnc

64 Mot inconnu : vnc [[37:40]] => Il est inutile de laisser le serveur vnc activé tout le temps, si le but est de ne l'utiliser que par ssh. <|> vnc
64 Mot inconnu : ssh [[102:105]] => Il est inutile de laisser le serveur vnc activé tout le temps, si le but est de ne l'utiliser que par ssh. <|> ssh

66 Forme interrogative ? Mettez un trait d’union. [[0:14]] => connectez vous au serveur avec la ligne suivante: <|> connectez vous => suggestions : ['connectez-vous']

70 Mot inconnu : x11vnc [[25:31]] => depuis le serveur lancez x11vnc: <|> x11vnc

80 Typographie : points de suspension. Utilisez le caractère dédié. [[89:92]] => Un message doit vous demander sur le poste serveur si vous autorisez la prise de contrôle... <|> ... => suggestions : ['…']

82 Mot inconnu : __ [[0:2]] => __//contributeurs//__: djoser, <|> __
82 Mot inconnu : __ [[19:21]] => __//contributeurs//__: djoser, <|> __
82 Mot inconnu : djoser [[23:29]] => __//contributeurs//__: djoser, <|> djoser
