
7 Mot inconnu : Doxygen => ======= Doxygen ====== | doxygen

10 Mot inconnu : Doxygen => **Doxygen** est un système de documentation pour C, C++, Java, Python, Php et autres langages. Il permet de générer la documentation de vos développements :  | doxygen
10 Mot inconnu : Php => **Doxygen** est un système de documentation pour C, C++, Java, Python, Php et autres langages. Il permet de générer la documentation de vos développements :  | php
10 Espace(s) en fin de ligne à supprimer. => **Doxygen** est un système de documentation pour C, C++, Java, Python, Php et autres langages. Il permet de générer la documentation de vos développements :  |   => suggestions : ['']

14 Mot inconnu : RTF => La documentation peut être produite dans des formats variés tels que du HTML, du [[Latex]], du RTF ou du XML. | rtf

16 Mot inconnu : Doxygen => Doxygen est un logiciel libre, publié sous licence GPL V2.0. | doxygen
16 Mot inconnu : V2 => Doxygen est un logiciel libre, publié sous licence GPL V2.0. | v2
19 Espace(s) en fin de ligne à supprimer. => Pré-requis :  |   => suggestions : ['']
26 Espace(s) en fin de ligne à supprimer. => Ouvrez un terminal et entrez la commande suivante :  |   => suggestions : ['']

30 Mot inconnu : wizard => Le bouton wizard vous permet  | wizard
30 Espace(s) en fin de ligne à supprimer. => Le bouton wizard vous permet  |   => suggestions : ['']

38 Accord de nombre erroné : « boutons » est au pluriel. => Le boutons Save vous permet de sauvegarder votre projet de documentation, après configuration. | le => suggestions : ['Les']
38 Accord de nombre erroné : « boutons » devrait être au singulier. => Le boutons Save vous permet de sauvegarder votre projet de documentation, après configuration. | boutons => suggestions : ['bouté', 'bouton']
38 Mot inconnu : Save => Le boutons Save vous permet de sauvegarder votre projet de documentation, après configuration. | save

40 Mot inconnu : Run => Il ne vous reste alors plus qu'à cliquer sur Run pour obtenir le résultat. Libre à vous ensuite d'aller personnaliser votre [[Latex]] ou d'associer votre CSS à la documentation générée. | run

43 Mot inconnu : wizard => Il est conseillé de commencer avec le wizard, au moins à fin de créer votre //DoxyFile// (que vous pouvez nommer comme vous le souhaitez). | wizard
43 Mot inconnu : DoxyFile => Il est conseillé de commencer avec le wizard, au moins à fin de créer votre //DoxyFile// (que vous pouvez nommer comme vous le souhaitez). | doxyfile

48 Typographie : points de suspension. Utilisez le caractère dédié. => Pour intégrer des graphes de classe, de collaboration... doxygen donne accès, en mode //wizard// à un onglet //diagram//, et en mode //expert// aux paramètres //DOT// qui permet d'utiliser graphViz pour les générer.\\ | ... => suggestions : ['…']
48 Mot inconnu : doxygen => Pour intégrer des graphes de classe, de collaboration... doxygen donne accès, en mode //wizard// à un onglet //diagram//, et en mode //expert// aux paramètres //DOT// qui permet d'utiliser graphViz pour les générer.\\ | doxygen
48 Mot inconnu : wizard => Pour intégrer des graphes de classe, de collaboration... doxygen donne accès, en mode //wizard// à un onglet //diagram//, et en mode //expert// aux paramètres //DOT// qui permet d'utiliser graphViz pour les générer.\\ | wizard
48 Mot inconnu : diagram => Pour intégrer des graphes de classe, de collaboration... doxygen donne accès, en mode //wizard// à un onglet //diagram//, et en mode //expert// aux paramètres //DOT// qui permet d'utiliser graphViz pour les générer.\\ | diagram
48 Mot inconnu : graphViz => Pour intégrer des graphes de classe, de collaboration... doxygen donne accès, en mode //wizard// à un onglet //diagram//, et en mode //expert// aux paramètres //DOT// qui permet d'utiliser graphViz pour les générer.\\ | graphviz
