1 Mot inconnu : Ptunnel => ====== Ptunnel ====== | ptunnel

3 Mot inconnu : Ptunnel => Ptunnel est une application qui permet de faire passer une connection TCP à travers le protocole ICMP (autrement dit, à travers le ping). A première vue, cela peut paraître inutile, mais ça peut être utile dans certains cas. Par exemple en cas d'utilisation d'un hotspot payant qui ne bloque pas le ping vers l'extérieur. | ptunnel
3 Mot inconnu : connection => Ptunnel est une application qui permet de faire passer une connection TCP à travers le protocole ICMP (autrement dit, à travers le ping). A première vue, cela peut paraître inutile, mais ça peut être utile dans certains cas. Par exemple en cas d'utilisation d'un hotspot payant qui ne bloque pas le ping vers l'extérieur. | connection
3 Mot inconnu : TCP => Ptunnel est une application qui permet de faire passer une connection TCP à travers le protocole ICMP (autrement dit, à travers le ping). A première vue, cela peut paraître inutile, mais ça peut être utile dans certains cas. Par exemple en cas d'utilisation d'un hotspot payant qui ne bloque pas le ping vers l'extérieur. | tcp
3 Mot inconnu : ICMP => Ptunnel est une application qui permet de faire passer une connection TCP à travers le protocole ICMP (autrement dit, à travers le ping). A première vue, cela peut paraître inutile, mais ça peut être utile dans certains cas. Par exemple en cas d'utilisation d'un hotspot payant qui ne bloque pas le ping vers l'extérieur. | icmp
3 Mot inconnu : ping => Ptunnel est une application qui permet de faire passer une connection TCP à travers le protocole ICMP (autrement dit, à travers le ping). A première vue, cela peut paraître inutile, mais ça peut être utile dans certains cas. Par exemple en cas d'utilisation d'un hotspot payant qui ne bloque pas le ping vers l'extérieur. | ping
3 S’il s’agit de la préposition « à », il faut accentuer la majuscule. => Ptunnel est une application qui permet de faire passer une connection TCP à travers le protocole ICMP (autrement dit, à travers le ping). A première vue, cela peut paraître inutile, mais ça peut être utile dans certains cas. Par exemple en cas d'utilisation d'un hotspot payant qui ne bloque pas le ping vers l'extérieur. | a => suggestions : ['À']
3 Mot inconnu : hotspot => Ptunnel est une application qui permet de faire passer une connection TCP à travers le protocole ICMP (autrement dit, à travers le ping). A première vue, cela peut paraître inutile, mais ça peut être utile dans certains cas. Par exemple en cas d'utilisation d'un hotspot payant qui ne bloque pas le ping vers l'extérieur. | hotspot
3 Mot inconnu : ping => Ptunnel est une application qui permet de faire passer une connection TCP à travers le protocole ICMP (autrement dit, à travers le ping). A première vue, cela peut paraître inutile, mais ça peut être utile dans certains cas. Par exemple en cas d'utilisation d'un hotspot payant qui ne bloque pas le ping vers l'extérieur. | ping

7 Mot inconnu : Ptunnel => Ptunnel n'est pas une usine à gaz mais il fait ce qu'il est sensé faire. Voici ce qu'il peut faire: | ptunnel
7 Si « mais » est la conjonction de coordination, une virgule est souhaitable si elle introduit une nouvelle proposition. => Ptunnel n'est pas une usine à gaz mais il fait ce qu'il est sensé faire. Voici ce qu'il peut faire: |  mais => suggestions : [', mais']
7 Confusion : “sensé” se dit de quelqu’un de “bon sens”. Pour ce qui est attendu, écrivez “censé”. => Ptunnel n'est pas une usine à gaz mais il fait ce qu'il est sensé faire. Voici ce qu'il peut faire: | sensé => suggestions : ['censé']

9 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Tunnel TCP utilisant les requêtes echo ICMP et leurs paquets de réponse |      => suggestions : ['']
9 Mot inconnu : TCP =>     * Tunnel TCP utilisant les requêtes echo ICMP et leurs paquets de réponse | tcp
9 Mot inconnu : echo =>     * Tunnel TCP utilisant les requêtes echo ICMP et leurs paquets de réponse | echo
9 Mot inconnu : ICMP =>     * Tunnel TCP utilisant les requêtes echo ICMP et leurs paquets de réponse | icmp

10 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * La connection est fiable (les paquets perdus sont réémis) |      => suggestions : ['']
10 Mot inconnu : connection =>     * La connection est fiable (les paquets perdus sont réémis) | connection

11 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Plusieurs connections simultanées sont possibles |      => suggestions : ['']
11 Conjugaison erronée. Accord avec “Plusieurs”. Le verbe devrait être à la 3ᵉ personne du pluriel. =>     * Plusieurs connections simultanées sont possibles | connections => suggestions : ['connectaient']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * Une bande passante malheureusement assez faible mais suffisante pour consulter ses mails (50kb/s en UP pour 150 en Down) |      => suggestions : ['']
12 Écriture invariable. Utilisez un point médian. =>     * Une bande passante malheureusement assez faible mais suffisante pour consulter ses mails (50kb/s en UP pour 150 en Down) | 50kb/s => suggestions : ['50kb·s']
12 Mot inconnu : kb =>     * Une bande passante malheureusement assez faible mais suffisante pour consulter ses mails (50kb/s en UP pour 150 en Down) | kb
12 Mot inconnu : UP =>     * Une bande passante malheureusement assez faible mais suffisante pour consulter ses mails (50kb/s en UP pour 150 en Down) | up
12 Mot inconnu : Down =>     * Une bande passante malheureusement assez faible mais suffisante pour consulter ses mails (50kb/s en UP pour 150 en Down) | down

13 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>     * L'authentification, pour éviter que n'importe qui utilise la connexion |      => suggestions : ['']

