
4 Mot inconnu : Gpsman => ====== Gpsman ====== | gpsman

8 Mot inconnu : GPSMAN => GPSMAN est un logiciel de cartographie type "carte sur table" ou "gpstrack". | gpsman
8 Guillemets typographiques ouvrants. => GPSMAN est un logiciel de cartographie type "carte sur table" ou "gpstrack". | " => suggestions : ['«\xa0', '“']
8 Guillemets typographiques fermants. => GPSMAN est un logiciel de cartographie type "carte sur table" ou "gpstrack". | " => suggestions : ['\xa0»', '”']
8 Guillemets typographiques ouvrants. => GPSMAN est un logiciel de cartographie type "carte sur table" ou "gpstrack". | " => suggestions : ['«\xa0', '“']
8 Mot inconnu : gpstrack => GPSMAN est un logiciel de cartographie type "carte sur table" ou "gpstrack". | gpstrack
8 Guillemets typographiques fermants. => GPSMAN est un logiciel de cartographie type "carte sur table" ou "gpstrack". | " => suggestions : ['\xa0»', '”']

10 Guillemets typographiques ouvrants. => Il se distingue de "cartoexplorer" ou "géorando" dans le sens ou vous devez vous même fournir les cartes, le logiciel n'en contenant aucune. | " => suggestions : ['«\xa0', '“']
10 Mot inconnu : cartoexplorer => Il se distingue de "cartoexplorer" ou "géorando" dans le sens ou vous devez vous même fournir les cartes, le logiciel n'en contenant aucune. | cartoexplorer
10 Guillemets typographiques fermants. => Il se distingue de "cartoexplorer" ou "géorando" dans le sens ou vous devez vous même fournir les cartes, le logiciel n'en contenant aucune. | " => suggestions : ['\xa0»', '”']
10 Guillemets typographiques ouvrants. => Il se distingue de "cartoexplorer" ou "géorando" dans le sens ou vous devez vous même fournir les cartes, le logiciel n'en contenant aucune. | " => suggestions : ['«\xa0', '“']
10 Mot inconnu : géorando => Il se distingue de "cartoexplorer" ou "géorando" dans le sens ou vous devez vous même fournir les cartes, le logiciel n'en contenant aucune. | géorando
10 Guillemets typographiques fermants. => Il se distingue de "cartoexplorer" ou "géorando" dans le sens ou vous devez vous même fournir les cartes, le logiciel n'en contenant aucune. | " => suggestions : ['\xa0»', '”']
10 Il manque un trait d’union si “même” se rapporte à “vous”. => Il se distingue de "cartoexplorer" ou "géorando" dans le sens ou vous devez vous même fournir les cartes, le logiciel n'en contenant aucune. | vous même => suggestions : ['vous-même']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

13 Mot inconnu : GPSMAN => GPSMAN sait dialoguer avec certains gps, ce qui permet d'afficher sur une carte, les parcours que vous avez réalisés sur le terrain. | gpsman
13 Mot inconnu : gps => GPSMAN sait dialoguer avec certains gps, ce qui permet d'afficher sur une carte, les parcours que vous avez réalisés sur le terrain. | gps

16 Mot inconnu : gps => Il permet également le tracé d'un circuit sur la carte qui pourra être transféré dans le gps pour guider la personne sur le terrain. | gps

17 Mot inconnu : convertion => Il permet la convertion au format gpx ou kml (entre autre) de vos traces | convertion
17 Mot inconnu : gpx => Il permet la convertion au format gpx ou kml (entre autre) de vos traces | gpx
17 Mot inconnu : kml => Il permet la convertion au format gpx ou kml (entre autre) de vos traces | kml
17 La locution “entre autres”, toujours au pluriel. => Il permet la convertion au format gpx ou kml (entre autre) de vos traces | autre => suggestions : ['autres']

19 Typographie : points de suspension. Utilisez le caractère dédié. => il affiche les caractéristiques de vos traces (longueur, vitesse, dénivelé.... sous forme de texte et de graph....) | .... => suggestions : ['…']
19 Mot inconnu : graph => il affiche les caractéristiques de vos traces (longueur, vitesse, dénivelé.... sous forme de texte et de graph....) | graph
19 Typographie : points de suspension. Utilisez le caractère dédié. => il affiche les caractéristiques de vos traces (longueur, vitesse, dénivelé.... sous forme de texte et de graph....) | .... => suggestions : ['…']

21 Mot inconnu : gps => Ce soft est le complément indispensable à tous gps de randonnée sous linux | gps
21 Mot inconnu : linux => Ce soft est le complément indispensable à tous gps de randonnée sous linux | linux

29 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   |   => suggestions : ['']

30 Mot inconnu : dépots => Vous pouvez utiliser les dépots officiels de votre distribution préférée pour installer **gpsman**. | dépots
30 Mot inconnu : gpsman => Vous pouvez utiliser les dépots officiels de votre distribution préférée pour installer **gpsman**. | gpsman

34 Espace(s) surnuméraire(s) à supprimer. => <note>Si vous n'installez pas  Img Tcl/Tk, gpsman tournera correctement, mais vos cartes devront être au format GIF ou PNG. |    => suggestions : [' ']
