
4 Mot inconnu : KDE => ====== KDE Connect ====== | kde
4 Mot inconnu : Connect => ====== KDE Connect ====== | connect

6 Mot inconnu : KDE => **KDE Connect permet une interaction entre son téléphone Android et son PC sous KDE.** | kde
6 Mot inconnu : Connect => **KDE Connect permet une interaction entre son téléphone Android et son PC sous KDE.** | connect
6 Mot inconnu : KDE => **KDE Connect permet une interaction entre son téléphone Android et son PC sous KDE.** | kde

16 Mot inconnu : Play => Voici le résumé de Google Play Store : | play

37 Mot inconnu : kde-connect => Pour l'installer, il suffit de se rendre sur la page des extensions de Gnome, de l'installer et d'appairer le PC et le smartphone depuis l'application kde-connect. | kde-connect
40 Mot inconnu : kde => Pour toutes les autres variantes non QT (non kde) : | kde
49 Mot inconnu : KDE => Il faut que les appareils à synchroniser soient sur le même réseau personnel : le pc sous KDE (en Wifi ou Ethernet), et le mobile Android (en Wifi). | kde

51 Pas d’espace après ce signe. => Ouvrir la configuration du système ( Applications -> Configuration -> Configuration du système ). | (  => suggestions : ['(']
51 Pas d’espace avant ce signe. => Ouvrir la configuration du système ( Applications -> Configuration -> Configuration du système ). |  ) => suggestions : [')']

53 Mot inconnu : KDE => Ouvrir KDE Connect se trouvant en bas, dans le menu // Matériel //. | kde
53 Mot inconnu : Connect => Ouvrir KDE Connect se trouvant en bas, dans le menu // Matériel //. | connect

57 Mot inconnu : KDE => Depuis le PC nous pouvons maintenant voir dans la fenêtre de configuration de KDE connect le (ou les) appareils sur le réseau : | kde
57 Mot inconnu : connect => Depuis le PC nous pouvons maintenant voir dans la fenêtre de configuration de KDE connect le (ou les) appareils sur le réseau : | connect

61 Guillemets typographiques ouvrants. => Il suffit ensuite de cliquer sur "Demander un appairement", une notification arrive sur le téléphone, il suffit d'accepter celle-ci. | " => suggestions : ['«\xa0', '“']
61 Mot inconnu : appairement => Il suffit ensuite de cliquer sur "Demander un appairement", une notification arrive sur le téléphone, il suffit d'accepter celle-ci. | appairement
61 Guillemets typographiques fermants. => Il suffit ensuite de cliquer sur "Demander un appairement", une notification arrive sur le téléphone, il suffit d'accepter celle-ci. | " => suggestions : ['\xa0»', '”']

65 Il manque probablement un trait d’union. => Le fonctionnement est automatique pour le presse papier ou les notifications, seul pour l'utilisation de la télécommande, il faut ouvrir l'application depuis le mobile. | presse papier => suggestions : ['presse-papier']

73 Mot inconnu : Send => L'application téléphonique permet d'envoyer n'importe quel fichier du téléphone via l'option **// Send files //**. Le logiciel permet aussi bien la navigation dans la mémoire interne que dans la carte SD du mobile. Il gère également différentes applications comme // Galerie // ou // Dropbox //(r). | send
73 Mot inconnu : SD => L'application téléphonique permet d'envoyer n'importe quel fichier du téléphone via l'option **// Send files //**. Le logiciel permet aussi bien la navigation dans la mémoire interne que dans la carte SD du mobile. Il gère également différentes applications comme // Galerie // ou // Dropbox //(r). | sd
73 Mot inconnu : Dropbox => L'application téléphonique permet d'envoyer n'importe quel fichier du téléphone via l'option **// Send files //**. Le logiciel permet aussi bien la navigation dans la mémoire interne que dans la carte SD du mobile. Il gère également différentes applications comme // Galerie // ou // Dropbox //(r). | dropbox

75 Mot inconnu : KDE => Le dossier de réception du PC peut être sélectionné depuis l'application // KDE Connect // du PC. Il suffit de cliquer sur l'icône de paramétrage de l'option // Partager et recevoir //. | kde
75 Mot inconnu : Connect => Le dossier de réception du PC peut être sélectionné depuis l'application // KDE Connect // du PC. Il suffit de cliquer sur l'icône de paramétrage de l'option // Partager et recevoir //. | connect
