
5 Mot inconnu : IBar => ====== IBar ====== | ibar
11 Mot inconnu : shelf => Ce module est une barre de lanceur d'application animée. Plusieurs options s'offrent à vous : l'intégrer dans un shelf ou sur le bureau. | shelf

13 Mot inconnu : iBar => ==== Implémentation de l'iBar dans un shelf ==== | ibar
13 Mot inconnu : shelf => ==== Implémentation de l'iBar dans un shelf ==== | shelf

15 Incohérence avec “d’” : “intégrez” est une forme verbale conjuguée. => Si vous décidez d'intégrez dans un shelf, faites simplement un clique droit sur une partie du shelf qui se trouve en bas de votre écran, pour allez sur shelf 1 puis sur définir le contenu du rack :\\ | intégrez => suggestions : ['intègres', 'intègre']
15 Mot inconnu : shelf => Si vous décidez d'intégrez dans un shelf, faites simplement un clique droit sur une partie du shelf qui se trouve en bas de votre écran, pour allez sur shelf 1 puis sur définir le contenu du rack :\\ | shelf
15 Accord de genre erroné : « clique » est féminin. => Si vous décidez d'intégrez dans un shelf, faites simplement un clique droit sur une partie du shelf qui se trouve en bas de votre écran, pour allez sur shelf 1 puis sur définir le contenu du rack :\\ | un => suggestions : ['une']
15 Accord de genre erroné : « un » est un déterminant masculin. => Si vous décidez d'intégrez dans un shelf, faites simplement un clique droit sur une partie du shelf qui se trouve en bas de votre écran, pour allez sur shelf 1 puis sur définir le contenu du rack :\\ | clique => suggestions : ['clic']
15 Mot inconnu : shelf => Si vous décidez d'intégrez dans un shelf, faites simplement un clique droit sur une partie du shelf qui se trouve en bas de votre écran, pour allez sur shelf 1 puis sur définir le contenu du rack :\\ | shelf
15 Après la préposition “pour”, le verbe devrait être à l’infinitif. => Si vous décidez d'intégrez dans un shelf, faites simplement un clique droit sur une partie du shelf qui se trouve en bas de votre écran, pour allez sur shelf 1 puis sur définir le contenu du rack :\\ | allez => suggestions : ['aller']
15 Mot inconnu : shelf => Si vous décidez d'intégrez dans un shelf, faites simplement un clique droit sur une partie du shelf qui se trouve en bas de votre écran, pour allez sur shelf 1 puis sur définir le contenu du rack :\\ | shelf

17 Mot inconnu : ibar => Une fois la nouvelle fenêtre ouverte, sélectionnez l'ibar dans le choix des gadgets, puis cliquez sur "Ajouter un gadget"\\ | ibar
17 Guillemets typographiques ouvrants. => Une fois la nouvelle fenêtre ouverte, sélectionnez l'ibar dans le choix des gadgets, puis cliquez sur "Ajouter un gadget"\\ | " => suggestions : ['«\xa0', '“']
17 Guillemets typographiques fermants. => Une fois la nouvelle fenêtre ouverte, sélectionnez l'ibar dans le choix des gadgets, puis cliquez sur "Ajouter un gadget"\\ | " => suggestions : ['\xa0»', '”']

19 Mot inconnu : ibar => Vous obtiendrez ainsi l'ibar dans votre shelf du bas :\\ | ibar
19 Mot inconnu : shelf => Vous obtiendrez ainsi l'ibar dans votre shelf du bas :\\ | shelf

22 Mot inconnu : iBar => ====Implémentation de l'iBar sur le bureau==== | ibar

24 Accord de genre erroné : « clique » est féminin. => Faites un clique gauche sur le bureau, allez dans Configuration, puis dans Gadgets :\\ | un => suggestions : ['une']
24 Accord de genre erroné : « un » est un déterminant masculin. => Faites un clique gauche sur le bureau, allez dans Configuration, puis dans Gadgets :\\ | clique => suggestions : ['clic']

26 Mot inconnu : ibar => Une fois la nouvelle fenêtre apparue, ajoutez l'ibar, puis cliquez sur Ok. L'ibar est maintenant sur le bureau ; en faisant clique droit dessus, vous pourrez modifier sa taille et son emplacement par "Activer le déplacement/Redimensionnement de ce gadget", le placer verticalement ou horizontalement dans "Apparence", etc :\\ | ibar
26 Mot inconnu : Ok => Une fois la nouvelle fenêtre apparue, ajoutez l'ibar, puis cliquez sur Ok. L'ibar est maintenant sur le bureau ; en faisant clique droit dessus, vous pourrez modifier sa taille et son emplacement par "Activer le déplacement/Redimensionnement de ce gadget", le placer verticalement ou horizontalement dans "Apparence", etc :\\ | ok
26 Mot inconnu : ibar => Une fois la nouvelle fenêtre apparue, ajoutez l'ibar, puis cliquez sur Ok. L'ibar est maintenant sur le bureau ; en faisant clique droit dessus, vous pourrez modifier sa taille et son emplacement par "Activer le déplacement/Redimensionnement de ce gadget", le placer verticalement ou horizontalement dans "Apparence", etc :\\ | ibar
26 Guillemets typographiques ouvrants. => Une fois la nouvelle fenêtre apparue, ajoutez l'ibar, puis cliquez sur Ok. L'ibar est maintenant sur le bureau ; en faisant clique droit dessus, vous pourrez modifier sa taille et son emplacement par "Activer le déplacement/Redimensionnement de ce gadget", le placer verticalement ou horizontalement dans "Apparence", etc :\\ | " => suggestions : ['«\xa0', '“']
26 Guillemets typographiques fermants. => Une fois la nouvelle fenêtre apparue, ajoutez l'ibar, puis cliquez sur Ok. L'ibar est maintenant sur le bureau ; en faisant clique droit dessus, vous pourrez modifier sa taille et son emplacement par "Activer le déplacement/Redimensionnement de ce gadget", le placer verticalement ou horizontalement dans "Apparence", etc :\\ | " => suggestions : ['\xa0»', '”']
26 Guillemets typographiques ouvrants. => Une fois la nouvelle fenêtre apparue, ajoutez l'ibar, puis cliquez sur Ok. L'ibar est maintenant sur le bureau ; en faisant clique droit dessus, vous pourrez modifier sa taille et son emplacement par "Activer le déplacement/Redimensionnement de ce gadget", le placer verticalement ou horizontalement dans "Apparence", etc :\\ | " => suggestions : ['«\xa0', '“']
26 Guillemets typographiques fermants. => Une fois la nouvelle fenêtre apparue, ajoutez l'ibar, puis cliquez sur Ok. L'ibar est maintenant sur le bureau ; en faisant clique droit dessus, vous pourrez modifier sa taille et son emplacement par "Activer le déplacement/Redimensionnement de ce gadget", le placer verticalement ou horizontalement dans "Apparence", etc :\\ | " => suggestions : ['\xa0»', '”']

28 Il manque un trait d’union. => Vous pouvez aussi demander à ce qu'il soit au dessus des fenêtres en sélectionnant l'option dans "Comportement". Dans ce cas,l'ibar disparaîtra de l'écran et vous pourrez y accéder en tapant ctrl+alt+g, et revenir à la normal en tapant à nouveau ctrl+alt+g :\\ | au dessus => suggestions : ['au-dessus']
28 Guillemets typographiques ouvrants. => Vous pouvez aussi demander à ce qu'il soit au dessus des fenêtres en sélectionnant l'option dans "Comportement". Dans ce cas,l'ibar disparaîtra de l'écran et vous pourrez y accéder en tapant ctrl+alt+g, et revenir à la normal en tapant à nouveau ctrl+alt+g :\\ | " => suggestions : ['«\xa0', '“']
