
4 Mot inconnu : CAPT [[47:51]] => ====== Installer le pilote d'imprimantes Canon CAPT ====== <|> capt

5 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>  

19 Espace(s) surnuméraire(s) à supprimer. [[34:36]] => Une fois télécharger, les fichiers  devrait se trouver par défaut dans le dossier //**Téléchargements**// du compte utilisateur en cours.\\ <|>    => suggestions :  
19 Conjugaison erronée. Accord avec “les fichiers…”. Le verbe devrait être à la 3ᵉ personne du pluriel. [[36:43]] => Une fois télécharger, les fichiers  devrait se trouver par défaut dans le dossier //**Téléchargements**// du compte utilisateur en cours.\\ <|> devrait => suggestions : devraient

34 Mot inconnu : linux-capt-drv-v271-uken [[20:44]] => Depuis le dossier **linux-capt-drv-v271-uken**, naviguez jusqu'au chemin //**32-bit_Driver**//. <|> linux-capt-drv-v271-uken
34 Mot inconnu : bit_Driver [[80:90]] => Depuis le dossier **linux-capt-drv-v271-uken**, naviguez jusqu'au chemin //**32-bit_Driver**//. <|> bit_driver
37 Mot inconnu : cndrvcups-common_3 [[6:24]] =>   * **cndrvcups-common_3.21-1_i386.deb**  <|> cndrvcups-common_3
37 Mot inconnu : _i386 [[29:34]] =>   * **cndrvcups-common_3.21-1_i386.deb**  <|> _i386
37 Espace(s) en fin de ligne à supprimer. [[40:41]] =>   * **cndrvcups-common_3.21-1_i386.deb**  <|>  
38 Mot inconnu : cndrvcups-capt_2 [[6:22]] =>   * **cndrvcups-capt_2.71-1_i386.deb** <|> cndrvcups-capt_2
38 Mot inconnu : _i386 [[27:32]] =>   * **cndrvcups-capt_2.71-1_i386.deb** <|> _i386

47 Mot inconnu : linux-capt-drv-v271-uken [[20:44]] => Depuis le dossier **linux-capt-drv-v271-uken**, naviguez jusqu'au chemin //**64-bit_Driver**//. <|> linux-capt-drv-v271-uken
47 Mot inconnu : bit_Driver [[80:90]] => Depuis le dossier **linux-capt-drv-v271-uken**, naviguez jusqu'au chemin //**64-bit_Driver**//. <|> bit_driver
50 Mot inconnu : cndrvcups-common_3 [[6:24]] =>   * **cndrvcups-common_3.21-1_amd64.deb**  <|> cndrvcups-common_3
50 Mot inconnu : _amd64 [[29:35]] =>   * **cndrvcups-common_3.21-1_amd64.deb**  <|> _amd64
50 Espace(s) en fin de ligne à supprimer. [[41:42]] =>   * **cndrvcups-common_3.21-1_amd64.deb**  <|>  
51 Mot inconnu : cndrvcups-capt_2 [[6:22]] =>   * **cndrvcups-capt_2.71-1_amd64.deb** <|> cndrvcups-capt_2
51 Mot inconnu : _amd64 [[27:33]] =>   * **cndrvcups-capt_2.71-1_amd64.deb** <|> _amd64
64 Mot inconnu : CNCUPSxxxxCAPTK [[93:108]] => Pour la plupart des modèles, vous trouverez 2 fichiers correspondants à votre imprimante : //CNCUPSxxxxCAPTK.ppd// et //CNCUPSxxxxCAPTJ.ppd//.\\  <|> cncupsxxxxcaptk
