
3 Mot inconnu : Compiz => ====== Compiz: Problèmes connus ====== | compiz

6 Mot inconnu : error => ===== error while loading shared libraries: libGL.so.1: cannot open shared object file: No such file or directory ===== | error
6 Mot inconnu : while => ===== error while loading shared libraries: libGL.so.1: cannot open shared object file: No such file or directory ===== | while
6 Mot inconnu : loading => ===== error while loading shared libraries: libGL.so.1: cannot open shared object file: No such file or directory ===== | loading
6 Mot inconnu : shared => ===== error while loading shared libraries: libGL.so.1: cannot open shared object file: No such file or directory ===== | shared
6 Mot inconnu : libraries => ===== error while loading shared libraries: libGL.so.1: cannot open shared object file: No such file or directory ===== | libraries
6 Mot inconnu : libGL => ===== error while loading shared libraries: libGL.so.1: cannot open shared object file: No such file or directory ===== | libgl
6 Mot inconnu : so => ===== error while loading shared libraries: libGL.so.1: cannot open shared object file: No such file or directory ===== | so
6 Mot inconnu : cannot => ===== error while loading shared libraries: libGL.so.1: cannot open shared object file: No such file or directory ===== | cannot
6 Mot inconnu : shared => ===== error while loading shared libraries: libGL.so.1: cannot open shared object file: No such file or directory ===== | shared
6 Mot inconnu : object => ===== error while loading shared libraries: libGL.so.1: cannot open shared object file: No such file or directory ===== | object
6 Mot inconnu : such => ===== error while loading shared libraries: libGL.so.1: cannot open shared object file: No such file or directory ===== | such
6 Mot inconnu : directory => ===== error while loading shared libraries: libGL.so.1: cannot open shared object file: No such file or directory ===== | directory

15 Mot inconnu : Desktop => ===== Desktop effects could not be enabled - Problème au lancement de Compiz ===== | desktop
15 Mot inconnu : effects => ===== Desktop effects could not be enabled - Problème au lancement de Compiz ===== | effects
15 Mot inconnu : could => ===== Desktop effects could not be enabled - Problème au lancement de Compiz ===== | could
15 Mot inconnu : not => ===== Desktop effects could not be enabled - Problème au lancement de Compiz ===== | not
15 Mot inconnu : enabled => ===== Desktop effects could not be enabled - Problème au lancement de Compiz ===== | enabled
15 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ===== Desktop effects could not be enabled - Problème au lancement de Compiz ===== |  -  => suggestions : [' – ', ' — ', ' − ']
15 Mot inconnu : Compiz => ===== Desktop effects could not be enabled - Problème au lancement de Compiz ===== | compiz

16 Mot inconnu : Compiz => Peut survenir lorsque l'on essaie de démarrer Compiz.  | compiz
16 Espace(s) en fin de ligne à supprimer. => Peut survenir lorsque l'on essaie de démarrer Compiz.  |   => suggestions : ['']

19 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   compiz --replace |    => suggestions : ['']
19 Mot inconnu : compiz =>   compiz --replace | compiz
21 Espace(s) en fin de ligne à supprimer. => Puis reportez-vous à la partie concernant votre message d'erreur :  |   => suggestions : ['']

25 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ===Cas 1 - Less than 65536kb of memory and nVidiaaborting and using fallback: /usr/bin/metacity.===  |  -  => suggestions : [' – ', ' — ', ' − ']
25 Mot inconnu : Less => ===Cas 1 - Less than 65536kb of memory and nVidiaaborting and using fallback: /usr/bin/metacity.===  | less
25 Mot inconnu : than => ===Cas 1 - Less than 65536kb of memory and nVidiaaborting and using fallback: /usr/bin/metacity.===  | than
25 Mot inconnu : kb => ===Cas 1 - Less than 65536kb of memory and nVidiaaborting and using fallback: /usr/bin/metacity.===  | kb
25 Mot inconnu : of => ===Cas 1 - Less than 65536kb of memory and nVidiaaborting and using fallback: /usr/bin/metacity.===  | of
25 Mot inconnu : memory => ===Cas 1 - Less than 65536kb of memory and nVidiaaborting and using fallback: /usr/bin/metacity.===  | memory
25 Mot inconnu : and => ===Cas 1 - Less than 65536kb of memory and nVidiaaborting and using fallback: /usr/bin/metacity.===  | and
25 Mot inconnu : nVidiaaborting => ===Cas 1 - Less than 65536kb of memory and nVidiaaborting and using fallback: /usr/bin/metacity.===  | nvidiaaborting
25 Mot inconnu : and => ===Cas 1 - Less than 65536kb of memory and nVidiaaborting and using fallback: /usr/bin/metacity.===  | and
25 Mot inconnu : using => ===Cas 1 - Less than 65536kb of memory and nVidiaaborting and using fallback: /usr/bin/metacity.===  | using
25 Mot inconnu : fallback => ===Cas 1 - Less than 65536kb of memory and nVidiaaborting and using fallback: /usr/bin/metacity.===  | fallback
25 Espace(s) en fin de ligne à supprimer. => ===Cas 1 - Less than 65536kb of memory and nVidiaaborting and using fallback: /usr/bin/metacity.===  |   => suggestions : ['']

35 Tiret d’incise : un tiret demi-cadratin [1] ou cadratin [2] est requis. (Ou éventuellement le signe “moins” [3], s’il s’agit d’une soustraction.) => ===Cas 2 - Compiz ne se lance pas à chaque ouverture de session=== |  -  => suggestions : [' – ', ' — ', ' − ']
35 Mot inconnu : Compiz => ===Cas 2 - Compiz ne se lance pas à chaque ouverture de session=== | compiz

36 Confusion : “a” est une conjugaison du verbe “avoir”. Pour la préposition, écrivez “à”. => <note>Cette méthode a été utilisée après la mise a niveau de Ubuntu 11.04 vers Ubuntu 11.10 et après avoirs remis Gnome //(Pour remettre Gnome :  [[https://forum.ubuntu-fr.org/viewtopic.php?id=670871|Remettre Gnome]])//</note> | a => suggestions : ['à']
36 Espace(s) surnuméraire(s) à supprimer. => <note>Cette méthode a été utilisée après la mise a niveau de Ubuntu 11.04 vers Ubuntu 11.10 et après avoirs remis Gnome //(Pour remettre Gnome :  [[https://forum.ubuntu-fr.org/viewtopic.php?id=670871|Remettre Gnome]])//</note> |    => suggestions : [' ']

37 Mot inconnu : Compiz => Si à chaque démarrage, Compiz ne démarre pas, il suffit de le mettre en application au démarrage. | compiz

40 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   - Cliquez ensuite sur : //**Ajouter**// pour ajouter une nouvelle commande |    => suggestions : ['']
