
5 Mot inconnu : Xen => ====== Xen ====== | xen

8 Erreur de numérisation ? Virgules au lieu de points ? => Il permet donc de faire tourner plusieurs systèmes d'exploitation (OS) sur une même ressource matérielle (PC, Serveur,...). | ,... => suggestions : ['….']
8 Typographie : points de suspension. Utilisez le caractère dédié. => Il permet donc de faire tourner plusieurs systèmes d'exploitation (OS) sur une même ressource matérielle (PC, Serveur,...). | ... => suggestions : ['…']

12 Mot inconnu : kernel => Les choses ont beaucoup changé puisque le kernel Linux, à partir de la version 3, intègre nativement Xen. Dès lors il est capable de fonctionner en Dom0 ou DomU sans recompilation ou manipulation.  | kernel
12 Mot inconnu : Xen => Les choses ont beaucoup changé puisque le kernel Linux, à partir de la version 3, intègre nativement Xen. Dès lors il est capable de fonctionner en Dom0 ou DomU sans recompilation ou manipulation.  | xen
12 Mot inconnu : Dom0 => Les choses ont beaucoup changé puisque le kernel Linux, à partir de la version 3, intègre nativement Xen. Dès lors il est capable de fonctionner en Dom0 ou DomU sans recompilation ou manipulation.  | dom0
12 Mot inconnu : DomU => Les choses ont beaucoup changé puisque le kernel Linux, à partir de la version 3, intègre nativement Xen. Dès lors il est capable de fonctionner en Dom0 ou DomU sans recompilation ou manipulation.  | domu
12 Espace(s) en fin de ligne à supprimer. => Les choses ont beaucoup changé puisque le kernel Linux, à partir de la version 3, intègre nativement Xen. Dès lors il est capable de fonctionner en Dom0 ou DomU sans recompilation ou manipulation.  |   => suggestions : ['']

14 Mot inconnu : kernel => Le principe de l'hyperviseur est de faire tourner les OS dans le noyau (kernel) même, et non-pas de les émuler, ce qui permet de conserver des performances proches des natives. | kernel
16 Mot inconnu : Xen => Les systèmes d'exploitation invités ont « conscience » du Xen sous-jacent, ils ont besoin d'être « portés » (adaptés) pour fonctionner sur Xen. Linux, NetBSD, FreeBSD (portage en cours), Plan 9 et GNU Hurd peuvent d'ores et déjà fonctionner sur Xen. | xen
16 Mot inconnu : Xen => Les systèmes d'exploitation invités ont « conscience » du Xen sous-jacent, ils ont besoin d'être « portés » (adaptés) pour fonctionner sur Xen. Linux, NetBSD, FreeBSD (portage en cours), Plan 9 et GNU Hurd peuvent d'ores et déjà fonctionner sur Xen. | xen
16 Mot inconnu : NetBSD => Les systèmes d'exploitation invités ont « conscience » du Xen sous-jacent, ils ont besoin d'être « portés » (adaptés) pour fonctionner sur Xen. Linux, NetBSD, FreeBSD (portage en cours), Plan 9 et GNU Hurd peuvent d'ores et déjà fonctionner sur Xen. | netbsd
16 Mot inconnu : Hurd => Les systèmes d'exploitation invités ont « conscience » du Xen sous-jacent, ils ont besoin d'être « portés » (adaptés) pour fonctionner sur Xen. Linux, NetBSD, FreeBSD (portage en cours), Plan 9 et GNU Hurd peuvent d'ores et déjà fonctionner sur Xen. | hurd
16 Mot inconnu : Xen => Les systèmes d'exploitation invités ont « conscience » du Xen sous-jacent, ils ont besoin d'être « portés » (adaptés) pour fonctionner sur Xen. Linux, NetBSD, FreeBSD (portage en cours), Plan 9 et GNU Hurd peuvent d'ores et déjà fonctionner sur Xen. | xen

18 Mot inconnu : Xen => Xen 3 peut également exécuter des systèmes non modifiés comme Windows sur des processeurs supportant les technologies VT d'Intel ou AMD-V (nom de projet: Pacifica) de AMD1. | xen
18 Mot inconnu : VT => Xen 3 peut également exécuter des systèmes non modifiés comme Windows sur des processeurs supportant les technologies VT d'Intel ou AMD-V (nom de projet: Pacifica) de AMD1. | vt
18 Mot inconnu : Pacifica => Xen 3 peut également exécuter des systèmes non modifiés comme Windows sur des processeurs supportant les technologies VT d'Intel ou AMD-V (nom de projet: Pacifica) de AMD1. | pacifica
18 Mot inconnu : AMD1 => Xen 3 peut également exécuter des systèmes non modifiés comme Windows sur des processeurs supportant les technologies VT d'Intel ou AMD-V (nom de projet: Pacifica) de AMD1. | amd1

20 Mot inconnu : x86 => Les architectures x86, x64, IA-64, PowerPC et SPARC sont supportées. Le multiprocesseur (SMP) et partiellement l’Hyper-Threading sont supportés. | x86
20 Mot inconnu : x64 => Les architectures x86, x64, IA-64, PowerPC et SPARC sont supportées. Le multiprocesseur (SMP) et partiellement l’Hyper-Threading sont supportés. | x64
20 Mot inconnu : PowerPC => Les architectures x86, x64, IA-64, PowerPC et SPARC sont supportées. Le multiprocesseur (SMP) et partiellement l’Hyper-Threading sont supportés. | powerpc
