
4 Mot inconnu : DWA-131 => ======Carte Wifi DWA-131, "Wireless N Nano USB Adapter"====== | dwa-131
4 Guillemets typographiques ouvrants. => ======Carte Wifi DWA-131, "Wireless N Nano USB Adapter"====== | " => suggestions : ['«\xa0', '“']
4 Mot inconnu : Wireless => ======Carte Wifi DWA-131, "Wireless N Nano USB Adapter"====== | wireless
4 Mot inconnu : Nano => ======Carte Wifi DWA-131, "Wireless N Nano USB Adapter"====== | nano
4 S’il s’agit d’un seul mot, il manque un trait d’union. => ======Carte Wifi DWA-131, "Wireless N Nano USB Adapter"====== | nano usb => suggestions : ['Nano-USB']
4 Guillemets typographiques fermants. => ======Carte Wifi DWA-131, "Wireless N Nano USB Adapter"====== | " => suggestions : ['\xa0»', '”']

6 Mot inconnu : WiFi => Il existe trois versions de cette clé WiFi, pour connaître la votre il faut taper dans un terminal  | wifi
6 Confusion : « votre possession », « la vôtre ». => Il existe trois versions de cette clé WiFi, pour connaître la votre il faut taper dans un terminal  | votre => suggestions : ['vôtre']
6 Espace(s) en fin de ligne à supprimer. => Il existe trois versions de cette clé WiFi, pour connaître la votre il faut taper dans un terminal  |   => suggestions : ['']

12 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * __[[#Révision A1]]__ : (ID 07d1:3303) |    => suggestions : ['']
12 Mot inconnu : __ =>   * __[[#Révision A1]]__ : (ID 07d1:3303) | __
12 Mot inconnu : A1 =>   * __[[#Révision A1]]__ : (ID 07d1:3303) | a1
12 Mot inconnu : __ =>   * __[[#Révision A1]]__ : (ID 07d1:3303) | __
12 Mot inconnu : d1 =>   * __[[#Révision A1]]__ : (ID 07d1:3303) | d1
12 Il manque un espace. =>   * __[[#Révision A1]]__ : (ID 07d1:3303) | 3303 => suggestions : [' 3303']

13 Mot inconnu : Device => Bus 001 Device 003: ID 07d1:3303 D-Link System DWA-131 802.11n Wireless N Nano Adapter(rev.A1) [Realtek RTL8192SU] | device
13 Mot inconnu : d1 => Bus 001 Device 003: ID 07d1:3303 D-Link System DWA-131 802.11n Wireless N Nano Adapter(rev.A1) [Realtek RTL8192SU] | d1
13 Il manque un espace. => Bus 001 Device 003: ID 07d1:3303 D-Link System DWA-131 802.11n Wireless N Nano Adapter(rev.A1) [Realtek RTL8192SU] | 3303 => suggestions : [' 3303']
13 Mot inconnu : D-Link => Bus 001 Device 003: ID 07d1:3303 D-Link System DWA-131 802.11n Wireless N Nano Adapter(rev.A1) [Realtek RTL8192SU] | d-link
13 Mot inconnu : System => Bus 001 Device 003: ID 07d1:3303 D-Link System DWA-131 802.11n Wireless N Nano Adapter(rev.A1) [Realtek RTL8192SU] | system
13 Mot inconnu : DWA-131 => Bus 001 Device 003: ID 07d1:3303 D-Link System DWA-131 802.11n Wireless N Nano Adapter(rev.A1) [Realtek RTL8192SU] | dwa-131
13 Mot inconnu : Wireless => Bus 001 Device 003: ID 07d1:3303 D-Link System DWA-131 802.11n Wireless N Nano Adapter(rev.A1) [Realtek RTL8192SU] | wireless
13 Mot inconnu : Nano => Bus 001 Device 003: ID 07d1:3303 D-Link System DWA-131 802.11n Wireless N Nano Adapter(rev.A1) [Realtek RTL8192SU] | nano
13 Il manque un espace avant la parenthèse. => Bus 001 Device 003: ID 07d1:3303 D-Link System DWA-131 802.11n Wireless N Nano Adapter(rev.A1) [Realtek RTL8192SU] | ( => suggestions : [' (']
13 Mot inconnu : rev => Bus 001 Device 003: ID 07d1:3303 D-Link System DWA-131 802.11n Wireless N Nano Adapter(rev.A1) [Realtek RTL8192SU] | rev
13 Mot inconnu : A1 => Bus 001 Device 003: ID 07d1:3303 D-Link System DWA-131 802.11n Wireless N Nano Adapter(rev.A1) [Realtek RTL8192SU] | a1
13 Mot inconnu : Realtek => Bus 001 Device 003: ID 07d1:3303 D-Link System DWA-131 802.11n Wireless N Nano Adapter(rev.A1) [Realtek RTL8192SU] | realtek
13 Mot inconnu : RTL8192SU => Bus 001 Device 003: ID 07d1:3303 D-Link System DWA-131 802.11n Wireless N Nano Adapter(rev.A1) [Realtek RTL8192SU] | rtl8192su

15 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * __[[#Révision B1]]__ : (ID 2001:330d) |    => suggestions : ['']
15 Mot inconnu : __ =>   * __[[#Révision B1]]__ : (ID 2001:330d) | __
15 Mot inconnu : B1 =>   * __[[#Révision B1]]__ : (ID 2001:330d) | b1
15 Mot inconnu : __ =>   * __[[#Révision B1]]__ : (ID 2001:330d) | __

16 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). =>   * __[[#Révision E1]]__ : (ID  2001:3319) |    => suggestions : ['']
