1 Mot inconnu : HP => ======  HP EliteBook Workstation 8560w ====== | hp
1 Mot inconnu : EliteBook => ======  HP EliteBook Workstation 8560w ====== | elitebook
1 Mot inconnu : Workstation => ======  HP EliteBook Workstation 8560w ====== | workstation

12 Mot inconnu : Touchpad => ^ Version ^ Installation ^ Carte graphique ^ Son ^ Wifi ^ Bluetooth ^ Webcam ^ Touchpad ^ Lecteur d'emprunte ^ DVD ^ WebCam ^ Lecteur de carte SD ^ | touchpad
12 Incohérence avec “d’” : “emprunte” est une forme verbale conjuguée. => ^ Version ^ Installation ^ Carte graphique ^ Son ^ Wifi ^ Bluetooth ^ Webcam ^ Touchpad ^ Lecteur d'emprunte ^ DVD ^ WebCam ^ Lecteur de carte SD ^ | emprunte => suggestions : ['empreintes', 'empreinte']
12 Mot inconnu : WebCam => ^ Version ^ Installation ^ Carte graphique ^ Son ^ Wifi ^ Bluetooth ^ Webcam ^ Touchpad ^ Lecteur d'emprunte ^ DVD ^ WebCam ^ Lecteur de carte SD ^ | webcam
12 Mot inconnu : SD => ^ Version ^ Installation ^ Carte graphique ^ Son ^ Wifi ^ Bluetooth ^ Webcam ^ Touchpad ^ Lecteur d'emprunte ^ DVD ^ WebCam ^ Lecteur de carte SD ^ | sd

21 Si « car » est la conjonction de coordination, une virgule est peut-être souhaitable. => Après installation, le PC est muet car la carte son par défaut est définie sur "HD Audio Generic (HDMI)". |  car => suggestions : [', car']
21 Guillemets typographiques ouvrants. => Après installation, le PC est muet car la carte son par défaut est définie sur "HD Audio Generic (HDMI)". | " => suggestions : ['«\xa0', '“']
21 Mot inconnu : Generic => Après installation, le PC est muet car la carte son par défaut est définie sur "HD Audio Generic (HDMI)". | generic

28 Mot inconnu : Freebox => Après installation le Wifi fonctionne mais Ubuntu ne gère pas correctement le protocole 802.11n. Si vous utilisez un réseau avec cette norme (par exemple une Freebox V5) la connexion ne pose pas de problème mais ensuite le Wifi est très très lent. La solution consiste à désactiver ce protocole Wifi (les autres protocoles Wifi b/g fonctionnent très bien !). | freebox
28 Mot inconnu : V5 => Après installation le Wifi fonctionne mais Ubuntu ne gère pas correctement le protocole 802.11n. Si vous utilisez un réseau avec cette norme (par exemple une Freebox V5) la connexion ne pose pas de problème mais ensuite le Wifi est très très lent. La solution consiste à désactiver ce protocole Wifi (les autres protocoles Wifi b/g fonctionnent très bien !). | v5
