4 Mot inconnu : Extractor [[11:20]] => ====== MKV Extractor GUI ====== <|> extractor
9 Mot inconnu : Creative [[31:39]] => Ce logiciel est sous licence : Creative Common BY-NC-SA. <|> creative
9 Mot inconnu : Common [[40:46]] => Ce logiciel est sous licence : Creative Common BY-NC-SA. <|> common
9 Mot inconnu : BY-NC-SA [[47:55]] => Ce logiciel est sous licence : Creative Common BY-NC-SA. <|> by-nc-sa

14 Espace(s) en début de ligne à supprimer : utilisez les retraits de paragraphe (ou les tabulations à la rigueur). [[0:1]] =>   <|>   => suggestions : None

20 Mot inconnu : matroska [[148:156]] => Ces dépendances ajoutent de nombreuses possibilités au logiciel (visualisation de plus de types de fichier, vérification et optimisation du fichier matroska). <|> matroska

36 L’espace se place après le point, et non avant (ou bien sert de liant entre deux lettres). [[11:13]] => ==== Via le .tar.gz du projet ==== <|>  . => suggestions : None
36 Mot inconnu : gz [[17:19]] => ==== Via le .tar.gz du projet ==== <|> gz
44 Mot inconnu : go_mkv_extractor_gui [[33:53]] =>   * via un clic sur le fichier **go_mkv_extractor_gui.sh** <|> go_mkv_extractor_gui
44 Mot inconnu : sh [[54:56]] =>   * via un clic sur le fichier **go_mkv_extractor_gui.sh** <|> sh
46 Mot inconnu : mkv-extractor-gui [[22:39]] =>   * via la commande **mkv-extractor-gui** <|> mkv-extractor-gui
47 Accord de genre erroné entre “option” et “menu”. [[53:57]] =>   * via un clic droit sur un fichier mkv si l'option menu service / script Nautilus est activée dans le logiciel <|> menu => suggestions : None
51 Mot inconnu : matroska [[70:78]] =>   * En le sélectionnant via la barre de sélection (seuls les fichiers matroska sont affichés). <|> matroska
53 Accord de genre erroné entre “option” et “menu”. [[53:57]] =>   * Via un clic droit sur un fichier mkv si l'option menu service / script Nautilus est activée dans le logiciel. <|> menu => suggestions : None

65 Nombre ordinal. Premier : 1ᵉʳ. Première : 1ʳᵉ. Premiers : 1ᵉʳˢ. Premières : 1ʳᵉˢ. [[71:75]] => La sélection des pistes se fait via un clic sur la case à cocher de la 1ère colonne. <|> 1ère => suggestions : None

69 Mot inconnu : DTS [[32:35]] => La sélection d'un fichier audio DTS  débloque la coche **Convertir les DTS en AC3**. <|> dts
69 Espace(s) surnuméraire(s) à supprimer. [[35:37]] => La sélection d'un fichier audio DTS  débloque la coche **Convertir les DTS en AC3**. <|>    => suggestions : None
69 Mot inconnu : DTS [[71:74]] => La sélection d'un fichier audio DTS  débloque la coche **Convertir les DTS en AC3**. <|> dts
69 Mot inconnu : AC3 [[78:81]] => La sélection d'un fichier audio DTS  débloque la coche **Convertir les DTS en AC3**. <|> ac3
95 Mot inconnu : bmp [[16:19]] =>   * Image (jpg, bmp, png en autre). <|> bmp
96 Mot inconnu : Video [[13:18]] =>   * Audio et Video (avi, mkv, mp3, ogg...). <|> video
96 Typographie : points de suspension. Utilisez le caractère dédié. [[38:41]] =>   * Audio et Video (avi, mkv, mp3, ogg...). <|> ... => suggestions : None
105 Mot inconnu : DTS [[46:49]] =>   * Des paramètres de conversion des fichiers DTS en AC3. <|> dts
105 Mot inconnu : AC3 [[53:56]] =>   * Des paramètres de conversion des fichiers DTS en AC3. <|> ac3
106 Mot inconnu : CZ [[75:77]] =>   * Une gestion de la langue à utiliser, actuellement 3 langues (EN, FR et CZ). <|> cz
115 Accord de nombre erroné : « fichiers » est au pluriel. [[24:26]] =>   * Installation depuis le fichiers tar.gz : C'est à l'utilisateur de télécharger la nouvelle version et de gérer les nouvelles dépendances. <|> le => suggestions : None
115 Accord de nombre erroné : « fichiers » devrait être au singulier. [[27:35]] =>   * Installation depuis le fichiers tar.gz : C'est à l'utilisateur de télécharger la nouvelle version et de gérer les nouvelles dépendances. <|> fichiers => suggestions : None
115 Mot inconnu : gz [[40:42]] =>   * Installation depuis le fichiers tar.gz : C'est à l'utilisateur de télécharger la nouvelle version et de gérer les nouvelles dépendances. <|> gz
130 Mot inconnu : gz [[50:52]] => ==== Si le logiciel a été installé depuis son tar.gz ==== <|> gz
132 Mot inconnu : mkv-extractor-gui [[98:115]] =>   * Pour supprimer ses fichiers de configuration, il faut supprimer le dossier //"${HOME}/.config/mkv-extractor-gui/"//. <|> mkv-extractor-gui
